,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,63,29,34,19.4,21.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,60,41,19,30.1,41.8,2.1,0.6,1.1,52.4,0.5,0.7,69.0,1.6,77.8,0.5,22.2,0.1,4.0,0.1,5.6,0.3,15.9
4,Aaron Holiday,ATL,54,28,26,13.6,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,62,27,35,24.9,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,59,32,27,18.4,21.1,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,31,12,19,11.9,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,56,39,17,31.0,46.4,1.0,0.2,0.4,52.4,0.0,0.0,0.0,0.4,40.7,0.4,37.0,0.1,11.1,0.1,13.0,0.0,0.0
9,Alec Burks,DET,50,12,38,22.0,34.6,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,53.3,0.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
