,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,33,26,7,9.7,4.5,0.1,100.0,3.2,46.1,1.0,38.2,0.2,60.0,0.0,0.0,0.0,0.0,62.1
2,AJ Griffin,ATL,69,32,37,19.2,8.7,2.0,49.2,3.1,37.2,2.9,49.4,0.6,74.1,0.0,100.0,0.3,73.3,56.1
3,Aaron Gordon,DEN,66,45,21,30.2,16.4,2.4,54.8,1.8,31.3,1.5,34.8,8.0,75.3,1.5,50.0,0.9,53.8,60.3
4,Aaron Holiday,ATL,59,30,29,13.3,3.9,1.3,42.7,1.3,42.6,0.9,40.0,0.2,46.2,0.0,0.0,0.0,25.0,50.5
5,Aaron Nesmith,IND,70,29,41,25.0,10.0,2.1,44.4,4.0,35.3,1.2,42.3,0.8,58.1,0.0,0.0,0.3,78.6,52.0
6,Aaron Wiggins,OKC,67,35,32,18.4,6.7,1.4,45.9,1.9,39.4,0.2,35.3,1.8,65.1,0.0,50.0,0.2,40.0,57.6
7,Admiral Schofield,ORL,34,14,20,11.5,4.0,0.7,56.3,1.9,37.3,0.0,0.0,0.7,61.1,0.0,0.0,0.2,66.7,57.8
8,Al Horford,BOS,61,43,18,30.5,9.7,0.6,60.0,6.8,43.9,0.3,44.4,1.5,53.8,0.4,50.0,0.3,45.0,63.1
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,1.0,32.5,3.4,37.4,0.3,27.8,2.2,54.5,0.0,0.0,1.0,66.7,51.0
11,Alex Caruso,CHI,63,30,33,23.8,5.8,0.8,41.7,2.5,38.6,0.2,19.2,0.8,59.5,0.0,0.0,0.2,46.2,55.7
12,Alex Len,SAC,22,14,8,4.9,1.5,0.0,0.0,0.0,0.0,0.1,100.0,1.1,78.6,0.0,0.0,0.5,50.0,54.2
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,72,15,57,28.9,14.8,3.0,56.3,0.9,34.7,0.4,40.5,5.3,58.9,2.3,55.5,2.7,52.0,56.7
