,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
256,Jordan Goodwin,WAS,50,19,31,17.0,5.6,34.4,14.1,2.4,4.2,3.81,0.164,0.3,0.0,1.0,0.25,2.0,0.667
257,Jordan Hall,SAS,9,1,8,9.2,3.1,17.8,8.9,1.1,3.64,2.98,0.175,0.0,0.0,0.3,0.0,0.0,0.0
258,Jordan McLaughlin,MIN,34,17,17,15.7,3.7,36.0,12.6,2.4,3.99,3.59,0.104,0.2,0.0,0.4,0.286,0.0,0.667
259,Jordan Nwora,IND,50,33,17,17.3,7.5,24.1,15.0,0.9,2.27,1.51,0.31,0.4,0.0,0.7,0.667,0.0,0.829
260,Jordan Poole,GSW,70,35,35,30.5,20.3,66.9,33.5,4.6,4.12,3.71,0.304,0.8,0.0,1.0,1.0,2.0,0.794
261,Jordan Schakel,WAS,2,0,2,3.1,1.5,5.0,2.5,0.3,3.06,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
262,Jose Alvarado,NOP,61,30,31,21.5,9.0,46.0,18.1,3.3,4.32,4.17,0.196,0.2,0.0,0.6,1.0,0.0,0.444
263,Josh Christopher,HOU,52,12,40,11.4,5.3,17.8,11.1,1.1,3.61,3.46,0.3,0.2,0.0,0.3,0.667,2.0,0.824
264,Josh Giddey,OKC,65,29,36,30.8,16.2,76.6,36.5,4.4,3.48,2.81,0.211,1.2,0.3,3.0,0.667,0.0,0.849
265,Josh Green,DAL,51,25,26,25.5,9.5,34.4,17.9,1.6,2.78,2.06,0.277,0.7,0.0,1.5,0.784,0.0,0.284
266,Josh Hart,NYK,65,36,29,32.7,9.9,43.8,22.4,2.0,2.71,2.1,0.226,0.7,0.0,1.8,0.273,0.667,0.593
267,Josh Minott,MIN,13,6,7,5.8,3.1,7.0,4.1,0.2,1.71,0.86,0.44,0.1,0.0,0.8,2.0,0.0,1.455
268,Josh Okogie,PHX,60,31,29,17.6,7.2,22.2,13.2,0.9,2.45,1.73,0.326,0.3,0.0,1.6,0.35,0.0,0.617
269,Josh Richardson,NOP,52,15,37,24.2,11.0,44.4,22.3,2.5,3.36,2.63,0.249,0.3,0.0,0.8,0.286,0.0,0.795
270,Joshua Primo,SAS,4,3,1,23.3,7.0,43.0,15.3,3.2,4.52,4.45,0.163,0.5,0.0,1.0,0.0,0.0,0.5
271,Jrue Holiday,MIL,58,43,15,33.1,19.4,74.5,26.1,6.2,5.01,4.53,0.26,1.0,0.9,2.4,0.321,0.569,0.679
272,Juan Toscano-Anderson,UTA,39,15,24,11.9,2.5,16.7,7.9,0.5,1.94,1.17,0.152,0.5,0.1,1.6,0.45,0.0,0.46
273,Juancho Hernangomez,TOR,42,20,22,14.6,2.9,17.0,9.2,0.4,1.41,0.51,0.171,0.4,0.1,1.1,0.2,0.667,0.854
274,Julian Champagnie,SAS,5,3,2,7.5,3.2,8.4,5.4,0.2,1.54,0.5,0.381,0.0,0.0,0.0,0.0,0.0,0.0
