,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
64,Charles Bassey,SAS,33,7,26,15.0,5.8,2.1,35.2,9.8,59.9,0.8,65.2,4.9
65,Chima Moneke,SAC,1,0,1,6.3,2.0,0.0,0.0,4.0,50.0,0.0,50.0,11.2
66,Chimezie Metu,SAC,55,36,19,11.3,3.6,1.2,34.3,5.8,62.5,0.3,65.3,4.5
67,Chris Boucher,TOR,75,38,37,20.1,5.5,2.5,45.2,9.8,56.8,0.7,61.2,4.6
68,Chris Duarte,IND,41,17,24,20.7,2.8,0.5,19.1,5.6,50.0,0.5,54.8,8.1
69,Chris Paul,PHX,58,33,25,32.4,4.3,0.7,17.1,7.1,61.1,0.4,65.2,9.2
70,Christian Braun,DEN,55,36,19,18.1,3.1,0.8,26.6,5.3,59.0,0.4,63.4,7.5
71,Christian Koloko,TOR,53,26,27,14.2,3.2,1.7,53.9,7.0,44.9,0.5,48.7,5.3
72,Christian Wood,DAL,67,33,34,25.9,7.3,2.6,35.8,11.9,61.9,0.9,66.8,5.0
73,Chuma Okeke,ORL,21,7,14,21.9,4.4,1.1,25.0,7.3,60.1,0.5,64.3,8.5
74,Clint Capela,ATL,65,35,30,26.6,11.0,5.5,49.8,17.0,64.7,0.7,67.5,4.7
75,Coby White,CHI,63,29,34,24.7,3.3,0.7,19.7,5.7,57.8,0.4,62.5,8.4
76,Cody Martin,CHA,6,1,5,22.1,4.0,1.2,29.2,6.0,66.7,0.3,70.6,10.0
77,Cody Zeller,MIA,14,5,9,14.6,4.3,2.1,48.3,9.1,46.9,1.1,53.6,4.5
78,Cole Anthony,ORL,59,28,31,25.8,4.9,0.9,18.8,8.4,58.3,0.8,64.6,7.7
79,Cole Swider,LAL,3,0,3,10.9,2.3,1.3,57.1,3.7,63.6,0.0,63.6,4.0
80,Collin Sexton,UTA,38,20,18,24.4,2.8,0.7,23.8,4.9,56.5,0.2,59.0,10.1
81,Corey Kispert,WAS,70,29,41,28.9,2.9,0.7,25.0,5.2,55.6,0.3,59.5,8.1
82,Cory Joseph,DET,49,10,39,20.2,2.1,0.4,19.6,4.6,45.1,0.5,51.0,10.0
83,D'Angelo Russell,LAL,65,36,29,32.8,3.3,0.6,19.7,6.4,51.6,0.7,57.7,10.0
84,Daishen Nix,HOU,43,10,33,17.6,2.3,0.6,26.8,3.9,57.7,0.2,61.0,8.2
85,Dalano Banton,TOR,22,12,10,9.1,1.8,0.5,27.5,2.9,62.5,0.2,67.8,6.8
86,Dalen Terry,CHI,17,8,9,8.8,1.9,0.6,31.3,3.8,50.0,0.1,51.6,7.6
87,Damian Jones,UTA,33,8,25,13.0,3.4,1.2,34.8,6.0,56.9,0.4,60.5,6.8
88,Damian Lillard,POR,58,27,31,36.3,4.8,1.1,22.0,8.9,53.8,0.6,57.9,9.1
89,Damion Lee,PHX,65,35,30,21.0,3.4,0.7,19.5,5.6,60.7,0.4,65.6,7.6
90,Daniel Gafford,WAS,77,31,46,20.8,5.6,2.8,49.4,11.7,48.0,0.9,51.8,4.2
91,Daniel Theis,IND,6,1,5,16.9,3.7,1.8,50.0,8.8,41.5,0.7,44.9,4.0
92,Danny Green,CLE,4,2,2,12.9,2.5,0.8,30.0,4.5,55.6,0.3,58.8,7.5
93,Danuel House Jr.,PHI,43,29,14,16.3,2.1,0.3,12.2,3.7,56.3,0.2,59.2,7.3
94,Dario Saric,OKC,48,24,24,16.0,4.3,1.5,35.7,8.1,53.1,0.6,57.2,5.0
95,Darius Bazley,PHX,34,17,17,15.7,3.8,1.1,29.5,6.7,56.3,0.5,60.8,5.9
96,Darius Days,HOU,3,0,3,7.8,2.0,0.3,16.7,4.0,50.0,0.0,50.0,4.7
97,Darius Garland,CLE,64,37,27,35.5,2.9,0.4,15.1,5.8,49.5,0.4,53.0,11.2
98,David Duke Jr.,BKN,8,5,3,12.8,2.6,0.6,23.8,4.6,56.8,0.6,65.6,9.7
99,David Roddy,MEM,66,43,23,18.3,2.9,0.8,26.5,5.2,55.4,0.4,60.2,6.6
100,Davion Mitchell,SAC,56,36,20,19.2,1.9,0.3,16.2,3.3,57.7,0.3,62.9,9.9
101,Davis Bertans,DAL,27,11,16,12.1,1.7,0.4,23.9,3.1,54.8,0.3,59.7,7.4
102,Davon Reed,LAL,28,20,8,10.5,2.1,0.4,20.3,3.6,57.8,0.4,65.6,7.6
103,Day'Ron Sharpe,BKN,44,21,23,11.7,4.3,2.4,55.3,8.3,52.2,0.5,55.2,4.1
104,De'Aaron Fox,SAC,71,43,28,33.9,4.3,0.8,17.8,7.2,59.1,0.5,63.3,8.9
105,De'Andre Hunter,ATL,65,34,31,32.3,4.3,1.2,28.1,8.1,53.1,0.8,58.7,7.4
106,De'Anthony Melton,PHI,75,49,26,28.1,4.2,1.2,29.2,7.3,56.6,0.6,61.9,8.0
107,DeAndre Jordan,DEN,37,22,15,14.9,5.2,2.1,39.2,8.2,64.0,0.5,68.1,4.4
108,DeMar DeRozan,CHI,70,35,35,36.4,4.7,0.9,19.3,8.4,56.4,0.8,61.9,8.5
109,Dean Wade,CLE,39,27,12,21.3,3.8,1.0,25.9,6.8,55.7,0.6,61.0,6.6
110,Deandre Ayton,PHX,67,36,31,30.4,10.0,3.9,39.1,15.6,64.0,1.1,69.1,4.6
111,Dejounte Murray,ATL,73,38,35,36.8,5.3,1.3,23.9,9.7,54.9,1.0,61.3,7.3
112,Delon Wright,WAS,46,24,22,24.9,3.9,1.0,25.0,6.4,60.8,0.4,64.7,9.1
113,Deni Avdija,WAS,75,32,43,26.8,6.5,1.8,27.1,11.0,59.0,1.1,65.3,4.8
114,Dennis Schroder,LAL,60,34,26,30.7,2.8,0.3,9.1,5.2,53.4,0.5,58.7,11.4
115,Dennis Smith Jr.,CHA,51,17,34,26.1,3.3,0.7,21.0,6.6,49.7,0.8,56.6,8.6
116,Dereon Seabron,NOP,1,1,0,2.5,1.0,1.0,100.0,2.0,50.0,0.0,50.0,1.8
117,Derrick Jones Jr.,CHI,54,23,31,15.0,2.7,1.4,51.4,5.2,51.1,0.4,54.8,5.8
118,Derrick Rose,NYK,18,6,12,13.9,2.2,0.4,20.0,3.8,58.8,0.1,59.7,10.4
119,Derrick White,BOS,77,53,24,29.3,3.8,1.0,25.9,6.9,55.0,0.7,60.8,8.0
120,Desmond Bane,MEM,57,38,19,31.9,5.1,1.3,24.7,9.0,56.8,0.6,61.1,7.8
121,Devin Booker,PHX,51,33,18,35.4,4.7,0.9,19.6,8.5,55.3,0.6,59.4,8.7
122,Devin Vassell,SAS,37,12,25,31.1,4.0,1.0,24.3,6.9,58.3,0.5,63.2,6.5
123,Devon Dotson,WAS,3,0,3,15.0,3.3,0.7,20.0,5.3,62.5,0.0,62.5,13.2
124,Devonte' Graham,SAS,57,26,31,20.0,2.1,0.3,15.6,3.6,59.5,0.4,65.9,10.5
125,Dewayne Dedmon,PHI,35,22,13,10.9,3.6,1.5,42.5,7.1,51.2,0.7,56.7,4.9
126,Dillon Brooks,MEM,70,43,27,30.5,3.5,0.6,17.6,6.5,54.0,0.5,58.8,8.5
127,Domantas Sabonis,SAC,78,47,31,34.8,12.4,5.0,40.2,21.7,57.1,1.6,61.6,3.9
128,Dominick Barlow,SAS,23,3,20,13.9,3.3,1.5,46.1,6.5,51.0,0.7,57.6,5.9
129,Donovan Mitchell,CLE,67,43,24,36.0,4.3,1.0,23.5,7.4,58.4,0.3,61.1,9.1
130,Donovan Williams,ATL,1,1,0,1.7,1.0,0.0,0.0,1.0,100.0,0.0,100.0,3.4
131,Donte DiVincenzo,GSW,65,37,28,27.1,4.8,1.0,20.8,8.4,57.4,0.7,62.3,7.6
132,Dorian Finney-Smith,BKN,64,30,34,30.5,4.9,1.9,38.9,8.9,55.7,0.8,60.9,6.8
133,Doug McDermott,SAS,57,18,39,20.9,2.4,0.6,23.4,4.3,56.1,0.3,59.8,8.2
134,Draymond Green,GSW,70,38,32,31.8,7.3,2.7,36.7,12.1,60.3,1.1,66.1,5.5
135,Drew Eubanks,POR,75,30,45,20.3,5.5,1.7,31.8,9.8,55.6,0.7,59.9,5.0
136,Dru Smith,BKN,10,6,4,12.1,2.0,0.4,20.0,3.2,62.5,0.4,71.4,9.9
137,Duane Washington Jr.,NYK,20,10,10,16.6,1.8,0.1,5.6,3.1,59.0,0.0,59.0,10.3
138,Duncan Robinson,MIA,29,13,16,17.3,2.3,0.7,29.9,3.7,62.6,0.2,67.0,8.6
139,Dwight Powell,DAL,72,35,37,19.6,4.4,1.8,41.1,9.3,46.8,0.6,50.2,6.0
140,Dyson Daniels,NOP,52,30,22,19.3,3.6,1.1,30.3,6.4,56.6,0.4,60.3,7.4
141,Edmond Sumner,BKN,39,26,13,16.4,2.0,0.4,17.7,4.0,50.3,0.3,54.1,8.9
142,Eric Gordon,LAC,55,18,37,28.8,2.4,0.2,9.8,4.1,58.7,0.2,62.3,11.9
143,Eugene Omoruyi,DET,33,10,23,18.2,3.4,1.2,35.1,6.9,48.7,0.5,52.4,6.5
144,Evan Fournier,NYK,22,12,10,18.3,2.2,0.3,14.6,3.5,61.5,0.3,67.6,9.4
145,Evan Mobley,CLE,78,48,30,34.7,9.1,3.6,39.7,15.6,58.0,1.3,63.1,5.3
146,Facundo Campazzo,DAL,1,0,1,22.6,2.0,0.0,0.0,4.0,50.0,0.0,50.0,13.1
147,Frank Jackson,UTA,1,0,1,5.1,2.0,1.0,50.0,5.0,40.0,0.0,40.0,21.2
148,Frank Kaminsky,HOU,23,6,17,7.9,2.0,0.9,43.5,3.0,65.7,0.0,66.7,4.4
149,Frank Ntilikina,DAL,31,13,18,14.9,1.9,0.4,18.3,3.4,57.7,0.3,63.8,8.8
150,Franz Wagner,ORL,77,32,45,32.9,4.2,0.8,20.0,7.6,55.2,0.5,59.2,9.1
151,Fred VanVleet,TOR,67,33,34,36.8,4.2,0.8,18.6,7.9,53.1,0.8,58.9,10.0
152,Furkan Korkmaz,PHI,20,13,7,11.7,1.9,0.4,21.1,3.0,63.3,0.3,69.1,10.0
153,Gabe Vincent,MIA,59,33,26,26.6,2.4,0.5,18.8,4.3,56.9,0.3,60.8,11.7
154,Gabe York,IND,2,0,2,21.7,3.0,0.5,16.7,4.0,75.0,0.0,75.0,8.2
155,Garrett Temple,NOP,12,6,6,8.9,1.4,0.5,35.3,2.5,56.7,0.2,60.7,8.7
156,Garrison Mathews,ATL,39,11,28,13.9,1.8,0.3,17.1,3.3,54.3,0.4,61.4,8.9
157,Gary Harris,ORL,41,18,23,24.7,2.4,0.5,22.4,4.0,59.0,0.3,63.2,12.2
158,Gary Payton II,GSW,20,12,8,16.5,3.1,1.2,39.3,5.6,54.5,0.4,58.7,5.7
159,Gary Trent Jr.,TOR,61,28,33,32.1,2.8,0.5,18.0,4.6,61.4,0.3,65.9,10.1
160,George Hill,IND,36,21,15,19.0,2.3,0.5,22.0,4.6,50.0,0.3,53.2,10.3
161,Georges Niang,PHI,72,48,24,19.8,2.6,0.5,18.9,5.0,51.4,0.5,57.1,7.1
162,Giannis Antetokounmpo,MIL,63,47,16,32.1,11.8,3.5,29.4,18.2,64.7,1.3,69.5,5.2
163,Goga Bitadze,ORL,32,9,23,13.1,4.0,2.1,51.9,8.1,49.8,0.9,56.1,4.1
164,Goran Dragic,MIL,35,15,20,17.0,2.2,0.4,17.1,4.0,54.7,0.3,59.4,10.1
165,Gordon Hayward,CHA,49,20,29,31.7,4.4,0.8,18.6,6.9,63.4,0.4,67.8,8.9
166,Gorgui Dieng,SAS,27,2,25,11.6,3.3,0.9,28.1,5.0,66.4,0.3,70.6,5.9
167,Grant Williams,BOS,78,54,24,26.1,4.7,1.6,33.6,8.7,53.7,0.7,58.5,6.8
168,Grayson Allen,MIL,69,51,18,27.3,3.4,0.6,18.1,6.4,53.4,0.6,58.8,9.5
169,Greg Brown III,POR,9,5,4,7.6,2.1,0.6,26.3,2.9,73.1,0.1,76.0,7.1
170,Hamidou Diallo,DET,52,12,40,18.3,3.7,1.2,33.2,5.8,62.9,0.3,65.7,6.7
171,Harrison Barnes,SAC,79,46,33,32.7,4.6,1.3,28.7,7.9,58.7,0.7,64.0,8.1
172,Haywood Highsmith,MIA,45,24,21,20.4,4.1,1.1,27.9,7.0,57.7,0.5,62.5,7.9
173,Herbert Jones,NOP,63,30,33,29.8,4.2,1.6,36.8,7.9,53.7,0.6,57.8,8.3
174,Immanuel Quickley,NYK,80,47,33,28.8,4.1,0.5,11.9,6.8,60.0,0.5,64.7,9.6
175,Isaac Okoro,CLE,63,40,23,23.4,3.0,0.8,28.3,5.8,51.0,0.4,54.8,9.5
176,Isaiah Hartenstein,NYK,81,47,34,19.8,6.6,3.2,49.1,12.3,53.6,0.8,57.4,4.8
177,Isaiah Jackson,IND,59,23,36,16.7,4.6,2.6,55.7,9.2,50.1,0.9,55.3,4.2
178,Isaiah Joe,OKC,60,30,30,20.6,2.9,0.5,16.6,5.4,54.3,0.7,61.8,7.8
179,Isaiah Livers,DET,47,9,38,24.1,3.0,0.7,23.4,5.5,54.9,0.5,60.5,8.6
180,Isaiah Mobley,CLE,7,5,2,7.8,2.3,1.1,50.0,3.6,64.0,0.4,72.7,5.6
181,Isaiah Roby,SAS,36,6,30,12.4,2.9,0.8,27.9,4.8,60.5,0.3,64.2,5.9
182,Isaiah Stewart,DET,49,12,37,28.3,8.0,3.0,37.0,14.1,56.6,1.0,60.8,4.6
