,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,27,21,6,9.8,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,57,27,30,20.2,21.9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,50,36,14,30.2,42.7,2.2,0.6,1.1,50.9,0.5,0.6,71.9,1.7,75.0,0.5,22.3,0.1,3.6,0.1,6.3,0.3,13.4
4,Aaron Holiday,ATL,51,27,24,14.3,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,55,23,32,24.6,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,48,25,23,18.5,21.3,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,28,11,17,12.6,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,48,34,14,30.7,46.4,1.1,0.2,0.4,50.0,0.0,0.0,0.0,0.4,35.3,0.4,39.2,0.1,11.8,0.1,13.7,0.0,0.0
9,Alec Burks,DET,48,12,36,22.1,34.6,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,53.3,0.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,50,21,29,24.3,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,14,9,5,3.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,55,10,45,28.1,53.7,4.4,0.9,1.7,54.3,0.4,0.5,70.0,2.2,51.3,1.7,38.3,0.4,9.2,0.3,6.3,0.3,6.3
16,Amir Coffey,LAC,41,21,20,13.9,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,48,21,27,13.0,18.3,0.5,0.1,0.2,55.6,0.0,0.1,25.0,0.2,50.0,0.2,40.9,0.0,4.5,0.0,4.5,0.0,9.1
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,55,24,31,27.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,1.7,0.4,0.8,59.3,0.1,0.2,66.7,1.0,58.1,0.8,43.5,0.2,12.9,0.0,1.6,0.1,4.8
21,Anfernee Simons,POR,56,27,29,35.5,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
