,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,15,5,10,7.2,9.8,0.6,0.4,0.4,100.0,0.1,0.1,50.0,0.9,144.4,0.1,11.1,0.0,0.0,0.0,0.0,0.1,11.1
1,AJ Green,MIL,35,27,8,9.9,12.1,0.3,0.1,0.1,60.0,0.1,0.1,100.0,0.2,66.7,0.1,33.3,0.0,8.3,0.0,8.3,0.0,8.3
2,AJ Griffin,ATL,72,34,38,19.5,21.1,0.7,0.3,0.4,73.3,0.0,0.1,75.0,0.7,94.0,0.2,28.0,0.1,8.0,0.0,6.0,0.0,4.0
3,Aaron Gordon,DEN,68,45,23,30.2,42.5,6.7,3.5,4.7,75.2,0.8,1.4,58.5,7.9,117.9,0.9,13.3,0.2,3.5,0.2,3.3,0.6,9.4
4,Aaron Holiday,ATL,63,32,31,13.4,20.5,0.4,0.1,0.2,42.9,0.0,0.0,100.0,0.2,60.9,0.1,30.4,0.0,0.0,0.0,0.0,0.0,4.3
5,Aaron Nesmith,IND,73,30,43,24.9,36.1,1.1,0.4,0.6,59.1,0.1,0.1,100.0,0.8,79.2,0.2,22.1,0.0,3.9,0.1,9.1,0.0,3.9
6,Aaron Wiggins,OKC,70,37,33,18.5,20.9,2.1,0.8,1.3,65.9,0.3,0.3,87.0,1.9,90.0,0.5,25.3,0.2,8.0,0.1,6.0,0.2,7.3
7,Admiral Schofield,ORL,37,14,23,12.2,19.3,1.1,0.4,0.6,68.2,0.0,0.1,50.0,0.9,78.0,0.4,36.6,0.2,14.6,0.1,4.9,0.0,2.4
8,Al Horford,BOS,63,44,19,30.5,45.7,2.7,0.7,1.3,54.9,0.0,0.1,75.0,1.5,55.3,1.1,41.2,0.3,11.8,0.1,5.3,0.0,1.2
9,Alec Burks,DET,50,12,38,22.0,34.6,0.4,0.1,0.2,44.4,0.0,0.0,100.0,0.2,61.1,0.1,33.3,0.0,5.6,0.0,11.1,0.0,5.6
10,Aleksej Pokusevski,OKC,34,16,18,20.6,41.7,3.1,1.1,1.9,54.5,0.1,0.2,66.7,2.2,71.0,0.8,24.3,0.1,1.9,0.2,7.5,0.1,2.8
11,Alex Caruso,CHI,66,32,34,23.5,42.1,1.3,0.3,0.6,60.5,0.1,0.1,87.5,0.8,62.4,0.6,43.5,0.2,14.1,0.0,2.4,0.1,4.7
12,Alex Len,SAC,26,15,11,6.2,9.8,1.9,0.5,0.7,68.4,0.2,0.4,60.0,1.2,64.0,0.8,42.0,0.1,6.0,0.1,6.0,0.2,8.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.3,25.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,75,18,57,28.9,56.0,6.9,2.3,3.9,58.7,0.5,0.7,74.5,5.3,75.9,1.9,27.0,0.5,7.5,0.5,6.7,0.3,4.0
16,Amir Coffey,LAC,50,26,24,12.5,13.6,0.2,0.0,0.1,50.0,0.0,0.0,0.0,0.1,33.3,0.1,50.0,0.0,8.3,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,67,32,35,12.7,17.2,4.4,1.8,2.9,60.7,0.6,1.1,51.3,4.2,95.6,0.5,11.9,0.1,3.1,0.3,5.8,0.6,12.6
18,Andre Iguodala,GSW,7,2,5,13.5,24.4,1.3,0.6,0.6,100.0,0.0,0.0,0.0,1.1,88.9,0.6,44.4,0.1,11.1,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,75,32,43,27.6,49.3,0.6,0.2,0.3,57.1,0.0,0.0,0.0,0.3,53.2,0.3,48.9,0.1,8.5,0.0,6.4,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,3.3,1.5,2.4,63.5,0.2,0.3,50.0,3.3,99.2,0.6,18.6,0.1,3.4,0.0,0.8,0.1,4.2
21,Anfernee Simons,POR,62,27,35,35.0,67.4,0.6,0.3,0.4,64.0,0.0,0.0,0.0,0.5,84.2,0.2,28.9,0.0,2.6,0.0,5.3,0.0,0.0
22,Anthony Davis,LAL,56,31,25,34.0,68.5,10.6,4.9,6.9,71.0,2.4,2.9,81.5,12.6,118.8,1.3,11.8,0.3,2.4,0.5,4.7,1.3,12.7
23,Anthony Edwards,MIN,78,39,39,36.1,71.4,0.9,0.4,0.6,76.7,0.0,0.1,50.0,0.9,100.0,0.3,29.2,0.0,2.8,0.0,2.8,0.0,4.2
