,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
278,Kai Jones,CHA,30,8,22,9.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Karl-Anthony Towns,MIN,21,10,11,33.8,61.7,1.8,0.6,0.6,92.3,0.5,0.5,100.0,1.8,102.7,0.9,48.6,0.1,16.7,0.0,0.0,0.2,10.8
280,Kawhi Leonard,LAC,38,23,15,33.1,57.9,2.5,0.7,1.3,52.0,0.2,0.2,100.0,1.6,63.8,0.9,35.1,0.0,3.0,0.2,6.4,0.1,2.1
281,Keegan Murray,SAC,59,35,24,29.8,35.1,0.4,0.1,0.2,60.0,0.1,0.1,83.3,0.3,69.2,0.2,34.6,0.0,11.1,0.1,11.5,0.1,11.5
282,Keita Bates-Diop,SAS,48,12,36,21.3,24.2,0.8,0.1,0.3,53.8,0.1,0.1,100.0,0.4,48.7,0.5,56.4,0.0,4.5,0.0,5.1,0.0,5.1
283,Keldon Johnson,SAS,54,14,40,32.7,57.0,0.9,0.3,0.5,51.9,0.2,0.2,90.0,0.8,83.7,0.3,28.6,0.1,42.9,0.0,4.1,0.1,10.2
284,Kelly Olynyk,UTA,51,24,27,28.2,53.5,1.3,0.4,0.5,70.4,0.1,0.1,100.0,0.8,67.2,0.6,46.9,0.1,23.3,0.1,6.3,0.0,1.6
285,Kelly Oubre Jr.,CHA,39,13,26,32.1,44.7,0.9,0.2,0.5,40.0,0.3,0.4,81.3,0.8,86.1,0.2,16.7,0.1,50.0,0.0,0.0,0.2,22.2
286,Kemba Walker,DAL,9,5,4,16.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Kendall Brown,IND,6,1,5,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Kendrick Nunn,WAS,54,27,27,14.3,19.9,0.2,0.1,0.1,100.0,0.0,0.0,0.0,0.1,66.7,0.1,50.0,0.1,66.7,0.0,16.7,0.0,0.0
289,Kennedy Chandler,MEM,26,17,9,8.7,18.5,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
290,Kenneth Lofton Jr.,MEM,10,7,3,3.6,6.4,0.5,0.2,0.4,50.0,0.0,0.0,0.0,0.4,80.0,0.1,20.0,0.1,100.0,0.0,0.0,0.0,0.0
291,Kenrich Williams,OKC,53,26,27,22.8,31.2,1.1,0.3,0.5,69.2,0.0,0.1,0.0,0.7,64.4,0.5,44.1,0.1,26.9,0.0,3.4,0.0,3.4
292,Kentavious Caldwell-Pope,DEN,60,43,17,31.4,39.0,0.8,0.3,0.5,66.7,0.1,0.1,75.0,0.7,82.0,0.2,24.0,0.1,25.0,0.1,14.0,0.0,4.0
