,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,31,25,6,9.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,61,28,33,19.4,21.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,57,39,18,30.1,42.3,2.1,0.5,1.1,51.7,0.5,0.7,67.5,1.6,75.4,0.5,23.0,0.1,4.1,0.1,5.7,0.3,15.6
4,Aaron Holiday,ATL,54,28,26,13.6,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,60,26,34,24.6,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,57,31,26,18.7,21.4,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,31,12,19,11.9,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,55,38,17,31.0,46.5,1.0,0.2,0.4,52.4,0.0,0.0,0.0,0.4,40.7,0.4,37.0,0.1,11.1,0.1,13.0,0.0,0.0
9,Alec Burks,DET,50,12,38,22.0,34.6,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,53.3,0.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,56,24,32,24.2,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,17,11,6,3.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
