,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
203,Jalen Brunson,NYK,62,36,26,34.9,19.7,4.5,9.0,50.1,2.3,2.7,86.7,11.8,60.0,7.9,40.0,1.9,9.7,0.9,4.4,1.3,6.8
204,Jalen Duren,DET,53,14,39,25.1,0.2,0.1,0.1,50.0,0.0,0.0,0.0,0.1,46.2,0.1,38.5,0.0,7.7,0.0,7.7,0.0,7.7
205,Jalen Green,HOU,61,13,48,33.6,12.6,2.7,6.3,43.4,2.7,3.2,81.8,8.4,66.6,3.5,27.5,0.8,6.6,0.7,5.7,1.6,12.6
206,Jalen Johnson,ATL,63,32,31,14.5,1.6,0.3,0.6,53.8,0.3,0.4,72.0,1.0,60.0,0.7,43.0,0.1,7.0,0.1,5.0,0.2,12.0
207,Jalen McDaniels,PHI,69,25,44,24.6,4.2,0.8,2.0,38.2,0.5,0.6,79.5,2.1,49.1,1.3,32.0,0.3,7.9,0.4,10.0,0.3,7.6
208,Jalen Smith,IND,56,28,28,18.4,0.8,0.3,0.6,45.5,0.1,0.1,83.3,0.6,78.3,0.1,17.4,0.0,2.2,0.0,4.3,0.1,6.5
209,Jalen Suggs,ORL,43,17,26,23.8,4.0,1.0,2.0,51.2,0.3,0.5,68.2,2.4,60.8,1.2,31.0,0.3,8.2,0.4,9.4,0.3,6.4
210,Jalen Williams,OKC,62,30,32,29.7,8.8,2.0,3.8,51.7,0.6,0.9,74.1,4.7,53.5,3.8,42.9,1.0,11.5,0.5,6.2,0.4,4.9
211,Jamal Cain,MIA,15,8,7,12.4,0.5,0.2,0.5,42.9,0.0,0.0,0.0,0.4,75.0,0.1,12.5,0.0,0.0,0.0,0.0,0.0,0.0
212,Jamal Murray,DEN,54,37,17,32.7,9.8,2.3,4.7,48.6,0.9,0.9,90.2,5.5,56.2,3.9,39.8,1.4,13.8,0.5,4.9,0.5,4.7
213,Jamaree Bouyea,WAS,5,2,3,14.1,3.0,0.8,1.0,80.0,0.2,0.4,50.0,2.0,66.7,1.6,53.3,0.2,6.7,0.2,6.7,0.2,6.7
214,James Bouknight,CHA,26,5,21,13.6,2.0,0.5,1.0,50.0,0.2,0.2,66.7,1.2,58.8,0.6,29.4,0.1,3.9,0.2,11.8,0.1,5.9
215,James Harden,PHI,50,34,16,36.8,13.5,2.5,5.2,48.1,2.4,2.8,86.5,7.8,57.4,6.0,44.1,1.7,12.4,0.6,4.7,1.4,10.5
216,James Johnson,IND,13,6,7,9.2,1.8,0.5,1.2,40.0,0.2,0.2,100.0,1.1,58.3,0.5,29.2,0.2,8.3,0.0,0.0,0.1,4.2
217,James Wiseman,DET,31,9,22,16.8,0.4,0.1,0.2,42.9,0.1,0.2,57.1,0.3,76.9,0.0,0.0,0.0,0.0,0.1,15.4,0.1,30.8
218,Jared Butler,OKC,2,1,1,9.6,3.0,0.5,1.0,50.0,0.0,0.0,0.0,1.0,33.3,1.5,50.0,0.5,16.7,0.5,16.7,0.0,0.0
219,Jared Rhoden,DET,4,0,4,8.2,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Jaren Jackson Jr.,MEM,49,30,19,27.8,4.9,1.6,3.1,50.7,1.5,1.9,76.6,4.8,97.5,0.5,9.5,0.1,1.7,0.4,7.4,1.0,20.2
221,Jarred Vanderbilt,LAL,64,33,31,24.2,1.6,0.2,0.5,44.8,0.2,0.4,60.9,0.6,40.0,0.8,50.0,0.2,11.0,0.1,8.0,0.2,11.0
222,Jarrett Allen,CLE,62,39,23,33.0,0.4,0.1,0.2,46.2,0.0,0.1,50.0,0.3,69.6,0.1,17.4,0.0,0.0,0.0,13.0,0.0,13.0
223,Jarrett Culver,ATL,10,5,5,13.7,2.2,0.4,1.0,40.0,0.2,0.2,100.0,1.0,45.5,0.7,31.8,0.1,4.5,0.2,9.1,0.1,4.5
224,Jason Preston,LAC,13,3,10,9.4,2.5,0.4,1.1,35.7,0.0,0.0,0.0,0.8,31.3,1.1,43.8,0.2,9.4,0.3,12.5,0.0,0.0
225,Javonte Green,CHI,28,11,17,16.0,1.1,0.1,0.4,33.3,0.3,0.5,57.1,0.6,53.3,0.3,23.3,0.1,6.7,0.1,13.3,0.3,23.3
226,Jaxson Hayes,NOP,41,18,23,14.2,0.8,0.1,0.3,46.2,0.2,0.3,58.3,0.5,59.4,0.2,25.0,0.0,3.1,0.1,9.4,0.1,18.8
227,Jaylen Brown,BOS,56,38,18,36.1,11.2,3.3,5.7,57.8,1.9,2.3,82.5,8.8,78.6,3.2,28.3,0.7,6.2,0.9,7.8,1.1,10.1
228,Jaylen Nowell,MIN,62,31,31,19.5,5.6,1.6,3.2,51.5,0.5,0.6,75.0,3.9,69.1,1.7,30.0,0.5,8.9,0.3,5.7,0.3,5.7
229,Jaylin Williams,OKC,36,17,19,17.9,0.9,0.1,0.3,41.7,0.1,0.2,83.3,0.4,44.1,0.4,41.2,0.0,2.9,0.1,11.8,0.1,8.8
230,Jayson Tatum,BOS,63,45,18,37.4,11.3,2.9,5.7,50.6,2.0,2.4,82.2,8.0,70.9,3.4,30.2,0.8,6.9,0.7,6.6,1.2,10.7
231,Jeff Dowtin Jr.,TOR,18,12,6,8.9,1.5,0.4,0.9,50.0,0.0,0.0,0.0,0.9,63.0,0.5,33.3,0.1,3.7,0.1,7.4,0.0,0.0
232,Jeff Green,DEN,44,27,17,19.3,1.7,0.4,0.8,52.8,0.5,0.5,83.3,1.3,79.7,0.4,21.6,0.1,4.1,0.2,9.5,0.3,16.2
233,Jerami Grant,POR,63,28,35,35.6,6.5,1.5,3.0,48.7,1.6,2.0,78.7,4.6,70.8,1.7,26.5,0.4,6.8,0.6,9.0,1.0,15.6
234,Jeremiah Robinson-Earl,OKC,34,11,23,20.2,0.9,0.2,0.2,85.7,0.1,0.1,100.0,0.5,51.6,0.5,54.8,0.1,12.9,0.1,6.5,0.1,6.5
