,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,32,25,7,9.4,4.3,0.1,100.0,3.0,45.7,1.0,38.2,0.3,75.0,0.0,0.0,0.0,0.0,61.9
2,AJ Griffin,ATL,66,31,35,19.4,8.9,2.1,50.0,3.2,36.8,2.9,50.0,0.7,74.1,0.0,100.0,0.3,73.3,56.3
3,Aaron Gordon,DEN,62,43,19,30.1,16.4,2.4,54.7,1.8,33.3,1.6,37.6,8.0,76.1,1.6,52.4,0.9,57.1,62.0
4,Aaron Holiday,ATL,57,30,27,13.7,4.0,1.3,41.9,1.4,42.6,1.0,41.4,0.2,41.7,0.0,0.0,0.0,25.0,50.5
5,Aaron Nesmith,IND,66,28,38,24.6,9.9,2.2,46.5,3.8,33.7,1.2,43.1,0.8,60.0,0.0,0.0,0.3,78.6,52.0
6,Aaron Wiggins,OKC,62,33,29,18.3,6.5,1.3,45.5,1.8,37.4,0.2,31.3,1.7,63.0,0.0,50.0,0.2,42.9,56.1
7,Admiral Schofield,ORL,31,12,19,11.9,4.2,0.8,60.0,1.9,37.7,0.0,0.0,0.7,61.1,0.0,0.0,0.3,66.7,58.9
8,Al Horford,BOS,58,41,17,30.8,9.8,0.7,60.0,6.8,44.5,0.3,50.0,1.5,53.2,0.4,52.4,0.3,47.4,63.7
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,59,27,32,23.9,5.7,0.8,41.2,2.4,38.1,0.2,19.2,0.8,58.3,0.0,0.0,0.2,46.2,54.9
12,Alex Len,SAC,18,12,6,3.2,0.7,0.0,0.0,0.0,0.0,0.1,100.0,0.5,100.0,0.0,0.0,0.3,40.0,41.7
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,67,14,53,28.5,14.7,2.9,54.5,0.9,33.3,0.4,38.2,5.3,59.4,2.2,54.5,2.7,53.2,56.6
16,Amir Coffey,LAC,47,24,23,12.9,3.5,1.4,40.7,0.7,31.4,0.4,28.6,0.1,50.0,0.0,0.0,0.0,0.0,41.5
17,Andre Drummond,CHI,60,28,32,12.7,5.9,0.2,50.0,0.0,0.0,0.0,50.0,4.1,60.1,0.2,60.0,1.0,53.5,60.1
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,0.4,100.0,0.0,0.0,0.0,0.0,1.1,100.0,0.0,0.0,0.3,100.0,41.7
19,Andrew Nembhard,IND,68,30,38,27.2,8.9,2.5,42.6,3.0,36.3,2.2,34.6,0.4,60.0,0.0,0.0,0.2,63.6,51.4
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,1.6,34.3,7.1,43.9,2.4,33.9,3.3,63.5,1.0,59.3,0.6,56.3,56.0
21,Anfernee Simons,POR,62,27,35,35.0,21.1,5.8,53.6,5.9,39.6,7.3,39.5,0.5,64.0,0.0,0.0,0.3,64.3,54.8
22,Anthony Davis,LAL,48,25,23,33.8,26.1,2.6,53.4,2.3,31.0,2.5,41.8,12.8,71.1,3.8,51.2,3.9,56.6,57.4
23,Anthony Edwards,MIN,71,35,36,36.0,24.7,9.3,52.6,3.4,42.3,7.4,35.3,0.9,76.3,0.4,52.4,0.5,78.9,53.1
24,Anthony Gill,WAS,51,19,32,9.9,3.1,0.5,40.0,0.2,21.1,0.0,14.3,1.6,81.4,0.0,0.0,0.2,75.0,58.5
25,Anthony Lamb,GSW,54,30,24,19.8,6.9,0.9,61.3,3.7,37.6,0.3,25.0,1.0,64.1,0.0,0.0,0.3,70.0,58.6
26,Austin Reaves,LAL,56,29,27,28.1,12.3,4.0,57.8,2.9,38.4,2.4,45.8,0.6,61.9,0.0,0.0,0.2,50.0,59.7
27,Austin Rivers,MIN,52,25,27,19.5,4.9,1.8,54.7,2.3,37.4,0.2,14.3,0.1,50.0,0.0,0.0,0.1,100.0,53.8
28,Ayo Dosunmu,CHI,70,34,36,26.8,8.8,2.8,60.1,2.3,32.5,0.8,40.0,0.7,65.6,0.0,0.0,0.2,85.7,54.9
29,Bam Adebayo,MIA,70,37,33,35.2,20.9,4.2,51.4,2.1,45.0,2.9,44.5,6.9,61.3,1.7,51.0,4.7,57.9,54.3
30,Ben Simmons,BKN,42,24,18,26.3,6.9,1.7,52.5,0.1,40.0,0.2,23.5,3.4,71.1,0.5,50.0,0.8,51.6,56.6
31,Bennedict Mathurin,IND,71,31,40,27.7,16.3,5.7,44.5,2.3,30.2,2.5,34.8,1.7,64.0,0.0,0.0,1.0,64.7,48.5
32,Bismack Biyombo,PHX,54,27,27,14.1,4.0,0.0,0.0,0.1,40.0,0.0,50.0,3.1,60.0,0.3,33.3,0.9,53.3,57.9
33,Blake Griffin,BOS,34,21,13,14.3,4.5,0.1,33.3,1.8,37.7,0.0,0.0,1.7,67.5,0.2,60.0,0.7,78.6,57.6
34,Blake Wesley,SAS,28,6,22,17.5,5.0,1.3,20.6,1.6,38.5,0.8,21.7,0.4,50.0,0.0,0.0,0.1,50.0,36.2
35,Boban Marjanovic,HOU,26,4,22,5.0,3.2,0.1,0.0,0.1,33.3,0.2,37.5,2.1,85.2,1.3,57.7,0.6,75.0,68.8
36,Bobby Portis,MIL,63,42,21,25.9,13.7,1.6,56.0,4.5,40.5,1.5,37.5,3.9,61.9,1.9,50.0,0.9,67.5,54.8
37,Bogdan Bogdanovic,ATL,48,24,24,28.4,14.0,3.3,53.3,6.6,42.5,3.9,40.3,0.3,58.3,0.0,50.0,0.3,57.1,55.6
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,6.1,55.3,6.0,46.5,5.5,43.7,0.7,47.1,0.5,33.3,0.7,58.1,57.1
39,Bol Bol,ORL,67,26,41,21.4,9.0,2.3,55.4,0.9,30.6,1.3,35.5,2.7,84.0,0.1,40.0,0.5,87.5,59.8
40,Bones Hyland,LAC,49,31,18,19.2,11.8,2.8,35.5,3.2,37.4,4.0,35.1,0.2,50.0,0.0,0.0,0.1,75.0,50.1
