,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
276,Juancho Hernangomez,TOR,42,14.6,1.2,0.4,1.5,26.2,0.4,1.5,26.6,39.2
277,Julian Champagnie,SAS,13,15.5,3.9,1.3,3.6,36.2,1.3,3.5,37.0,54.3
278,Julius Randle,NYK,77,35.5,5.2,1.8,5.1,34.9,1.7,4.9,34.5,51.4
279,Justin Champagnie,TOR,3,3.6,0.0,0.0,0.0,-,-,-,-,-
280,Justin Holiday,DAL,44,14.9,2.6,0.9,2.6,33.3,0.8,2.5,33.3,49.6
281,Justin Jackson,BOS,23,4.7,0.5,0.2,0.8,22.2,0.2,0.8,22.2,33.3
282,Justise Winslow,POR,29,26.8,1.5,0.5,1.8,29.4,0.5,1.5,31.8,43.1
283,Jusuf Nurkic,POR,52,26.8,2.5,0.8,2.3,36.4,0.8,2.2,36.0,53.3
284,KZ Okpala,SAC,35,7.1,0.6,0.2,0.6,33.3,0.2,0.6,33.3,50.0
285,Kai Jones,CHA,43,11.4,0.2,0.1,0.3,21.4,0.1,0.3,23.1,32.1
286,Karl-Anthony Towns,MIN,26,33.1,5.7,2.0,5.2,37.8,1.7,4.8,36.3,54.4
287,Kawhi Leonard,LAC,49,33.5,4.0,1.4,3.2,45.2,1.1,2.6,43.0,62.7
288,Keegan Murray,SAC,76,29.7,7.2,2.4,5.9,41.1,2.4,5.8,41.2,61.3
289,Keita Bates-Diop,SAS,63,21.4,2.2,0.7,1.9,39.5,0.7,1.9,40.2,59.2
290,Keldon Johnson,SAS,62,32.8,5.3,1.8,5.1,35.2,1.8,5.0,35.0,52.5
291,Kelly Olynyk,UTA,65,28.4,3.7,1.2,3.2,38.8,1.2,3.1,38.0,56.9
292,Kelly Oubre Jr.,CHA,48,32.2,5.5,1.9,5.7,32.5,1.8,5.5,32.3,48.0
293,Kemba Walker,DAL,9,16.0,0.2,0.1,0.9,12.5,0.0,0.8,0.0,12.5
294,Kendall Brown,IND,6,6.7,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
295,Kendrick Nunn,WAS,66,13.3,1.9,0.7,2.0,33.3,0.6,1.9,32.0,48.8
296,Kennedy Chandler,MEM,34,7.9,0.2,0.1,0.3,18.2,0.1,0.3,18.2,27.3
297,Kenneth Lofton Jr.,MEM,20,5.3,0.7,0.3,0.9,29.4,0.2,0.5,40.0,41.2
298,Kenrich Williams,OKC,53,22.8,2.9,1.0,2.4,42.5,0.9,2.2,39.0,60.6
299,Kentavious Caldwell-Pope,DEN,74,31.5,4.9,1.7,3.9,44.1,1.5,3.5,43.4,63.6
300,Kenyon Martin Jr.,HOU,79,27.9,2.6,0.9,2.7,32.4,0.9,2.6,32.5,48.6
301,Keon Ellis,SAC,13,3.9,0.7,0.2,0.5,50.0,0.2,0.5,50.0,75.0
302,Keon Johnson,POR,40,10.4,1.1,0.4,1.2,31.9,0.4,1.2,31.9,47.9
303,Kessler Edwards,SAC,32,10.4,1.5,0.5,1.6,32.0,0.5,1.5,33.3,48.0
304,Kevin Durant,PHX,45,35.5,4.4,1.7,3.6,46.9,1.1,2.5,42.1,61.7
305,Kevin Huerter,SAC,72,29.6,5.7,1.9,4.8,39.8,1.8,4.6,38.9,58.3
306,Kevin Knox II,POR,59,14.1,2.5,0.8,2.3,35.5,0.8,2.3,35.8,53.3
307,Kevin Love,MIA,59,20.2,4.3,1.5,4.3,34.1,1.3,3.9,34.1,49.8
308,Kevin Porter Jr.,HOU,57,34.3,2.4,0.8,2.0,40.7,0.8,1.9,41.7,60.6
309,Kevon Harris,ORL,31,12.3,0.9,0.3,0.7,39.1,0.3,0.7,39.1,58.7
310,Kevon Looney,GSW,79,23.8,0.3,0.2,0.3,50.0,0.0,0.0,0.0,50.0
311,Khem Birch,SAS,20,8.1,0.3,0.1,0.3,40.0,0.1,0.1,50.0,50.0
312,Khris Middleton,MIL,32,24.8,2.5,0.9,2.8,30.8,0.7,2.4,29.5,43.4
313,Killian Hayes,DET,72,27.7,2.3,0.8,2.6,30.4,0.7,2.4,29.1,44.0
314,Kira Lewis Jr.,NOP,24,9.7,1.5,0.5,1.2,41.4,0.5,1.2,42.9,62.1
315,Klay Thompson,GSW,67,33.2,10.4,3.6,8.8,40.9,3.2,7.8,41.0,59.2
316,Kobi Simmons,CHA,2,2.8,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
317,Kris Dunn,UTA,18,23.8,2.0,0.7,1.6,42.9,0.7,1.5,44.4,64.3
318,Kristaps Porzingis,WAS,65,32.6,6.2,2.2,5.4,39.9,1.9,4.7,39.3,57.1
319,Kyle Anderson,MIN,66,28.2,1.8,0.7,1.5,45.4,0.5,1.2,42.5,62.9
320,Kyle Kuzma,WAS,64,35.0,5.3,1.8,5.3,33.6,1.7,5.1,33.8,49.9
321,Kyle Lowry,MIA,52,32.0,3.7,1.2,3.7,33.7,1.2,3.6,33.9,50.5
322,Kyrie Irving,DAL,59,37.2,3.9,1.4,3.6,38.6,1.2,3.2,37.8,55.5
323,LaMelo Ball,CHA,36,35.2,6.7,2.2,5.5,40.2,2.2,5.5,40.4,60.3
324,Lamar Stevens,CLE,59,18.0,1.4,0.5,1.5,32.2,0.5,1.5,31.4,47.2
325,Landry Shamet,PHX,36,20.8,4.3,1.4,3.6,40.6,1.4,3.5,40.5,60.5
326,Larry Nance Jr.,NOP,61,21.1,1.0,0.4,1.0,39.1,0.2,0.7,34.1,50.0
327,Lauri Markkanen,UTA,66,34.4,8.6,2.9,7.0,41.2,2.8,6.8,40.7,60.9
328,LeBron James,LAL,51,35.6,4.0,1.4,3.9,35.8,1.2,3.4,34.1,50.5
329,Leandro Bolmaro,UTA,14,4.9,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
330,Lester Quinones,GSW,1,1.5,0.0,0.0,0.0,-,0.0,0.0,-,-
331,Lindell Wigginton,MIL,5,3.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0
332,Lindy Waters III,OKC,39,12.9,3.6,1.2,3.3,37.0,1.2,3.3,37.0,55.5
333,Lonnie Walker IV,LAL,55,23.5,4.3,1.4,3.7,38.5,1.4,3.6,38.0,57.1
334,Luguentz Dort,OKC,72,30.8,4.6,1.5,4.6,33.4,1.5,4.6,33.6,50.2
335,Luka Doncic,DAL,64,36.5,1.2,0.4,1.0,38.8,0.4,1.0,37.9,57.5
336,Luka Garza,MIN,27,8.8,1.7,0.6,1.6,38.1,0.5,1.4,36.8,54.8
337,Luka Samanic,UTA,3,15.9,2.0,0.7,3.0,22.2,0.7,3.0,22.2,33.3
