,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,0.3,0.0,0.0,100.0,0.0,0.0,0.0,0.1,18.2,0.3,81.8,0.0,0.0,0.0,9.1,0.0,0.0
2,AJ Griffin,ATL,64,30,34,19.4,2.9,0.9,1.8,50.9,0.3,0.4,87.5,2.2,75.0,0.7,23.9,0.1,3.8,0.2,5.4,0.2,6.5
3,Aaron Gordon,DEN,60,41,19,30.1,3.3,0.9,1.6,54.8,0.6,1.1,56.9,2.4,73.6,0.9,25.9,0.3,8.1,0.3,7.6,0.5,16.2
4,Aaron Holiday,ATL,55,29,26,13.6,3.3,0.5,1.2,42.6,0.2,0.2,75.0,1.3,39.4,1.6,48.9,0.3,7.8,0.2,6.1,0.1,3.3
5,Aaron Nesmith,IND,63,27,36,24.7,3.9,0.8,1.7,45.7,0.5,0.6,81.6,2.1,52.6,1.5,37.2,0.3,7.3,0.3,8.9,0.3,7.7
6,Aaron Wiggins,OKC,60,33,27,18.5,2.9,0.6,1.2,45.9,0.2,0.3,75.0,1.4,47.1,1.1,38.4,0.3,9.9,0.2,8.1,0.1,4.7
7,Admiral Schofield,ORL,31,12,19,11.9,0.8,0.3,0.5,60.0,0.2,0.2,100.0,0.8,104.2,0.1,16.7,0.0,0.0,0.0,4.2,0.1,12.5
8,Al Horford,BOS,57,40,17,30.9,1.4,0.3,0.5,60.0,0.1,0.1,50.0,0.7,48.8,0.8,55.0,0.2,15.0,0.0,0.0,0.1,3.8
9,Alec Burks,DET,50,12,38,22.0,4.8,1.0,2.1,49.0,0.8,1.1,75.9,3.0,63.1,1.7,36.1,0.4,9.1,0.3,5.4,0.6,11.6
