,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
383,Nikola Jokic,DEN,60,43,17,33.8,12155.8,2.3,1.25,1.05,3.82,4.19,3.46
384,Nikola Jovic,MIA,15,7,8,13.6,5507.7,1.04,0.57,0.47,4.3,4.76,3.89
385,Nikola Vucevic,CHI,66,30,36,33.8,12216.5,2.31,1.2,1.11,3.85,4.08,3.63
386,Noah Vonleh,BOS,23,17,6,7.5,2963.3,0.56,0.31,0.25,4.19,4.62,3.77
387,Norman Powell,LAC,54,27,27,25.8,10178.8,1.93,1.05,0.88,4.14,4.46,3.82
388,O.G. Anunoby,TOR,54,25,29,35.9,13593.0,2.57,1.32,1.25,4.02,4.17,3.87
389,Obi Toppin,NYK,55,30,25,14.4,6102.1,1.16,0.62,0.54,4.47,4.79,4.15
390,Ochai Agbaji,UTA,46,25,21,17.6,7176.9,1.36,0.73,0.63,4.3,4.64,3.96
391,Olivier Sarr,OKC,2,1,1,10.8,4600.5,0.87,0.48,0.39,4.35,5.21,4.03
392,Omer Yurtseven,MIA,2,1,1,9.2,3777.5,0.72,0.39,0.32,4.32,4.39,4.21
393,Onyeka Okongwu,ATL,67,34,33,23.6,9175.0,1.74,0.89,0.85,4.13,4.3,3.97
394,Orlando Robinson,MIA,29,17,12,13.7,5452.7,1.03,0.55,0.48,4.23,4.29,4.2
395,Oshae Brissett,IND,53,23,30,16.3,6666.5,1.26,0.68,0.58,4.31,4.69,3.94
396,Otto Porter Jr.,TOR,8,4,4,18.3,7313.4,1.39,0.74,0.65,4.24,4.52,3.96
397,Ousmane Dieng,OKC,25,13,12,16.4,6593.6,1.25,0.67,0.58,4.27,4.74,3.83
398,P.J. Tucker,PHI,64,42,22,25.7,9864.9,1.87,0.97,0.9,4.11,4.19,4.02
399,P.J. Washington,CHA,65,20,45,32.8,13044.9,2.47,1.35,1.12,4.24,4.71,3.79
400,PJ Dozier,SAC,8,7,1,1.8,740.0,0.14,0.08,0.06,4.23,4.62,3.85
401,Paolo Banchero,ORL,61,25,36,33.8,13229.4,2.51,1.36,1.14,4.15,4.57,3.74
402,Pascal Siakam,TOR,58,27,31,37.5,14340.0,2.72,1.49,1.23,4.05,4.48,3.63
403,Pat Connaughton,MIL,50,35,15,24.5,9839.7,1.86,1.0,0.86,4.28,4.65,3.9
404,Patrick Baldwin Jr.,GSW,24,10,14,8.5,3463.8,0.66,0.36,0.29,4.29,4.77,3.87
