,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,29,23,6,9.8,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,59,28,31,19.9,21.4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,52,38,14,30.0,42.4,2.2,0.6,1.1,51.7,0.5,0.7,70.6,1.7,75.0,0.5,23.3,0.1,4.3,0.1,6.0,0.3,13.8
4,Aaron Holiday,ATL,52,28,24,14.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,57,24,33,24.4,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,51,26,25,19.0,22.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,30,12,18,12.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,50,35,15,30.8,46.3,1.0,0.2,0.4,50.0,0.0,0.0,0.0,0.4,35.3,0.4,39.2,0.1,11.8,0.1,13.7,0.0,0.0
9,Alec Burks,DET,49,12,37,22.0,34.5,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,53.3,0.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,53,22,31,24.1,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,14,9,5,3.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,10,47,28.2,54.2,4.4,0.9,1.7,54.6,0.4,0.5,70.0,2.2,50.4,1.7,39.3,0.4,9.9,0.3,6.3,0.3,6.0
16,Amir Coffey,LAC,43,21,22,13.7,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,51,22,29,13.1,18.3,0.4,0.1,0.2,55.6,0.0,0.1,25.0,0.2,50.0,0.2,40.9,0.0,4.5,0.0,4.5,0.0,9.1
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,57,25,32,26.9,43.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,33.3,0.0,33.3,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,1.7,0.4,0.8,59.3,0.1,0.2,66.7,1.0,58.1,0.8,43.5,0.2,12.9,0.0,1.6,0.1,4.8
21,Anfernee Simons,POR,57,27,30,35.3,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Anthony Davis,LAL,39,18,21,33.3,67.7,5.2,1.3,2.7,48.6,1.1,1.3,82.7,3.8,72.9,1.2,23.6,0.3,5.4,0.3,4.9,0.7,12.8
23,Anthony Edwards,MIN,65,33,32,36.3,72.5,0.6,0.2,0.3,50.0,0.0,0.1,50.0,0.4,66.7,0.2,30.8,0.1,10.3,0.0,5.1,0.0,7.7
24,Anthony Gill,WAS,42,17,25,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Anthony Lamb,GSW,48,27,21,19.9,33.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,94.4,0.1,22.2,0.0,0.0,0.0,0.0
26,Austin Reaves,LAL,46,22,24,27.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Austin Rivers,MIN,49,24,25,20.4,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,61,28,33,27.8,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bam Adebayo,MIA,59,30,29,35.0,63.8,2.6,0.7,1.3,50.6,0.3,0.4,82.6,1.6,62.6,0.8,29.7,0.2,7.1,0.2,8.4,0.2,7.7
30,Ben Simmons,BKN,42,24,18,26.3,61.4,1.1,0.2,0.5,50.0,0.0,0.0,0.0,0.5,44.4,0.5,48.9,0.2,22.2,0.0,2.2,0.0,2.2
31,Bennedict Mathurin,IND,64,28,36,28.0,41.6,0.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.3,0.0,16.7,0.0,0.0,0.0,0.0,0.0,16.7
32,Bismack Biyombo,PHX,46,25,21,14.0,23.1,0.9,0.1,0.4,31.6,0.0,0.1,16.7,0.3,32.5,0.2,22.5,0.0,0.0,0.1,12.5,0.1,7.5
33,Blake Griffin,BOS,27,17,10,14.1,20.6,0.5,0.1,0.2,60.0,0.0,0.1,50.0,0.3,57.1,0.2,35.7,0.0,0.0,0.0,7.1,0.0,7.1
34,Blake Wesley,SAS,18,4,14,14.9,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Boban Marjanovic,HOU,22,1,21,4.4,5.9,1.3,0.6,1.0,60.9,0.0,0.1,50.0,1.5,113.8,0.1,10.3,0.0,0.0,0.0,3.4,0.0,3.4
36,Bobby Portis,MIL,51,34,17,26.1,51.3,3.2,0.9,1.8,50.5,0.1,0.2,75.0,2.0,62.7,0.9,29.2,0.1,4.3,0.1,3.7,0.1,2.5
37,Bogdan Bogdanovic,ATL,38,19,19,29.2,42.1,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Bojan Bogdanovic,DET,58,15,43,32.0,46.6,1.0,0.2,0.5,33.3,0.2,0.2,100.0,0.5,48.3,0.3,25.0,0.0,1.7,0.1,13.3,0.1,8.3
39,Bol Bol,ORL,59,24,35,22.5,23.8,0.2,0.0,0.1,40.0,0.0,0.0,100.0,0.1,60.0,0.1,30.0,0.0,20.0,0.0,0.0,0.0,10.0
