,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,4.8,1.6,0.5,1.2,46.7,0.5,1.2,46.7,70.0
1,AJ Green,MIL,27,9.8,3.3,1.1,2.3,48.4,1.1,2.3,48.4,72.6
2,AJ Griffin,ATL,57,20.2,3.3,1.1,3.0,37.6,1.1,2.9,36.4,54.9
3,Aaron Gordon,DEN,50,30.2,1.8,0.6,1.8,36.0,0.6,1.5,36.4,51.7
4,Aaron Holiday,ATL,51,14.3,1.5,0.5,1.2,42.4,0.5,1.2,42.4,63.6
5,Aaron Nesmith,IND,55,24.6,3.8,1.3,3.7,34.1,1.2,3.7,33.8,50.7
6,Aaron Wiggins,OKC,48,18.5,1.9,0.6,1.6,38.5,0.6,1.6,39.0,57.7
7,Admiral Schofield,ORL,28,12.6,1.9,0.6,1.8,36.0,0.6,1.8,36.0,54.0
8,Al Horford,BOS,48,30.7,6.2,2.1,5.0,41.7,2.0,4.8,42.4,61.9
9,Alec Burks,DET,49,22.1,3.0,1.0,2.3,43.9,1.0,2.3,44.1,65.4
10,Aleksej Pokusevski,OKC,31,21.9,3.8,1.3,3.3,38.8,1.2,3.1,38.5,56.8
11,Alex Caruso,CHI,51,24.2,2.4,0.8,2.0,39.4,0.8,2.0,39.0,58.2
12,Alex Len,SAC,14,3.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
13,Alize Johnson,SAS,4,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,55,28.1,0.9,0.3,0.9,36.7,0.2,0.5,36.7,48.0
16,Amir Coffey,LAC,41,13.9,0.7,0.2,0.8,31.3,0.2,0.7,30.0,45.3
17,Andre Drummond,CHI,48,13.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,3,14.1,0.0,0.0,0.0,-,-,-,-,-
19,Andrew Nembhard,IND,55,27.0,2.9,1.0,2.8,34.6,0.9,2.7,34.0,51.0
20,Andrew Wiggins,GSW,37,32.2,6.6,2.2,5.2,43.0,2.1,5.0,42.5,63.5
21,Anfernee Simons,POR,56,35.5,6.1,2.0,5.1,40.0,2.0,5.1,39.9,59.8
22,Anthony Davis,LAL,37,33.3,1.8,0.7,2.5,29.7,0.4,1.3,27.1,36.8
23,Anthony Edwards,MIN,63,36.3,3.3,1.1,2.7,42.5,1.1,2.5,42.1,62.6
24,Anthony Gill,WAS,42,10.0,0.3,0.1,0.4,25.0,0.1,0.4,20.0,34.4
25,Anthony Lamb,GSW,46,19.7,3.5,1.2,3.1,39.0,1.1,3.0,38.0,57.4
26,Austin Reaves,LAL,43,27.7,3.1,1.1,2.7,39.0,1.0,2.7,37.7,57.2
27,Austin Rivers,MIN,48,20.7,2.3,0.8,2.1,37.0,0.8,2.1,37.0,55.5
28,Ayo Dosunmu,CHI,59,28.3,2.4,0.8,2.5,32.4,0.8,2.5,31.7,48.0
