,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,0.3,0.0,0.0,100.0,0.0,0.0,0.0,0.1,18.2,0.3,81.8,0.0,0.0,0.0,9.1,0.0,0.0
2,AJ Griffin,ATL,66,31,35,19.4,2.8,0.9,1.8,50.0,0.3,0.4,87.5,2.1,74.2,0.7,23.7,0.1,3.8,0.2,5.4,0.2,6.5
3,Aaron Gordon,DEN,62,43,19,30.1,3.2,0.8,1.5,54.7,0.6,1.1,58.2,2.4,74.1,0.8,25.9,0.3,8.0,0.2,7.5,0.5,16.4
4,Aaron Holiday,ATL,57,30,27,13.7,3.4,0.5,1.3,41.9,0.2,0.2,75.0,1.3,38.9,1.7,49.2,0.3,8.3,0.2,5.7,0.1,3.1
5,Aaron Nesmith,IND,66,28,38,24.6,3.9,0.8,1.7,46.5,0.5,0.6,82.5,2.2,54.8,1.4,36.3,0.3,7.3,0.3,8.5,0.3,7.7
6,Aaron Wiggins,OKC,62,33,29,18.3,2.9,0.6,1.2,45.5,0.2,0.3,75.0,1.3,46.9,1.1,37.9,0.3,9.6,0.2,8.5,0.1,4.5
7,Admiral Schofield,ORL,31,12,19,11.9,0.8,0.3,0.5,60.0,0.2,0.2,100.0,0.8,104.2,0.1,16.7,0.0,0.0,0.0,4.2,0.1,12.5
8,Al Horford,BOS,58,41,17,30.8,1.4,0.3,0.5,60.0,0.1,0.1,50.0,0.7,48.1,0.8,54.3,0.2,14.8,0.0,1.2,0.1,3.7
9,Alec Burks,DET,50,12,38,22.0,4.8,1.0,2.1,49.0,0.8,1.1,75.9,3.0,63.1,1.7,36.1,0.4,9.1,0.3,5.4,0.6,11.6
