,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,30,24,6,9.7,12.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,60,28,32,19.7,21.3,0.5,0.2,0.3,73.3,0.0,0.0,0.0,0.4,79.3,0.2,34.5,0.0,20.0,0.0,6.9,0.0,0.0
3,Aaron Gordon,DEN,56,39,17,30.0,42.3,1.8,0.3,0.5,55.2,0.2,0.4,65.0,0.9,48.5,1.0,56.6,0.2,17.9,0.1,3.0,0.2,9.1
4,Aaron Holiday,ATL,53,28,25,13.8,20.1,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,28.6,0.1,42.9,0.0,33.3,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,59,26,33,24.5,34.2,0.4,0.2,0.2,83.3,0.0,0.0,0.0,0.3,83.3,0.2,41.7,0.0,10.0,0.0,8.3,0.0,0.0
6,Aaron Wiggins,OKC,56,30,26,18.9,21.7,0.6,0.1,0.2,38.5,0.1,0.1,100.0,0.2,38.7,0.3,45.2,0.0,7.1,0.1,9.7,0.0,3.2
7,Admiral Schofield,ORL,31,12,19,11.9,18.1,0.5,0.1,0.2,66.7,0.0,0.0,0.0,0.3,57.1,0.3,57.1,0.1,37.5,0.0,0.0,0.0,0.0
8,Al Horford,BOS,53,37,16,31.0,46.8,1.2,0.2,0.4,47.4,0.0,0.0,0.0,0.4,29.2,0.8,66.2,0.3,32.6,0.0,3.1,0.0,0.0
9,Alec Burks,DET,50,12,38,22.0,34.6,0.3,0.1,0.2,44.4,0.0,0.0,0.0,0.2,62.5,0.1,43.8,0.0,28.6,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,56,24,32,24.2,44.7,0.8,0.1,0.2,50.0,0.0,0.0,0.0,0.2,26.7,0.5,64.4,0.1,24.1,0.0,4.4,0.0,0.0
12,Alex Len,SAC,16,10,6,3.0,5.4,1.1,0.1,0.3,40.0,0.1,0.1,100.0,0.4,33.3,0.6,55.6,0.1,10.0,0.1,11.1,0.1,5.6
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,62,12,50,28.3,54.1,5.2,1.1,2.1,53.4,0.5,0.8,68.8,2.8,54.2,2.2,41.8,0.5,21.3,0.4,7.4,0.4,6.8
16,Amir Coffey,LAC,44,22,22,13.5,14.6,0.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,16.7,0.1,66.7,0.0,0.0,0.0,0.0,0.0,16.7
17,Andre Drummond,CHI,54,24,30,12.9,18.0,1.8,0.4,0.8,54.8,0.2,0.4,54.2,1.1,63.2,0.6,32.6,0.1,16.1,0.1,8.4,0.2,12.6
18,Andre Iguodala,GSW,6,1,5,13.1,24.5,0.8,0.2,0.2,100.0,0.0,0.0,0.0,0.3,40.0,0.7,80.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,61,28,33,26.8,43.6,0.4,0.1,0.2,63.6,0.0,0.0,0.0,0.2,51.9,0.2,51.9,0.0,14.3,0.0,7.4,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,0.7,0.3,0.4,56.3,0.1,0.1,75.0,0.6,80.8,0.2,26.9,0.0,14.3,0.0,0.0,0.1,7.7
21,Anfernee Simons,POR,59,27,32,35.0,67.9,0.3,0.2,0.2,69.2,0.0,0.0,0.0,0.3,118.8,0.0,12.5,0.0,50.0,0.0,6.3,0.0,0.0
22,Anthony Davis,LAL,43,21,22,33.5,67.9,5.0,1.5,2.7,54.8,0.6,0.7,92.9,3.6,73.2,1.5,31.0,0.3,21.2,0.3,5.2,0.3,6.1
23,Anthony Edwards,MIN,68,34,34,36.4,72.7,0.5,0.1,0.2,71.4,0.0,0.0,100.0,0.3,69.7,0.2,36.4,0.0,25.0,0.1,15.2,0.0,3.0
24,Anthony Gill,WAS,45,17,28,10.1,10.1,0.5,0.1,0.2,75.0,0.0,0.0,0.0,0.3,57.1,0.2,52.4,0.0,18.2,0.0,0.0,0.0,0.0
25,Anthony Lamb,GSW,49,27,22,20.0,34.0,0.7,0.1,0.2,62.5,0.0,0.0,50.0,0.2,33.3,0.4,63.6,0.1,19.0,0.0,6.1,0.0,3.0
26,Austin Reaves,LAL,50,25,25,27.6,38.0,0.5,0.1,0.2,55.6,0.1,0.1,80.0,0.2,44.4,0.3,55.6,0.1,26.7,0.0,0.0,0.1,11.1
27,Austin Rivers,MIN,50,24,26,20.1,23.5,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.1,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,64,30,34,27.2,46.0,0.2,0.1,0.1,85.7,0.0,0.0,100.0,0.2,100.0,0.1,35.7,0.0,0.0,0.0,7.1,0.0,7.1
29,Bam Adebayo,MIA,64,33,31,35.1,63.1,7.1,2.1,3.6,58.3,0.7,0.9,76.8,4.9,68.8,2.6,36.0,0.4,15.2,0.4,5.7,0.4,6.2
30,Ben Simmons,BKN,42,24,18,26.3,61.4,2.3,0.4,0.7,51.6,0.0,0.1,25.0,0.8,34.4,1.4,59.4,0.3,21.1,0.0,2.1,0.0,2.1
31,Bennedict Mathurin,IND,67,30,37,27.8,41.0,1.2,0.3,0.5,64.7,0.3,0.4,79.2,1.0,87.3,0.4,34.2,0.0,11.1,0.0,3.8,0.2,15.2
32,Bismack Biyombo,PHX,48,26,22,13.6,22.4,2.5,0.4,0.8,52.6,0.1,0.2,37.5,0.9,36.4,1.4,56.8,0.3,17.9,0.1,4.2,0.1,3.4
33,Blake Griffin,BOS,30,19,11,14.4,20.9,1.2,0.3,0.4,76.9,0.1,0.1,50.0,0.7,62.9,0.6,54.3,0.2,26.3,0.0,0.0,0.1,5.7
34,Blake Wesley,SAS,21,4,17,16.2,30.8,0.3,0.0,0.1,50.0,0.0,0.1,50.0,0.1,42.9,0.2,57.1,0.0,0.0,0.0,0.0,0.0,14.3
35,Boban Marjanovic,HOU,24,3,21,4.8,6.5,0.7,0.3,0.3,75.0,0.0,0.1,50.0,0.6,88.2,0.3,35.3,0.0,16.7,0.1,11.8,0.0,5.9
36,Bobby Portis,MIL,56,37,19,26.1,50.8,1.5,0.4,0.6,66.7,0.1,0.1,75.0,0.9,60.0,0.7,48.2,0.1,17.1,0.1,5.9,0.0,2.4
37,Bogdan Bogdanovic,ATL,42,21,21,28.7,41.8,0.7,0.2,0.3,53.8,0.0,0.0,0.0,0.3,50.0,0.3,50.0,0.1,21.4,0.0,0.0,0.0,0.0
38,Bojan Bogdanovic,DET,58,15,43,32.0,46.6,0.8,0.3,0.5,58.1,0.1,0.1,100.0,0.7,95.5,0.2,20.5,0.0,22.2,0.0,2.3,0.0,4.5
39,Bol Bol,ORL,63,25,38,22.0,23.3,0.4,0.2,0.3,87.5,0.0,0.0,100.0,0.5,114.8,0.1,33.3,0.0,22.2,0.0,3.7,0.0,3.7
40,Bones Hyland,LAC,47,30,17,19.0,45.4,0.2,0.1,0.1,75.0,0.0,0.0,0.0,0.1,60.0,0.1,50.0,0.0,20.0,0.0,10.0,0.0,0.0
41,Bradley Beal,WAS,46,23,23,33.6,67.8,1.9,0.5,1.0,51.1,0.1,0.1,100.0,1.2,63.6,0.7,37.5,0.1,18.2,0.1,6.8,0.1,3.4
42,Brandon Boston Jr.,LAC,21,8,13,11.7,20.3,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Brandon Clarke,MEM,56,32,24,19.5,28.5,4.3,1.1,1.6,65.2,0.1,0.3,57.1,2.4,55.4,2.3,53.8,0.4,15.5,0.1,2.9,0.1,2.9
44,Brandon Ingram,NOP,31,14,17,32.7,64.6,1.8,0.6,0.9,71.4,0.3,0.3,100.0,1.7,91.2,0.6,35.1,0.3,40.0,0.1,3.5,0.1,7.0
45,Braxton Key,DET,3,0,3,3.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,66,47,19,30.5,34.4,2.5,0.5,1.0,52.4,0.2,0.2,75.0,1.2,49.4,1.2,48.2,0.2,17.5,0.2,7.2,0.1,4.8
47,Bruce Brown,DEN,67,46,21,28.3,51.5,0.8,0.4,0.5,72.7,0.0,0.1,50.0,0.8,94.5,0.3,30.9,0.1,23.5,0.0,5.5,0.0,3.6
48,Bruno Fernando,ATL,33,10,23,11.2,20.1,1.5,0.2,0.5,41.2,0.1,0.1,50.0,0.5,34.7,0.7,49.0,0.0,4.2,0.1,4.1,0.1,4.1
49,Bryce McGowens,CHA,34,11,23,14.7,14.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Bryn Forbes,MIN,25,9,16,10.7,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Buddy Boeheim,DET,2,0,2,3.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,68,31,37,31.8,59.6,0.4,0.1,0.1,80.0,0.0,0.0,0.0,0.3,67.9,0.2,53.6,0.0,6.7,0.0,10.7,0.0,0.0
53,CJ McCollum,NOP,61,29,32,35.0,75.0,0.9,0.2,0.4,53.8,0.0,0.0,100.0,0.5,63.5,0.3,40.4,0.0,14.3,0.1,7.7,0.0,1.9
54,Cade Cunningham,DET,12,3,9,33.3,78.3,0.3,0.2,0.3,66.7,0.0,0.0,0.0,0.3,100.0,0.1,25.0,0.1,100.0,0.0,0.0,0.0,0.0
55,Caleb Houstan,ORL,39,14,25,15.4,12.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0
56,Caleb Martin,MIA,58,30,28,29.8,38.6,0.6,0.2,0.3,68.4,0.0,0.0,100.0,0.5,83.3,0.2,36.1,0.0,7.7,0.0,5.6,0.0,0.0
57,Cam Reddish,POR,33,13,20,25.3,29.3,0.6,0.2,0.4,58.3,0.1,0.1,100.0,0.5,76.2,0.2,28.6,0.1,33.3,0.1,9.5,0.0,4.8
58,Cam Thomas,BKN,49,28,21,16.9,29.7,0.4,0.1,0.2,60.0,0.1,0.1,100.0,0.4,100.0,0.1,27.8,0.0,40.0,0.0,5.6,0.0,5.6
59,Cameron Johnson,BKN,29,19,10,27.1,36.7,0.5,0.2,0.3,50.0,0.0,0.0,0.0,0.3,66.7,0.1,26.7,0.0,0.0,0.0,0.0,0.0,0.0
60,Cameron Payne,PHX,35,20,15,21.9,53.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Caris LeVert,CLE,64,38,26,30.1,47.9,0.6,0.1,0.3,35.3,0.1,0.1,75.0,0.3,47.4,0.2,39.5,0.0,13.3,0.0,2.6,0.1,10.5
