,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
0,A.J. Lawson,DAL,13,5,8,4.8,2070.5,0.39,0.2,0.19,4.49,4.76,4.23
1,AJ Green,MIL,33,26,7,9.7,3987.7,0.76,0.42,0.34,4.34,4.73,3.93
2,AJ Griffin,ATL,67,31,36,19.3,8332.9,1.58,0.85,0.73,4.56,4.95,4.18
3,Aaron Gordon,DEN,63,44,19,29.9,11233.6,2.13,1.11,1.02,4.0,4.23,3.78
4,Aaron Holiday,ATL,58,30,28,13.5,5470.1,1.04,0.53,0.51,4.28,4.37,4.2
5,Aaron Nesmith,IND,68,28,40,24.9,10224.7,1.94,1.0,0.94,4.38,4.67,4.1
6,Aaron Wiggins,OKC,65,35,30,18.2,7789.6,1.48,0.78,0.69,4.55,4.94,4.17
7,Admiral Schofield,ORL,33,13,20,11.7,4758.6,0.9,0.48,0.42,4.3,4.57,4.05
8,Al Horford,BOS,60,42,18,30.6,11307.7,2.14,1.13,1.01,3.94,4.2,3.68
9,Alec Burks,DET,50,12,38,22.0,8408.5,1.59,0.84,0.76,4.04,4.26,3.83
10,Aleksej Pokusevski,OKC,33,16,17,20.9,8456.7,1.6,0.89,0.71,4.32,4.96,3.71
11,Alex Caruso,CHI,61,28,33,23.9,9856.0,1.87,0.98,0.89,4.36,4.72,4.03
12,Alex Len,SAC,20,13,7,4.0,1647.3,0.31,0.17,0.14,4.27,4.68,3.85
13,Alize Johnson,SAS,4,1,3,7.4,3226.5,0.61,0.34,0.27,4.52,5.03,4.03
14,Alondes Williams,BKN,1,1,0,5.3,2184.0,0.41,0.23,0.18,4.27,3.78,4.91
15,Alperen Sengun,HOU,70,14,56,28.6,10336.4,1.96,1.04,0.91,3.85,3.92,3.77
16,Amir Coffey,LAC,48,25,23,12.7,4866.8,0.92,0.48,0.44,4.01,4.1,3.94
17,Andre Drummond,CHI,62,29,33,12.8,4914.0,0.93,0.47,0.46,4.04,4.23,3.88
18,Andre Iguodala,GSW,7,2,5,13.5,5315.9,1.01,0.56,0.45,4.15,4.66,3.65
19,Andrew Nembhard,IND,70,30,40,27.3,11103.7,2.1,1.09,1.01,4.31,4.62,4.03
20,Andrew Wiggins,GSW,36,18,18,32.3,12314.7,2.33,1.22,1.12,4.07,4.38,3.77
21,Anfernee Simons,POR,62,27,35,35.0,13611.3,2.58,1.44,1.14,4.13,4.52,3.72
22,Anthony Davis,LAL,50,26,24,33.9,11953.1,2.26,1.21,1.05,3.77,4.04,3.5
23,Anthony Edwards,MIN,74,37,37,36.1,13494.9,2.56,1.36,1.2,3.97,4.29,3.65
24,Anthony Gill,WAS,53,20,33,9.9,4028.3,0.76,0.41,0.35,4.25,4.57,3.92
25,Anthony Lamb,GSW,56,31,25,19.8,8148.0,1.54,0.86,0.68,4.36,4.94,3.79
26,Austin Reaves,LAL,58,30,28,28.3,10991.0,2.08,1.13,0.95,4.12,4.46,3.78
27,Austin Rivers,MIN,52,25,27,19.5,7451.3,1.41,0.72,0.69,4.03,4.17,3.9
28,Ayo Dosunmu,CHI,73,35,38,26.5,10914.0,2.07,1.06,1.01,4.39,4.65,4.15
29,Bam Adebayo,MIA,72,37,35,35.2,13157.2,2.49,1.33,1.16,3.97,4.24,3.7
30,Ben Simmons,BKN,42,24,18,26.3,9716.2,1.84,0.97,0.87,3.93,4.32,3.58
31,Bennedict Mathurin,IND,73,31,42,28.0,11190.8,2.12,1.12,1.0,4.21,4.52,3.91
32,Bismack Biyombo,PHX,56,29,27,14.3,5511.6,1.04,0.56,0.49,4.09,4.27,3.9
33,Blake Griffin,BOS,35,22,13,14.1,5039.4,0.95,0.52,0.44,3.83,3.99,3.65
34,Blake Wesley,SAS,30,6,24,17.2,7399.2,1.4,0.77,0.63,4.53,4.97,4.1
35,Boban Marjanovic,HOU,27,4,23,5.2,1816.8,0.34,0.17,0.17,3.68,3.9,3.49
36,Bobby Portis,MIL,65,44,21,25.9,10461.8,1.98,1.08,0.91,4.3,4.61,3.98
37,Bogdan Bogdanovic,ATL,50,25,25,28.2,11183.6,2.12,1.17,0.95,4.2,4.7,3.72
38,Bojan Bogdanovic,DET,58,15,43,32.0,12375.1,2.34,1.29,1.06,4.1,4.47,3.74
39,Bol Bol,ORL,67,26,41,21.4,8351.8,1.58,0.82,0.76,4.15,4.32,3.98
40,Bones Hyland,LAC,51,33,18,19.3,7574.3,1.43,0.79,0.64,4.15,4.5,3.79
41,Bradley Beal,WAS,50,24,26,33.5,12923.5,2.45,1.39,1.05,4.1,4.47,3.7
42,Brandon Boston Jr.,LAC,21,8,13,11.8,4740.6,0.9,0.48,0.42,4.23,4.48,3.94
43,Brandon Clarke,MEM,56,32,24,19.5,8108.9,1.54,0.81,0.73,4.37,4.68,4.07
44,Brandon Ingram,NOP,39,19,20,33.3,12139.5,2.3,1.27,1.03,3.87,4.3,3.45
45,Braxton Key,DET,3,0,3,3.0,1299.0,0.25,0.11,0.13,4.19,4.91,3.77
46,Brook Lopez,MIL,74,54,20,30.5,11032.2,2.09,1.11,0.98,3.87,4.13,3.61
47,Bruce Brown,DEN,74,51,23,28.1,10711.4,2.03,1.1,0.93,4.03,4.37,3.7
48,Bruno Fernando,ATL,35,11,24,10.7,4097.7,0.78,0.43,0.35,4.06,4.39,3.68
49,Bryce McGowens,CHA,41,15,26,15.4,6181.1,1.17,0.62,0.55,4.24,4.55,3.94
50,Bryn Forbes,MIN,25,9,16,10.7,4362.0,0.83,0.44,0.39,4.31,4.75,3.87
51,Buddy Boeheim,DET,7,1,6,9.8,3891.7,0.74,0.39,0.35,4.17,4.24,4.11
52,Buddy Hield,IND,75,33,42,31.6,13316.4,2.52,1.37,1.15,4.48,5.01,3.98
53,CJ McCollum,NOP,69,34,35,35.0,13971.6,2.65,1.48,1.17,4.25,4.83,3.68
54,Cade Cunningham,DET,12,3,9,33.4,13146.8,2.49,1.39,1.1,4.18,4.67,3.67
55,Caleb Houstan,ORL,46,18,28,15.3,6315.8,1.2,0.65,0.55,4.37,4.68,4.05
56,Caleb Martin,MIA,66,34,32,29.5,12751.9,2.42,1.31,1.11,4.58,4.93,4.23
