,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,14,5,9,6.1,3.3,0.0,0.0,1.9,45.0,0.0,0.0,0.7,100.0,0.0,0.0,0.1,100.0,64.3
1,AJ Green,MIL,35,27,8,9.9,4.4,0.1,50.0,3.1,43.9,1.0,38.9,0.2,60.0,0.0,0.0,0.0,0.0,60.0
2,AJ Griffin,ATL,71,34,37,19.3,8.8,2.1,49.6,3.2,37.9,2.9,49.7,0.6,72.4,0.0,100.0,0.4,75.0,56.3
3,Aaron Gordon,DEN,68,45,23,30.2,16.3,2.4,55.7,1.8,31.4,1.5,35.1,7.9,75.2,1.5,48.6,0.9,53.8,60.3
4,Aaron Holiday,ATL,62,32,30,13.1,3.9,1.3,42.1,1.3,43.5,0.9,40.3,0.2,46.2,0.0,0.0,0.0,25.0,51.2
5,Aaron Nesmith,IND,72,29,43,24.9,10.1,2.2,44.1,4.1,35.6,1.2,42.2,0.8,58.1,0.0,0.0,0.3,78.6,52.1
6,Aaron Wiggins,OKC,69,36,33,18.7,6.9,1.3,44.8,1.9,38.8,0.2,35.3,1.9,65.1,0.0,50.0,0.2,37.5,57.7
7,Admiral Schofield,ORL,36,14,22,11.9,4.1,0.8,50.0,1.9,36.5,0.1,16.7,0.7,63.2,0.0,0.0,0.3,71.4,57.1
8,Al Horford,BOS,63,44,19,30.5,9.8,0.6,60.0,6.9,43.6,0.3,40.0,1.5,54.9,0.3,50.0,0.3,45.0,62.7
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,1.0,32.5,3.4,37.4,0.3,27.8,2.2,54.5,0.0,0.0,1.0,66.7,51.0
