,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,33,26,7,9.7,4.5,0.1,100.0,3.2,46.1,1.0,38.2,0.2,60.0,0.0,0.0,0.0,0.0,62.1
2,AJ Griffin,ATL,67,31,36,19.3,8.8,2.1,49.6,3.1,37.1,2.9,49.4,0.6,74.1,0.0,100.0,0.3,73.3,55.9
3,Aaron Gordon,DEN,64,44,20,30.0,16.3,2.4,55.6,1.8,32.3,1.5,37.3,7.9,75.3,1.6,53.1,0.9,56.8,61.4
4,Aaron Holiday,ATL,58,30,28,13.5,3.9,1.3,41.9,1.3,42.6,0.9,41.4,0.2,41.7,0.0,0.0,0.0,25.0,50.5
5,Aaron Nesmith,IND,68,28,40,24.9,10.0,2.1,45.8,4.0,34.9,1.2,42.7,0.9,61.0,0.0,0.0,0.3,78.6,52.2
6,Aaron Wiggins,OKC,65,35,30,18.2,6.5,1.3,44.4,1.8,37.9,0.2,35.3,1.8,64.1,0.0,50.0,0.2,40.0,56.6
7,Admiral Schofield,ORL,33,13,20,11.7,4.1,0.8,56.3,2.0,37.9,0.0,0.0,0.7,61.1,0.0,0.0,0.2,66.7,58.4
8,Al Horford,BOS,61,43,18,30.5,9.7,0.6,60.0,6.8,43.9,0.3,44.4,1.5,53.8,0.4,50.0,0.3,45.0,63.1
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,33,16,17,20.9,8.3,1.0,32.5,3.5,38.1,0.3,27.8,2.3,54.5,0.0,0.0,1.0,65.2,51.2
11,Alex Caruso,CHI,61,28,33,23.9,5.7,0.8,40.0,2.5,38.3,0.2,19.2,0.8,59.5,0.0,0.0,0.2,46.2,54.9
12,Alex Len,SAC,20,13,7,4.0,1.1,0.0,0.0,0.0,0.0,0.1,100.0,0.9,77.8,0.0,0.0,0.3,33.3,47.1
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,70,14,56,28.6,14.7,2.9,54.7,0.9,35.7,0.4,40.0,5.3,59.0,2.3,55.2,2.7,52.4,56.7
