,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
176,Isaac Okoro,CLE,74,46,28,21.8,0.1,0.0,0.1,33.3,0.0,0.1,42.9,50.0
177,Isaiah Hartenstein,NYK,74,42,32,19.6,0.1,0.0,0.1,37.5,0.0,0.0,-,37.5
178,Isaiah Jackson,IND,54,22,32,15.4,0.2,0.1,0.2,50.0,0.0,0.0,0.0,50.0
179,Isaiah Joe,OKC,64,33,31,18.3,2.1,0.8,1.8,44.9,0.4,1.1,37.5,56.4
180,Isaiah Livers,DET,46,10,36,22.4,1.1,0.5,1.1,43.1,0.2,0.4,36.8,50.0
181,Isaiah Mobley,CLE,9,6,3,3.4,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0
182,Isaiah Roby,SAS,42,9,33,11.3,0.5,0.2,0.6,29.6,0.1,0.3,28.6,37.0
183,Isaiah Stewart,DET,50,12,38,28.3,0.0,0.0,0.1,16.7,0.0,0.1,0.0,16.7
184,Isaiah Todd,WAS,4,2,2,3.1,0.0,0.0,0.0,-,0.0,0.0,-,-
185,Ish Smith,DEN,37,23,14,8.8,1.4,0.7,1.8,38.2,0.0,0.1,0.0,38.2
186,Ish Wainright,PHX,53,28,25,15.3,0.3,0.1,0.3,35.7,0.1,0.2,33.3,50.0
187,Ivica Zubac,LAC,67,37,30,29.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
188,JD Davison,BOS,8,7,1,2.3,0.0,0.0,0.4,0.0,0.0,0.0,-,0.0
189,JT Thor,CHA,60,18,42,11.9,0.2,0.1,0.4,22.7,0.0,0.1,0.0,22.7
190,Ja Morant,MEM,54,35,19,32.3,6.7,2.9,7.3,38.9,1.0,3.2,30.5,45.6
191,JaMychal Green,GSW,54,28,26,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,JaVale McGee,DAL,37,18,19,8.0,0.1,0.0,0.1,25.0,0.0,0.0,0.0,25.0
193,Jabari Smith Jr.,HOU,70,17,53,30.7,2.5,1.1,3.0,36.2,0.3,0.9,37.1,41.5
194,Jabari Walker,POR,46,20,26,8.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
195,Jack White,DEN,16,12,4,3.2,0.0,0.0,0.0,-,0.0,0.0,-,-
196,Jaden Hardy,DAL,39,18,21,14.2,2.1,0.8,2.0,41.0,0.5,1.2,40.0,52.6
197,Jaden Ivey,DET,65,15,50,30.4,3.8,1.6,4.6,34.8,0.6,2.0,29.7,41.1
198,Jaden McDaniels,MIN,71,36,35,30.9,1.3,0.6,1.4,42.4,0.1,0.3,42.1,46.5
199,Jaden Springer,PHI,11,11,0,3.9,0.2,0.1,0.4,25.0,0.0,0.0,-,25.0
200,Jae Crowder,MIL,11,9,2,18.7,1.5,0.6,1.1,58.3,0.3,0.6,42.9,70.8
201,Jae'Sean Tate,HOU,31,7,24,21.9,0.3,0.1,0.5,25.0,0.0,0.2,20.0,28.1
202,Jake LaRavia,MEM,33,22,11,11.9,0.2,0.1,0.3,20.0,0.0,0.3,11.1,25.0
203,Jakob Poeltl,TOR,63,20,43,26.8,0.5,0.3,0.5,56.7,0.0,0.0,0.0,56.7
204,Jalen Brunson,NYK,65,37,28,34.9,8.3,3.6,8.2,44.6,1.0,2.8,37.8,51.0
205,Jalen Duren,DET,58,15,43,24.5,0.1,0.1,0.2,27.3,0.0,0.0,-,27.3
206,Jalen Green,HOU,67,16,51,34.2,6.4,2.6,7.3,35.0,1.3,4.1,31.6,43.8
207,Jalen Johnson,ATL,64,32,32,14.5,0.2,0.1,0.3,27.3,0.0,0.1,0.0,27.3
208,Jalen McDaniels,PHI,71,26,45,24.3,0.7,0.3,0.9,35.9,0.0,0.1,16.7,36.7
209,Jalen Smith,IND,61,30,31,18.4,0.3,0.1,0.4,34.8,0.0,0.1,60.0,41.3
210,Jalen Suggs,ORL,45,17,28,23.7,2.6,1.0,2.9,35.9,0.5,1.6,30.1,44.3
211,Jalen Williams,OKC,66,33,33,29.9,1.6,0.7,1.9,38.7,0.1,0.4,33.3,42.3
212,Jamal Cain,MIA,15,8,7,12.4,0.0,0.0,0.2,0.0,0.0,0.0,-,0.0
213,Jamal Murray,DEN,59,40,19,33.0,8.4,3.5,8.5,40.5,1.5,3.7,39.9,49.1
214,Jamaree Bouyea,WAS,5,2,3,14.1,0.6,0.2,0.8,25.0,0.2,0.6,33.3,37.5
215,James Bouknight,CHA,26,5,21,13.6,1.2,0.5,1.4,33.3,0.3,0.9,34.8,44.4
216,James Harden,PHI,53,36,17,36.9,8.1,3.0,7.7,39.5,2.0,5.4,37.2,52.5
217,James Johnson,IND,14,6,8,8.8,0.5,0.2,0.4,50.0,0.1,0.1,50.0,58.3
218,James Wiseman,DET,36,10,26,18.3,0.2,0.1,0.4,18.8,0.0,0.0,-,18.8
219,Jared Butler,OKC,2,1,1,9.6,1.5,0.5,0.5,100,0.5,0.5,100,150.0
220,Jared Rhoden,DET,7,1,6,9.4,0.3,0.1,0.3,50.0,0.0,0.1,0.0,50.0
221,Jaren Jackson Jr.,MEM,55,35,20,28.1,0.5,0.2,0.7,27.5,0.1,0.4,30.0,35.0
222,Jarred Vanderbilt,LAL,69,36,33,24.4,0.1,0.1,0.2,25.0,0.0,0.0,50.0,28.1
223,Jarrell Brantley,UTA,1,0,1,1.5,0.0,0.0,0.0,-,-,-,-,-
224,Jarrett Allen,CLE,63,40,23,33.1,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
225,Jarrett Culver,ATL,10,5,5,13.7,0.6,0.3,0.8,37.5,0.0,0.2,0.0,37.5
226,Jason Preston,LAC,13,3,10,9.4,1.0,0.5,1.2,37.5,0.1,0.3,25.0,40.6
227,Javonte Green,CHI,30,12,18,15.5,0.2,0.1,0.2,40.0,0.0,0.0,100,50.0
228,Jaxson Hayes,NOP,44,20,24,13.7,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
229,Jay Huff,WAS,3,1,2,4.1,0.0,0.0,0.0,-,0.0,0.0,-,-
230,Jaylen Brown,BOS,61,41,20,36.1,6.1,2.6,6.4,41.2,0.9,2.6,33.1,47.9
231,Jaylen Nowell,MIN,64,33,31,19.3,3.0,1.3,3.0,42.7,0.4,1.4,30.0,49.7
