,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
408,Patrick Williams,CHI,66,30,36,28.6,10.2,1.4,43.0,4.0,41.2,1.6,39.8,1.9,68.3,0.2,38.5,0.4,44.0,55.4
409,Patty Mills,BKN,38,18,20,13.6,6.1,0.8,56.5,2.7,36.2,1.8,41.4,0.1,66.7,0.0,0.0,0.1,33.3,54.1
410,Paul George,LAC,52,30,22,34.5,23.7,5.9,52.7,5.3,40.2,7.8,39.4,1.3,77.8,0.7,53.3,0.8,47.5,54.0
411,Paul Reed,PHI,54,35,19,10.1,3.4,0.1,33.3,0.1,28.6,0.0,25.0,2.5,64.4,0.1,25.0,0.5,60.9,57.3
412,Payton Pritchard,BOS,45,30,15,12.5,4.7,0.6,33.3,2.2,37.0,0.9,29.1,0.5,90.9,0.0,0.0,0.2,80.0,49.3
413,Peyton Watson,DEN,14,9,5,3.2,1.6,0.7,71.4,0.4,50.0,0.1,33.3,0.0,0.0,0.0,0.0,0.1,100.0,57.9
414,Precious Achiuwa,TOR,45,24,21,21.8,9.3,1.9,46.3,1.4,25.6,0.3,19.2,3.4,64.4,0.1,40.0,0.9,43.6,50.3
415,Quentin Grimes,NYK,60,35,25,29.3,9.8,1.6,53.1,5.1,36.7,0.6,25.0,0.5,73.7,0.0,0.0,0.3,66.7,56.6
416,Quenton Jackson,WAS,3,2,1,2.6,1.7,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
417,R.J. Hampton,DET,36,8,28,15.0,6.1,1.9,44.8,2.1,39.7,0.8,30.0,0.4,80.0,0.0,0.0,0.1,50.0,52.4
418,RJ Barrett,NYK,64,36,28,34.1,19.8,8.5,47.5,4.8,33.7,1.4,26.5,1.6,62.0,0.5,34.3,0.9,59.5,48.5
419,Raul Neto,CLE,43,29,14,10.1,3.0,1.3,60.5,0.7,32.3,0.5,52.9,0.2,80.0,0.0,0.0,0.0,100.0,57.8
420,Reggie Bullock,DAL,66,33,33,30.4,7.0,0.2,40.0,5.5,37.8,0.3,25.0,0.5,100.0,0.0,0.0,0.2,83.3,55.7
421,Reggie Jackson,DEN,61,33,28,24.9,10.2,3.7,46.9,3.7,39.7,2.5,34.5,0.2,38.9,0.0,0.0,0.2,57.1,47.9
422,Richaun Holmes,SAC,35,18,17,8.7,3.2,0.2,50.0,0.6,69.2,0.0,0.0,1.7,64.3,0.2,75.0,1.0,76.2,70.3
423,Ricky Rubio,CLE,23,16,7,16.9,5.6,1.7,42.5,1.8,30.4,2.3,42.9,0.0,0.0,0.0,0.0,0.0,0.0,42.2
424,Robert Covington,LAC,38,15,23,16.4,5.7,0.8,47.6,3.0,34.9,0.2,27.3,1.1,58.8,0.0,0.0,0.0,0.0,52.2
425,Robert Williams III,BOS,28,18,10,24.2,8.4,0.1,0.0,0.2,60.0,0.0,0.0,7.3,76.6,0.1,66.7,0.4,50.0,75.0
426,Robin Lopez,CLE,34,24,10,7.5,2.7,0.2,50.0,0.2,75.0,0.1,100.0,1.2,64.5,0.5,53.3,0.6,50.0,66.7
427,Rodney McGruder,DET,29,4,25,14.7,4.9,0.3,13.6,2.8,40.9,0.7,35.0,0.7,90.9,0.0,0.0,0.1,100.0,54.7
428,Romeo Langford,SAS,33,10,23,20.2,7.0,2.7,45.7,1.2,31.1,1.2,47.5,1.5,74.2,0.0,0.0,0.2,50.0,51.2
429,Ron Harper Jr.,TOR,4,2,2,3.5,2.5,0.5,50.0,1.5,66.7,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,71.4
430,Royce O'Neale,BKN,65,36,29,32.3,8.9,1.2,31.8,5.6,40.0,1.0,34.8,0.4,46.2,0.0,0.0,0.1,50.0,52.5
431,Rudy Gay,UTA,53,27,26,14.6,5.0,1.0,46.5,1.5,26.6,1.4,42.2,0.7,46.4,0.4,50.0,0.4,70.0,43.2
432,Rudy Gobert,MIN,57,27,30,30.5,13.7,0.7,48.4,0.2,41.7,0.0,0.0,10.8,69.9,0.8,66.7,2.5,61.4,67.0
433,Rui Hachimura,LAL,51,29,22,24.2,11.9,2.4,46.3,3.1,36.6,2.9,49.7,1.8,59.4,0.8,44.4,0.5,50.0,53.0
434,Russell Westbrook,LAC,60,28,32,28.8,15.6,6.3,49.3,2.4,31.1,2.8,32.7,1.3,60.0,0.6,51.9,0.3,38.9,46.9
435,Ryan Arcidiacono,POR,15,8,7,5.8,1.1,0.0,0.0,1.0,50.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,50.0
436,Ryan Rollins,GSW,12,5,7,5.2,1.9,0.3,20.0,0.8,37.5,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,42.5
437,Saben Lee,PHX,22,14,8,13.7,5.3,2.4,44.4,0.8,50.0,0.4,23.5,0.3,50.0,0.0,0.0,0.0,0.0,46.0
438,Saddiq Bey,ATL,63,17,46,28.3,14.1,3.9,45.2,4.8,39.2,2.1,30.9,1.0,55.8,0.7,50.0,0.3,56.3,51.0
439,Sam Hauser,BOS,67,45,22,15.8,6.2,0.3,57.1,4.8,42.6,0.4,30.0,0.5,70.8,0.0,0.0,0.1,50.0,62.9
440,Sam Merrill,CLE,2,2,0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,33.3
441,Sandro Mamukelashvili,SAS,29,19,10,10.4,3.2,0.4,44.4,1.3,27.1,0.1,100.0,0.8,55.0,0.0,0.0,0.1,25.0,44.0
442,Santi Aldama,MEM,64,38,26,22.1,9.3,1.2,51.5,3.7,37.2,0.4,30.3,2.2,67.4,0.2,45.5,0.5,59.1,56.9
443,Scottie Barnes,TOR,66,31,35,35.3,15.7,4.0,45.3,2.3,30.1,2.0,31.4,4.0,58.2,1.3,45.2,1.0,50.0,48.6
444,Scotty Pippen Jr.,LAL,6,1,5,5.3,2.3,1.2,50.0,0.0,0.0,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
445,Serge Ibaka,MIL,16,11,5,11.6,4.1,0.5,57.1,1.1,30.0,0.3,40.0,1.9,66.7,0.0,0.0,0.3,50.0,53.7
446,Seth Curry,BKN,51,32,19,21.3,9.9,1.5,55.7,3.6,39.3,4.2,50.3,0.1,66.7,0.0,0.0,0.0,33.3,56.6
447,Shaedon Sharpe,POR,68,30,38,20.3,7.9,1.3,53.2,2.5,42.1,1.5,33.3,1.5,74.6,0.0,0.0,0.3,60.0,55.0
