trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Joel Embiid,0.29,0.25,0.17,0.27,0.13,0.45,0.25,0.85,0.73,0.5,0.78,0.37,1.0,0.99,0.87,0.99,0.83,1.0,1.0,1.0,0.91,0.76,0.96,0.48
Damian Lillard,0.28,0.12,0.31,0.25,0.13,0.37,0.25,0.76,0.32,0.85,0.68,0.35,1.0,0.81,0.98,0.98,0.83,0.99,1.0,0.99,0.4,0.96,0.92,0.43
Luka Doncic,0.28,0.23,0.36,0.3,0.2,0.41,0.26,0.76,0.63,0.99,0.81,0.53,1.0,0.98,0.99,1.0,0.97,0.99,1.0,0.99,0.85,0.99,0.97,0.8
Shai Gilgeous-Alexander,0.27,0.11,0.23,0.22,0.21,0.46,0.22,0.76,0.3,0.64,0.61,0.59,0.99,0.77,0.94,0.95,0.99,1.0,0.98,0.99,0.33,0.87,0.87,0.87
Giannis Antetokounmpo,0.26,0.23,0.22,0.28,0.13,0.51,0.22,0.81,0.75,0.72,0.87,0.41,0.99,0.98,0.93,1.0,0.83,1.0,0.98,1.0,0.92,0.91,0.98,0.57
Kevin Durant,0.26,0.17,0.19,0.25,0.09,0.34,0.22,0.71,0.47,0.54,0.71,0.26,0.99,0.92,0.89,0.98,0.59,0.99,0.98,0.99,0.69,0.8,0.94,0.23
Donovan Mitchell,0.25,0.1,0.18,0.21,0.2,0.23,0.24,0.69,0.29,0.5,0.58,0.56,0.99,0.72,0.88,0.94,0.97,0.94,0.99,0.98,0.3,0.76,0.83,0.83
Jayson Tatum,0.25,0.2,0.18,0.23,0.16,0.38,0.24,0.69,0.53,0.48,0.63,0.42,0.99,0.95,0.88,0.97,0.92,0.99,0.99,0.98,0.77,0.74,0.89,0.59
LeBron James,0.24,0.18,0.26,0.24,0.14,0.24,0.24,0.69,0.52,0.73,0.68,0.38,0.98,0.93,0.96,0.98,0.86,0.95,0.99,0.98,0.76,0.92,0.92,0.51
Devin Booker,0.24,0.11,0.2,0.23,0.12,0.32,0.22,0.68,0.3,0.58,0.64,0.34,0.98,0.77,0.9,0.97,0.78,0.98,0.98,0.98,0.33,0.83,0.9,0.4
Stephen Curry,0.24,0.14,0.2,0.2,0.14,0.25,0.22,0.7,0.41,0.59,0.57,0.39,0.98,0.87,0.9,0.93,0.86,0.96,0.98,0.99,0.59,0.83,0.81,0.53
Kyrie Irving,0.23,0.13,0.22,0.17,0.18,0.21,0.24,0.63,0.34,0.58,0.47,0.48,0.98,0.85,0.93,0.9,0.95,0.92,0.99,0.96,0.46,0.83,0.7,0.71
Jaylen Brown,0.23,0.15,0.13,0.22,0.17,0.24,0.23,0.64,0.42,0.37,0.63,0.47,0.98,0.89,0.8,0.95,0.93,0.95,0.99,0.97,0.61,0.61,0.89,0.7
Zach LaVine,0.22,0.11,0.18,0.19,0.12,0.26,0.21,0.62,0.29,0.49,0.54,0.34,0.97,0.77,0.88,0.92,0.78,0.96,0.96,0.96,0.3,0.75,0.78,0.4
Anthony Davis,0.22,0.27,0.11,0.15,0.17,0.29,0.19,0.64,0.79,0.33,0.46,0.49,0.97,1.0,0.76,0.86,0.93,0.97,0.93,0.97,0.94,0.56,0.67,0.73
DeMar DeRozan,0.22,0.11,0.21,0.15,0.14,0.32,0.2,0.59,0.31,0.59,0.42,0.4,0.97,0.77,0.91,0.86,0.86,0.98,0.95,0.94,0.37,0.83,0.59,0.55
Pascal Siakam,0.22,0.19,0.25,0.22,0.1,0.29,0.2,0.59,0.5,0.67,0.59,0.26,0.97,0.94,0.96,0.95,0.67,0.97,0.95,0.94,0.74,0.89,0.84,0.23
Zion Williamson,0.22,0.15,0.18,0.22,0.13,0.33,0.18,0.67,0.45,0.54,0.66,0.41,0.97,0.89,0.88,0.95,0.83,0.98,0.91,0.97,0.66,0.8,0.9,0.57
Trae Young,0.22,0.07,0.41,0.32,0.16,0.39,0.21,0.64,0.2,1.16,0.94,0.48,0.97,0.49,1.0,1.0,0.92,0.99,0.96,0.97,0.08,1.0,0.98,0.71
Ja Morant,0.22,0.12,0.31,0.26,0.15,0.33,0.22,0.69,0.39,0.98,0.82,0.45,0.97,0.81,0.98,0.99,0.9,0.98,0.98,0.98,0.55,0.99,0.97,0.66
Julius Randle,0.22,0.21,0.18,0.23,0.11,0.27,0.21,0.61,0.6,0.51,0.66,0.3,0.97,0.96,0.88,0.97,0.72,0.97,0.96,0.95,0.82,0.78,0.9,0.32
Brandon Ingram,0.22,0.13,0.22,0.24,0.08,0.27,0.21,0.64,0.37,0.64,0.72,0.25,0.97,0.85,0.93,0.98,0.52,0.97,0.96,0.97,0.52,0.87,0.95,0.21
Lauri Markkanen,0.22,0.19,0.07,0.13,0.1,0.24,0.19,0.63,0.54,0.22,0.38,0.29,0.97,0.94,0.62,0.82,0.67,0.95,0.93,0.96,0.77,0.3,0.5,0.3
Nikola Jokic,0.21,0.27,0.33,0.26,0.17,0.27,0.17,0.62,0.82,0.98,0.77,0.53,0.95,1.0,0.99,0.99,0.93,0.97,0.9,0.96,0.96,0.99,0.96,0.8
Paul George,0.21,0.14,0.22,0.23,0.22,0.22,0.21,0.6,0.41,0.63,0.64,0.64,0.95,0.87,0.93,0.97,0.99,0.93,0.96,0.95,0.59,0.86,0.9,0.91
De'Aaron Fox,0.21,0.1,0.22,0.2,0.15,0.23,0.21,0.61,0.29,0.66,0.62,0.43,0.95,0.72,0.93,0.93,0.9,0.94,0.96,0.95,0.3,0.89,0.88,0.62
Jimmy Butler,0.21,0.15,0.22,0.12,0.2,0.35,0.16,0.62,0.44,0.66,0.37,0.61,0.95,0.89,0.93,0.79,0.97,0.99,0.88,0.96,0.64,0.89,0.48,0.89
Anthony Edwards,0.21,0.14,0.17,0.22,0.2,0.23,0.22,0.6,0.39,0.48,0.61,0.55,0.95,0.87,0.87,0.95,0.97,0.94,0.98,0.95,0.55,0.74,0.87,0.82
Kristaps Porzingis,0.2,0.19,0.1,0.16,0.12,0.29,0.18,0.63,0.59,0.31,0.5,0.37,0.94,0.94,0.72,0.88,0.78,0.97,0.91,0.96,0.81,0.5,0.74,0.48
Kawhi Leonard,0.2,0.15,0.16,0.13,0.19,0.22,0.19,0.59,0.45,0.5,0.4,0.55,0.94,0.89,0.85,0.82,0.96,0.93,0.93,0.94,0.66,0.76,0.54,0.82
Jalen Brunson,0.2,0.08,0.27,0.17,0.14,0.22,0.19,0.58,0.22,0.79,0.5,0.42,0.94,0.57,0.96,0.9,0.86,0.93,0.93,0.93,0.12,0.94,0.74,0.59
LaMelo Ball,0.2,0.14,0.33,0.27,0.15,0.13,0.22,0.57,0.4,0.93,0.79,0.41,0.94,0.87,0.99,0.99,0.9,0.83,0.98,0.92,0.57,0.98,0.96,0.57
Bradley Beal,0.2,0.09,0.21,0.23,0.14,0.21,0.2,0.6,0.28,0.63,0.68,0.41,0.94,0.65,0.91,0.97,0.86,0.92,0.95,0.95,0.28,0.86,0.92,0.57
Jalen Green,0.2,0.08,0.17,0.17,0.1,0.24,0.2,0.58,0.24,0.48,0.48,0.29,0.94,0.57,0.87,0.9,0.67,0.95,0.95,0.93,0.16,0.74,0.72,0.3
Darius Garland,0.19,0.07,0.32,0.24,0.17,0.21,0.19,0.54,0.19,0.91,0.7,0.5,0.93,0.49,0.99,0.98,0.93,0.92,0.93,0.9,0.06,0.97,0.93,0.75
Bojan Bogdanovic,0.19,0.09,0.11,0.16,0.07,0.19,0.17,0.59,0.27,0.33,0.5,0.23,0.93,0.65,0.76,0.88,0.45,0.91,0.9,0.94,0.25,0.56,0.74,0.19
Keldon Johnson,0.19,0.12,0.11,0.15,0.09,0.26,0.19,0.59,0.36,0.32,0.46,0.28,0.93,0.81,0.76,0.86,0.59,0.96,0.93,0.94,0.5,0.53,0.67,0.27
Kelly Oubre Jr.,0.19,0.12,0.04,0.1,0.17,0.19,0.19,0.57,0.36,0.14,0.31,0.55,0.93,0.81,0.35,0.72,0.93,0.91,0.93,0.92,0.5,0.11,0.34,0.82
Terry Rozier,0.19,0.09,0.21,0.15,0.14,0.14,0.21,0.54,0.27,0.6,0.44,0.41,0.93,0.65,0.91,0.86,0.86,0.85,0.96,0.9,0.25,0.84,0.63,0.57
Bam Adebayo,0.19,0.22,0.14,0.21,0.15,0.23,0.17,0.54,0.65,0.39,0.59,0.43,0.93,0.97,0.82,0.94,0.9,0.94,0.9,0.9,0.87,0.64,0.84,0.62
Kyle Kuzma,0.19,0.17,0.15,0.22,0.08,0.16,0.21,0.54,0.48,0.45,0.62,0.23,0.93,0.92,0.84,0.95,0.52,0.88,0.96,0.9,0.71,0.7,0.88,0.19
Klay Thompson,0.18,0.09,0.08,0.11,0.09,0.1,0.2,0.54,0.27,0.24,0.34,0.28,0.91,0.65,0.66,0.76,0.59,0.73,0.95,0.9,0.25,0.36,0.42,0.27
Tyler Herro,0.18,0.13,0.18,0.18,0.1,0.12,0.19,0.52,0.38,0.51,0.53,0.28,0.91,0.85,0.88,0.91,0.67,0.81,0.93,0.88,0.54,0.78,0.77,0.27
Karl-Anthony Towns,0.18,0.19,0.18,0.2,0.08,0.2,0.17,0.55,0.57,0.56,0.61,0.25,0.91,0.94,0.88,0.93,0.52,0.91,0.9,0.91,0.79,0.81,0.87,0.21
Cade Cunningham,0.18,0.14,0.29,0.24,0.16,0.13,0.21,0.54,0.41,0.86,0.72,0.48,0.91,0.87,0.98,0.98,0.92,0.83,0.96,0.9,0.59,0.96,0.95,0.71
Jerami Grant,0.18,0.11,0.1,0.13,0.13,0.21,0.17,0.5,0.31,0.28,0.36,0.36,0.91,0.77,0.72,0.82,0.83,0.92,0.9,0.86,0.37,0.45,0.45,0.45
James Harden,0.18,0.15,0.42,0.28,0.18,0.25,0.18,0.49,0.42,1.15,0.76,0.49,0.91,0.89,1.0,1.0,0.95,0.96,0.91,0.85,0.61,1.0,0.95,0.73
Desmond Bane,0.18,0.11,0.17,0.18,0.1,0.16,0.18,0.58,0.36,0.52,0.58,0.34,0.91,0.77,0.87,0.91,0.67,0.88,0.91,0.93,0.5,0.79,0.83,0.4
Paolo Banchero,0.18,0.16,0.16,0.2,0.12,0.29,0.18,0.52,0.47,0.47,0.59,0.36,0.91,0.91,0.85,0.93,0.78,0.97,0.91,0.88,0.69,0.72,0.84,0.45
CJ McCollum,0.18,0.1,0.22,0.17,0.12,0.13,0.2,0.52,0.29,0.63,0.48,0.35,0.91,0.72,0.93,0.9,0.78,0.83,0.95,0.88,0.3,0.86,0.72,0.43
Anfernee Simons,0.18,0.06,0.17,0.15,0.11,0.12,0.2,0.52,0.18,0.47,0.41,0.29,0.91,0.41,0.87,0.86,0.72,0.81,0.95,0.88,0.05,0.72,0.57,0.3
Tyrese Maxey,0.18,0.08,0.14,0.12,0.11,0.15,0.19,0.53,0.22,0.42,0.34,0.33,0.91,0.57,0.82,0.79,0.72,0.87,0.93,0.89,0.12,0.68,0.42,0.37
Jordan Clarkson,0.18,0.09,0.17,0.2,0.09,0.16,0.19,0.54,0.27,0.52,0.62,0.28,0.91,0.65,0.87,0.93,0.59,0.88,0.93,0.9,0.25,0.79,0.88,0.27
Mikal Bridges,0.17,0.1,0.12,0.12,0.15,0.18,0.17,0.48,0.29,0.34,0.33,0.44,0.89,0.72,0.78,0.79,0.9,0.9,0.9,0.84,0.3,0.58,0.39,0.64
Franz Wagner,0.17,0.09,0.15,0.15,0.12,0.16,0.16,0.52,0.29,0.47,0.46,0.38,0.89,0.65,0.84,0.86,0.78,0.88,0.88,0.88,0.3,0.72,0.67,0.51
Tyrese Haliburton,0.17,0.09,0.38,0.18,0.21,0.15,0.17,0.52,0.26,1.15,0.56,0.64,0.89,0.65,1.0,0.91,0.99,0.87,0.9,0.88,0.21,1.0,0.8,0.91
Kevin Porter Jr.,0.17,0.12,0.26,0.2,0.2,0.18,0.17,0.49,0.34,0.77,0.59,0.58,0.89,0.81,0.96,0.93,0.97,0.9,0.9,0.85,0.46,0.93,0.84,0.86
Dejounte Murray,0.17,0.12,0.24,0.18,0.21,0.12,0.19,0.47,0.32,0.66,0.48,0.56,0.89,0.81,0.95,0.91,0.99,0.81,0.93,0.82,0.4,0.89,0.72,0.83
Fred VanVleet,0.17,0.09,0.29,0.19,0.19,0.17,0.18,0.46,0.26,0.8,0.52,0.53,0.89,0.65,0.98,0.92,0.96,0.89,0.91,0.8,0.21,0.95,0.76,0.8
Devin Vassell,0.17,0.09,0.13,0.1,0.14,0.12,0.17,0.54,0.29,0.43,0.31,0.48,0.89,0.65,0.8,0.72,0.86,0.81,0.9,0.9,0.3,0.69,0.34,0.71
Jamal Murray,0.17,0.09,0.21,0.16,0.13,0.15,0.18,0.51,0.28,0.65,0.48,0.39,0.89,0.65,0.91,0.88,0.83,0.87,0.91,0.87,0.28,0.88,0.72,0.53
Jordan Poole,0.17,0.06,0.15,0.2,0.1,0.25,0.17,0.57,0.21,0.51,0.67,0.35,0.89,0.41,0.84,0.93,0.67,0.96,0.9,0.92,0.1,0.78,0.91,0.43
RJ Barrett,0.17,0.11,0.12,0.19,0.08,0.22,0.18,0.49,0.31,0.38,0.55,0.22,0.89,0.77,0.78,0.92,0.52,0.93,0.91,0.85,0.37,0.63,0.79,0.17
Deandre Ayton,0.16,0.22,0.06,0.15,0.08,0.14,0.15,0.52,0.73,0.2,0.48,0.25,0.88,0.97,0.55,0.86,0.52,0.85,0.87,0.88,0.91,0.25,0.72,0.21
Domantas Sabonis,0.16,0.29,0.27,0.23,0.13,0.21,0.14,0.46,0.85,0.77,0.65,0.37,0.88,1.0,0.96,0.97,0.83,0.92,0.85,0.8,0.97,0.93,0.9,0.48
Jaren Jackson Jr.,0.16,0.15,0.03,0.13,0.12,0.21,0.14,0.56,0.53,0.13,0.46,0.42,0.88,0.89,0.25,0.82,0.78,0.92,0.85,0.92,0.77,0.1,0.67,0.59
Nikola Vucevic,0.16,0.26,0.13,0.13,0.09,0.09,0.16,0.46,0.77,0.4,0.4,0.28,0.88,0.99,0.8,0.82,0.59,0.69,0.88,0.8,0.93,0.66,0.54,0.27
Spencer Dinwiddie,0.16,0.09,0.28,0.16,0.13,0.17,0.16,0.45,0.25,0.82,0.48,0.38,0.88,0.65,0.97,0.88,0.83,0.89,0.88,0.78,0.19,0.95,0.72,0.51
Jrue Holiday,0.16,0.1,0.29,0.22,0.2,0.12,0.17,0.5,0.32,0.9,0.67,0.58,0.88,0.72,0.98,0.95,0.97,0.81,0.9,0.86,0.4,0.97,0.91,0.86
Buddy Hield,0.15,0.12,0.1,0.12,0.14,0.07,0.15,0.47,0.39,0.34,0.4,0.45,0.86,0.81,0.72,0.79,0.86,0.6,0.87,0.82,0.55,0.58,0.54,0.66
Norman Powell,0.15,0.07,0.07,0.13,0.12,0.19,0.14,0.56,0.27,0.28,0.51,0.48,0.86,0.49,0.62,0.82,0.78,0.91,0.85,0.92,0.25,0.45,0.75,0.71
Louis King,0.15,0.08,0.06,0.15,0.1,0.05,0.13,0.51,0.28,0.22,0.53,0.34,0.86,0.57,0.55,0.86,0.67,0.46,0.82,0.87,0.28,0.3,0.77,0.4
Myles Turner,0.15,0.19,0.05,0.11,0.07,0.19,0.13,0.52,0.63,0.18,0.41,0.24,0.86,0.94,0.45,0.76,0.45,0.91,0.82,0.88,0.85,0.19,0.57,0.2
O.G. Anunoby,0.15,0.12,0.08,0.16,0.2,0.11,0.14,0.42,0.32,0.24,0.45,0.56,0.86,0.81,0.66,0.88,0.97,0.77,0.85,0.73,0.4,0.36,0.65,0.83
RaiQuan Gray,0.15,0.21,0.32,0.22,0.0,0.07,0.14,0.44,0.61,0.91,0.63,0.0,0.86,0.96,0.99,0.95,0.03,0.6,0.85,0.76,0.83,0.97,0.89,0.03
Bennedict Mathurin,0.15,0.1,0.05,0.14,0.08,0.24,0.14,0.5,0.35,0.19,0.49,0.28,0.86,0.72,0.45,0.84,0.52,0.95,0.85,0.86,0.48,0.22,0.73,0.27
Gary Trent Jr.,0.15,0.06,0.07,0.07,0.17,0.13,0.16,0.47,0.2,0.22,0.23,0.54,0.86,0.41,0.62,0.54,0.93,0.83,0.88,0.82,0.08,0.3,0.19,0.81
D'Angelo Russell,0.15,0.07,0.24,0.18,0.12,0.12,0.15,0.46,0.23,0.75,0.55,0.37,0.86,0.49,0.95,0.91,0.78,0.81,0.87,0.8,0.14,0.93,0.79,0.48
Michael Porter Jr.,0.15,0.13,0.04,0.07,0.07,0.09,0.15,0.51,0.44,0.13,0.25,0.26,0.86,0.85,0.35,0.54,0.45,0.69,0.87,0.87,0.64,0.1,0.23,0.23
Jaden Ivey,0.15,0.09,0.22,0.21,0.11,0.19,0.15,0.48,0.3,0.7,0.68,0.36,0.86,0.65,0.93,0.94,0.72,0.91,0.87,0.84,0.33,0.91,0.92,0.45
