trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Cameron Johnson,0.14,0.1,0.07,0.06,0.14,0.11,0.13,0.48,0.34,0.26,0.23,0.49,0.84,0.72,0.62,0.47,0.87,0.78,0.82,0.83,0.46,0.42,0.19,0.74
Josh Giddey,0.14,0.18,0.25,0.22,0.09,0.08,0.16,0.45,0.58,0.8,0.72,0.28,0.84,0.93,0.96,0.95,0.61,0.65,0.88,0.79,0.8,0.95,0.94,0.29
Andrew Wiggins,0.14,0.12,0.08,0.08,0.15,0.11,0.16,0.44,0.36,0.24,0.27,0.47,0.84,0.82,0.66,0.62,0.9,0.78,0.88,0.77,0.5,0.37,0.27,0.71
Wendell Carter Jr.,0.14,0.2,0.1,0.13,0.07,0.14,0.13,0.47,0.67,0.33,0.45,0.23,0.84,0.96,0.73,0.82,0.46,0.85,0.82,0.82,0.88,0.56,0.65,0.2
Norman Powell,0.14,0.07,0.07,0.13,0.12,0.19,0.14,0.56,0.27,0.28,0.52,0.46,0.84,0.51,0.62,0.82,0.78,0.9,0.85,0.92,0.25,0.46,0.77,0.69
Christian Wood,0.14,0.19,0.08,0.15,0.08,0.16,0.14,0.56,0.71,0.29,0.57,0.3,0.84,0.94,0.66,0.86,0.53,0.88,0.85,0.92,0.9,0.47,0.81,0.32
Scottie Barnes,0.14,0.16,0.2,0.18,0.12,0.14,0.14,0.38,0.44,0.57,0.52,0.34,0.84,0.91,0.91,0.91,0.78,0.85,0.85,0.65,0.65,0.82,0.77,0.41
Russell Westbrook,0.13,0.13,0.28,0.26,0.14,0.17,0.15,0.46,0.45,0.98,0.92,0.49,0.82,0.85,0.97,0.99,0.87,0.89,0.86,0.8,0.67,0.99,0.98,0.74
Jonas Valanciunas,0.13,0.23,0.07,0.15,0.03,0.12,0.12,0.49,0.91,0.28,0.67,0.11,0.82,0.98,0.62,0.86,0.18,0.81,0.79,0.84,0.98,0.46,0.91,0.09
Alperen Sengun,0.13,0.19,0.17,0.17,0.13,0.15,0.12,0.47,0.67,0.56,0.59,0.45,0.82,0.94,0.87,0.9,0.83,0.87,0.79,0.82,0.88,0.81,0.84,0.67
Tobias Harris,0.13,0.14,0.1,0.1,0.11,0.07,0.14,0.38,0.42,0.31,0.29,0.35,0.82,0.87,0.73,0.73,0.73,0.6,0.85,0.65,0.61,0.52,0.3,0.43
Dillon Brooks,0.13,0.07,0.1,0.11,0.12,0.09,0.15,0.41,0.23,0.33,0.38,0.37,0.82,0.51,0.73,0.76,0.78,0.7,0.86,0.71,0.14,0.56,0.51,0.48
Tim Hardaway Jr.,0.13,0.09,0.08,0.07,0.11,0.09,0.14,0.41,0.3,0.28,0.25,0.37,0.82,0.66,0.66,0.55,0.73,0.7,0.85,0.71,0.33,0.46,0.23,0.48
Malcolm Brogdon,0.13,0.09,0.14,0.12,0.1,0.13,0.12,0.48,0.37,0.54,0.5,0.39,0.82,0.66,0.83,0.79,0.68,0.83,0.79,0.83,0.52,0.8,0.74,0.54
Gordon Hayward,0.13,0.1,0.16,0.15,0.11,0.14,0.13,0.42,0.3,0.51,0.47,0.35,0.82,0.72,0.86,0.86,0.73,0.85,0.82,0.73,0.33,0.77,0.69,0.43
