trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Joel Embiid,0.3,0.25,0.16,0.27,0.14,0.45,0.25,0.84,0.72,0.46,0.78,0.41,1.0,0.99,0.86,0.99,0.87,1.0,1.0,1.0,0.9,0.72,0.96,0.58
Luka Doncic,0.28,0.23,0.37,0.3,0.21,0.41,0.26,0.77,0.62,1.01,0.84,0.55,1.0,0.98,0.99,1.0,0.98,0.99,1.0,0.99,0.84,0.99,0.97,0.82
Damian Lillard,0.28,0.12,0.31,0.24,0.13,0.36,0.25,0.76,0.32,0.84,0.67,0.36,1.0,0.81,0.98,0.98,0.82,0.99,1.0,0.99,0.41,0.96,0.92,0.46
Shai Gilgeous-Alexander,0.27,0.11,0.23,0.22,0.22,0.45,0.22,0.75,0.31,0.64,0.61,0.6,0.99,0.77,0.95,0.95,0.99,1.0,0.98,0.99,0.38,0.87,0.87,0.88
Giannis Antetokounmpo,0.27,0.24,0.22,0.28,0.12,0.53,0.23,0.81,0.74,0.71,0.86,0.35,0.99,0.99,0.93,0.99,0.77,1.0,0.98,0.99,0.91,0.91,0.98,0.44
Kevin Durant,0.26,0.17,0.2,0.25,0.1,0.35,0.22,0.72,0.47,0.55,0.71,0.29,0.99,0.92,0.91,0.98,0.66,0.99,0.98,0.99,0.7,0.81,0.94,0.31
Donovan Mitchell,0.25,0.1,0.19,0.21,0.2,0.22,0.24,0.68,0.28,0.52,0.57,0.58,0.99,0.72,0.9,0.94,0.97,0.93,0.99,0.97,0.28,0.78,0.82,0.86
Jayson Tatum,0.25,0.2,0.18,0.23,0.15,0.37,0.24,0.68,0.53,0.49,0.61,0.42,0.99,0.95,0.89,0.96,0.9,0.99,0.99,0.97,0.76,0.74,0.87,0.61
Stephen Curry,0.25,0.14,0.2,0.21,0.15,0.27,0.22,0.72,0.41,0.58,0.59,0.42,0.99,0.87,0.91,0.94,0.9,0.97,0.98,0.99,0.59,0.83,0.85,0.61
LeBron James,0.25,0.19,0.26,0.23,0.14,0.25,0.25,0.7,0.52,0.73,0.64,0.38,0.99,0.94,0.96,0.96,0.87,0.95,1.0,0.98,0.75,0.92,0.9,0.5
Kyrie Irving,0.24,0.13,0.22,0.18,0.16,0.21,0.24,0.63,0.34,0.58,0.5,0.42,0.98,0.84,0.93,0.91,0.92,0.92,0.99,0.96,0.47,0.83,0.75,0.61
Devin Booker,0.24,0.11,0.21,0.2,0.12,0.31,0.23,0.69,0.3,0.6,0.56,0.32,0.98,0.77,0.92,0.93,0.77,0.98,0.98,0.98,0.34,0.85,0.81,0.37
Jaylen Brown,0.23,0.15,0.13,0.23,0.18,0.25,0.23,0.64,0.42,0.36,0.62,0.49,0.97,0.89,0.81,0.96,0.95,0.95,0.98,0.97,0.61,0.61,0.89,0.74
Anthony Davis,0.23,0.27,0.1,0.16,0.14,0.29,0.19,0.66,0.8,0.33,0.48,0.42,0.97,1.0,0.72,0.88,0.87,0.97,0.93,0.97,0.94,0.56,0.72,0.61
Ja Morant,0.23,0.13,0.32,0.26,0.15,0.34,0.22,0.71,0.39,0.99,0.81,0.45,0.97,0.84,0.99,0.99,0.9,0.98,0.98,0.98,0.56,0.98,0.97,0.68
Trae Young,0.23,0.07,0.41,0.32,0.17,0.39,0.21,0.65,0.2,1.17,0.91,0.5,0.97,0.51,1.0,1.0,0.93,0.99,0.96,0.97,0.08,1.0,0.98,0.76
DeMar DeRozan,0.22,0.11,0.21,0.16,0.14,0.33,0.21,0.61,0.3,0.59,0.44,0.38,0.96,0.77,0.92,0.88,0.87,0.98,0.96,0.94,0.34,0.84,0.64,0.5
Pascal Siakam,0.22,0.18,0.25,0.23,0.09,0.28,0.21,0.58,0.49,0.68,0.61,0.24,0.96,0.93,0.96,0.96,0.6,0.97,0.96,0.92,0.72,0.9,0.87,0.2
Julius Randle,0.22,0.22,0.19,0.24,0.12,0.27,0.21,0.61,0.61,0.52,0.67,0.31,0.96,0.97,0.9,0.98,0.77,0.97,0.96,0.94,0.83,0.78,0.92,0.35
Zion Williamson,0.22,0.15,0.18,0.22,0.13,0.33,0.18,0.67,0.45,0.54,0.66,0.41,0.96,0.89,0.89,0.95,0.82,0.98,0.91,0.97,0.68,0.8,0.91,0.58
Zach LaVine,0.22,0.11,0.17,0.19,0.13,0.26,0.21,0.62,0.31,0.46,0.53,0.37,0.96,0.77,0.87,0.92,0.82,0.96,0.96,0.96,0.38,0.72,0.79,0.48
Anthony Edwards,0.22,0.14,0.18,0.23,0.2,0.23,0.22,0.59,0.4,0.49,0.62,0.54,0.96,0.87,0.89,0.96,0.97,0.94,0.98,0.93,0.58,0.74,0.89,0.82
Paul George,0.21,0.14,0.22,0.23,0.22,0.22,0.21,0.59,0.42,0.64,0.64,0.63,0.95,0.87,0.93,0.96,0.99,0.93,0.96,0.93,0.61,0.87,0.9,0.9
De'Aaron Fox,0.21,0.1,0.22,0.2,0.16,0.24,0.21,0.61,0.3,0.65,0.61,0.46,0.95,0.72,0.93,0.93,0.92,0.95,0.96,0.94,0.34,0.88,0.87,0.69
Lauri Markkanen,0.21,0.19,0.07,0.13,0.1,0.24,0.19,0.62,0.54,0.21,0.38,0.29,0.95,0.94,0.61,0.82,0.66,0.95,0.93,0.96,0.77,0.3,0.51,0.31
Nikola Jokic,0.21,0.27,0.33,0.26,0.17,0.27,0.17,0.62,0.81,0.98,0.76,0.51,0.95,1.0,0.99,0.99,0.93,0.97,0.89,0.96,0.95,0.98,0.96,0.78
Brandon Ingram,0.21,0.12,0.18,0.24,0.08,0.23,0.2,0.62,0.35,0.55,0.73,0.25,0.95,0.81,0.89,0.98,0.53,0.94,0.94,0.96,0.48,0.81,0.95,0.22
Jimmy Butler,0.21,0.15,0.22,0.13,0.21,0.35,0.16,0.62,0.46,0.65,0.39,0.64,0.95,0.89,0.93,0.82,0.98,0.99,0.88,0.96,0.69,0.88,0.53,0.9
Kawhi Leonard,0.2,0.15,0.16,0.13,0.2,0.22,0.19,0.59,0.44,0.5,0.4,0.59,0.94,0.89,0.86,0.82,0.97,0.93,0.93,0.93,0.66,0.75,0.56,0.87
Jalen Brunson,0.2,0.08,0.28,0.17,0.14,0.23,0.19,0.59,0.22,0.8,0.49,0.43,0.94,0.58,0.97,0.89,0.87,0.94,0.93,0.93,0.12,0.95,0.74,0.64
Darius Garland,0.2,0.07,0.32,0.24,0.18,0.22,0.19,0.56,0.19,0.92,0.7,0.52,0.94,0.51,0.99,0.98,0.95,0.93,0.93,0.91,0.06,0.97,0.93,0.8
Kristaps Porzingis,0.2,0.19,0.1,0.16,0.12,0.3,0.18,0.62,0.59,0.3,0.5,0.35,0.94,0.94,0.72,0.88,0.77,0.97,0.91,0.96,0.82,0.5,0.75,0.44
Bradley Beal,0.2,0.09,0.22,0.23,0.14,0.2,0.2,0.61,0.27,0.64,0.67,0.42,0.94,0.65,0.93,0.96,0.87,0.91,0.94,0.94,0.25,0.87,0.92,0.61
LaMelo Ball,0.2,0.14,0.33,0.27,0.15,0.13,0.22,0.57,0.4,0.93,0.79,0.41,0.94,0.87,0.99,0.99,0.9,0.82,0.98,0.92,0.58,0.98,0.97,0.58
Tyler Herro,0.19,0.14,0.18,0.19,0.1,0.12,0.2,0.52,0.39,0.53,0.53,0.28,0.93,0.87,0.89,0.92,0.66,0.8,0.94,0.87,0.56,0.79,0.79,0.28
Bojan Bogdanovic,0.19,0.09,0.11,0.16,0.07,0.19,0.17,0.59,0.27,0.33,0.5,0.23,0.93,0.65,0.76,0.88,0.45,0.91,0.89,0.93,0.25,0.56,0.75,0.19
Jalen Green,0.19,0.08,0.16,0.17,0.1,0.22,0.2,0.57,0.24,0.47,0.5,0.28,0.93,0.58,0.86,0.89,0.66,0.93,0.94,0.92,0.17,0.73,0.75,0.28
Kelly Oubre Jr.,0.19,0.12,0.04,0.09,0.17,0.18,0.19,0.57,0.36,0.14,0.29,0.51,0.93,0.81,0.38,0.67,0.93,0.9,0.93,0.92,0.51,0.13,0.32,0.78
Bam Adebayo,0.19,0.23,0.14,0.21,0.14,0.24,0.18,0.55,0.65,0.4,0.6,0.41,0.93,0.98,0.82,0.94,0.87,0.95,0.91,0.9,0.86,0.65,0.86,0.58
CJ McCollum,0.19,0.1,0.23,0.18,0.11,0.13,0.21,0.53,0.29,0.66,0.52,0.33,0.93,0.72,0.95,0.91,0.72,0.82,0.96,0.88,0.3,0.89,0.78,0.39
Keldon Johnson,0.19,0.12,0.11,0.15,0.09,0.26,0.19,0.58,0.35,0.32,0.46,0.27,0.93,0.81,0.76,0.85,0.6,0.96,0.93,0.92,0.48,0.54,0.68,0.25
Terry Rozier,0.19,0.09,0.21,0.16,0.14,0.15,0.21,0.54,0.26,0.59,0.44,0.39,0.93,0.65,0.92,0.88,0.87,0.86,0.96,0.89,0.22,0.84,0.64,0.53
James Harden,0.19,0.16,0.43,0.29,0.18,0.26,0.18,0.51,0.43,1.16,0.78,0.47,0.93,0.91,1.0,1.0,0.95,0.96,0.91,0.86,0.64,1.0,0.96,0.7
Kyle Kuzma,0.19,0.17,0.15,0.22,0.08,0.17,0.21,0.53,0.49,0.45,0.63,0.22,0.93,0.92,0.84,0.95,0.53,0.89,0.96,0.88,0.72,0.71,0.89,0.17
Karl-Anthony Towns,0.18,0.19,0.2,0.2,0.09,0.21,0.16,0.53,0.57,0.59,0.59,0.26,0.91,0.94,0.91,0.93,0.6,0.92,0.88,0.88,0.8,0.84,0.85,0.23
Jerami Grant,0.18,0.11,0.1,0.13,0.13,0.21,0.17,0.5,0.31,0.28,0.36,0.36,0.91,0.77,0.72,0.82,0.82,0.92,0.89,0.85,0.38,0.46,0.46,0.46
Desmond Bane,0.18,0.11,0.17,0.17,0.1,0.16,0.18,0.59,0.36,0.54,0.57,0.33,0.91,0.77,0.87,0.89,0.66,0.88,0.91,0.93,0.51,0.8,0.82,0.39
Jordan Poole,0.18,0.06,0.16,0.21,0.11,0.24,0.18,0.56,0.2,0.51,0.7,0.36,0.91,0.43,0.86,0.94,0.72,0.95,0.91,0.91,0.08,0.76,0.93,0.46
Paolo Banchero,0.18,0.15,0.16,0.19,0.12,0.29,0.18,0.53,0.45,0.46,0.58,0.37,0.91,0.89,0.86,0.92,0.77,0.97,0.91,0.88,0.68,0.72,0.83,0.48
Cade Cunningham,0.18,0.14,0.29,0.24,0.16,0.13,0.21,0.54,0.41,0.86,0.72,0.48,0.91,0.87,0.98,0.98,0.92,0.82,0.96,0.89,0.59,0.96,0.94,0.72
Anfernee Simons,0.18,0.06,0.17,0.15,0.11,0.11,0.2,0.52,0.18,0.47,0.41,0.29,0.91,0.43,0.87,0.85,0.72,0.78,0.94,0.87,0.06,0.73,0.58,0.31
Klay Thompson,0.18,0.09,0.08,0.1,0.09,0.11,0.2,0.55,0.27,0.25,0.33,0.28,0.91,0.65,0.66,0.72,0.6,0.78,0.94,0.9,0.25,0.4,0.4,0.28
Jordan Clarkson,0.18,0.09,0.17,0.2,0.09,0.16,0.19,0.54,0.27,0.52,0.62,0.28,0.91,0.65,0.87,0.93,0.6,0.88,0.93,0.89,0.25,0.78,0.89,0.28
Kevin Porter Jr.,0.17,0.12,0.26,0.21,0.2,0.18,0.17,0.49,0.35,0.78,0.61,0.6,0.89,0.81,0.96,0.94,0.97,0.9,0.89,0.84,0.48,0.95,0.87,0.88
Mikal Bridges,0.17,0.11,0.13,0.1,0.16,0.16,0.16,0.46,0.29,0.35,0.3,0.46,0.89,0.77,0.81,0.72,0.92,0.88,0.88,0.8,0.3,0.6,0.34,0.69
Franz Wagner,0.17,0.09,0.15,0.15,0.11,0.16,0.16,0.52,0.27,0.46,0.45,0.34,0.89,0.65,0.84,0.85,0.72,0.88,0.88,0.87,0.25,0.72,0.66,0.41
Tyrese Haliburton,0.17,0.09,0.38,0.18,0.22,0.15,0.17,0.52,0.26,1.14,0.56,0.65,0.89,0.65,1.0,0.91,0.99,0.86,0.89,0.87,0.22,0.99,0.81,0.91
Dejounte Murray,0.17,0.12,0.24,0.18,0.21,0.11,0.19,0.48,0.33,0.66,0.49,0.57,0.89,0.81,0.95,0.91,0.98,0.78,0.93,0.83,0.44,0.89,0.74,0.85
RJ Barrett,0.17,0.11,0.12,0.19,0.08,0.22,0.18,0.5,0.31,0.38,0.54,0.23,0.89,0.77,0.79,0.92,0.53,0.93,0.91,0.85,0.38,0.63,0.8,0.19
Devin Vassell,0.17,0.09,0.13,0.1,0.14,0.13,0.17,0.54,0.29,0.42,0.32,0.47,0.89,0.65,0.81,0.72,0.87,0.82,0.89,0.89,0.3,0.68,0.37,0.7
Jamal Murray,0.17,0.09,0.2,0.15,0.13,0.15,0.19,0.51,0.28,0.61,0.45,0.41,0.89,0.65,0.91,0.85,0.82,0.86,0.93,0.86,0.28,0.86,0.66,0.58
Jrue Holiday,0.17,0.11,0.29,0.22,0.2,0.13,0.17,0.5,0.32,0.88,0.66,0.58,0.89,0.77,0.98,0.95,0.97,0.82,0.89,0.85,0.41,0.97,0.91,0.86
Tyrese Maxey,0.17,0.07,0.14,0.11,0.11,0.16,0.19,0.52,0.21,0.42,0.34,0.31,0.89,0.51,0.82,0.76,0.72,0.88,0.93,0.87,0.11,0.68,0.43,0.35
Fred VanVleet,0.17,0.1,0.29,0.18,0.19,0.16,0.18,0.46,0.28,0.78,0.48,0.5,0.89,0.72,0.98,0.91,0.96,0.88,0.91,0.8,0.28,0.95,0.72,0.76
Domantas Sabonis,0.16,0.3,0.27,0.22,0.13,0.21,0.14,0.45,0.86,0.76,0.64,0.38,0.87,1.0,0.97,0.95,0.82,0.92,0.84,0.78,0.97,0.93,0.9,0.5
Deandre Ayton,0.16,0.23,0.07,0.15,0.08,0.14,0.15,0.53,0.75,0.22,0.49,0.26,0.87,0.98,0.61,0.85,0.53,0.84,0.86,0.88,0.92,0.32,0.74,0.23
Spencer Dinwiddie,0.16,0.08,0.26,0.16,0.13,0.16,0.16,0.46,0.24,0.76,0.48,0.38,0.87,0.58,0.96,0.88,0.82,0.88,0.88,0.8,0.17,0.93,0.72,0.5
Gary Trent Jr.,0.16,0.06,0.07,0.08,0.17,0.13,0.16,0.47,0.19,0.21,0.23,0.54,0.87,0.43,0.61,0.61,0.93,0.82,0.88,0.82,0.06,0.3,0.2,0.82
Nikola Vucevic,0.16,0.26,0.14,0.13,0.09,0.08,0.16,0.46,0.78,0.4,0.41,0.27,0.87,0.99,0.82,0.82,0.6,0.65,0.88,0.8,0.93,0.65,0.58,0.25
Aaron Gordon,0.15,0.15,0.09,0.11,0.1,0.21,0.13,0.47,0.5,0.31,0.38,0.34,0.86,0.89,0.69,0.76,0.66,0.92,0.82,0.82,0.73,0.52,0.51,0.41
Myles Turner,0.15,0.19,0.05,0.11,0.07,0.19,0.13,0.52,0.63,0.17,0.41,0.26,0.86,0.94,0.47,0.76,0.45,0.91,0.82,0.87,0.85,0.19,0.58,0.23
D'Angelo Russell,0.15,0.08,0.24,0.18,0.13,0.12,0.15,0.47,0.24,0.76,0.56,0.4,0.86,0.58,0.95,0.91,0.82,0.8,0.86,0.82,0.17,0.93,0.81,0.55
Jaren Jackson Jr.,0.15,0.14,0.03,0.12,0.12,0.18,0.13,0.52,0.53,0.12,0.43,0.45,0.86,0.87,0.28,0.79,0.77,0.9,0.82,0.87,0.76,0.1,0.62,0.68
Buddy Hield,0.15,0.12,0.1,0.13,0.14,0.07,0.15,0.47,0.38,0.32,0.41,0.42,0.86,0.81,0.72,0.82,0.87,0.6,0.86,0.82,0.54,0.54,0.58,0.61
Michael Porter Jr.,0.15,0.13,0.04,0.08,0.08,0.09,0.15,0.5,0.43,0.13,0.26,0.29,0.86,0.84,0.38,0.61,0.53,0.7,0.86,0.85,0.64,0.11,0.26,0.31
O.G. Anunoby,0.15,0.12,0.08,0.17,0.21,0.12,0.15,0.41,0.33,0.24,0.48,0.59,0.86,0.81,0.66,0.89,0.98,0.8,0.86,0.7,0.44,0.37,0.72,0.87
Bennedict Mathurin,0.15,0.1,0.05,0.13,0.08,0.25,0.14,0.51,0.35,0.18,0.48,0.27,0.86,0.72,0.47,0.82,0.53,0.95,0.84,0.86,0.48,0.22,0.72,0.25
Christian Wood,0.15,0.2,0.07,0.16,0.07,0.15,0.14,0.56,0.73,0.26,0.58,0.24,0.86,0.95,0.61,0.88,0.45,0.86,0.84,0.91,0.9,0.42,0.83,0.2
Evan Mobley,0.14,0.22,0.11,0.16,0.11,0.18,0.14,0.42,0.64,0.32,0.46,0.33,0.84,0.97,0.76,0.88,0.72,0.9,0.84,0.73,0.86,0.54,0.68,0.39
Norman Powell,0.14,0.07,0.07,0.13,0.11,0.19,0.14,0.56,0.27,0.28,0.5,0.44,0.84,0.51,0.61,0.82,0.72,0.91,0.84,0.91,0.25,0.46,0.75,0.66
