trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Joel Embiid,0.29,0.25,0.17,0.27,0.14,0.45,0.25,0.84,0.72,0.49,0.79,0.39,1.0,0.99,0.87,0.99,0.86,1.0,1.0,1.0,0.9,0.75,0.97,0.52
Luka Doncic,0.28,0.23,0.37,0.31,0.2,0.41,0.26,0.76,0.63,1.01,0.84,0.53,1.0,0.98,0.99,1.0,0.97,0.99,1.0,0.99,0.84,0.99,0.98,0.8
Damian Lillard,0.28,0.12,0.31,0.25,0.13,0.37,0.25,0.76,0.32,0.85,0.68,0.35,1.0,0.81,0.98,0.98,0.82,0.99,1.0,0.99,0.4,0.96,0.92,0.42
Shai Gilgeous-Alexander,0.27,0.11,0.23,0.22,0.21,0.46,0.22,0.76,0.3,0.64,0.62,0.6,0.99,0.77,0.94,0.95,0.99,1.0,0.98,0.99,0.33,0.87,0.87,0.87
Giannis Antetokounmpo,0.26,0.23,0.22,0.27,0.13,0.51,0.22,0.81,0.74,0.71,0.85,0.4,0.99,0.98,0.93,0.99,0.82,1.0,0.98,1.0,0.91,0.91,0.98,0.55
Kevin Durant,0.26,0.17,0.2,0.25,0.1,0.34,0.22,0.72,0.47,0.55,0.71,0.28,0.99,0.92,0.91,0.98,0.66,0.98,0.98,0.99,0.7,0.8,0.94,0.27
Stephen Curry,0.25,0.14,0.21,0.21,0.14,0.25,0.22,0.7,0.42,0.59,0.59,0.39,0.99,0.87,0.92,0.94,0.86,0.96,0.98,0.98,0.61,0.84,0.84,0.52
Jayson Tatum,0.25,0.2,0.18,0.23,0.15,0.38,0.24,0.69,0.53,0.48,0.62,0.41,0.99,0.95,0.89,0.97,0.9,0.99,0.99,0.98,0.76,0.74,0.87,0.58
Donovan Mitchell,0.25,0.1,0.18,0.21,0.2,0.23,0.24,0.68,0.29,0.5,0.57,0.56,0.99,0.72,0.89,0.94,0.97,0.94,0.99,0.98,0.3,0.76,0.81,0.82
LeBron James,0.25,0.19,0.26,0.23,0.14,0.25,0.25,0.69,0.52,0.72,0.65,0.38,0.99,0.94,0.96,0.97,0.86,0.96,1.0,0.98,0.75,0.92,0.9,0.5
Devin Booker,0.24,0.11,0.2,0.23,0.12,0.33,0.23,0.69,0.3,0.57,0.64,0.32,0.98,0.77,0.91,0.97,0.78,0.98,0.99,0.98,0.33,0.82,0.89,0.35
Jaylen Brown,0.23,0.15,0.13,0.22,0.17,0.24,0.23,0.64,0.41,0.37,0.63,0.47,0.98,0.89,0.81,0.95,0.93,0.95,0.99,0.97,0.59,0.61,0.88,0.7
Kyrie Irving,0.23,0.13,0.22,0.18,0.17,0.22,0.24,0.63,0.35,0.58,0.48,0.46,0.98,0.84,0.93,0.91,0.93,0.93,0.99,0.96,0.48,0.83,0.72,0.69
Anthony Davis,0.23,0.26,0.11,0.16,0.16,0.29,0.19,0.65,0.78,0.33,0.46,0.47,0.98,0.99,0.76,0.88,0.92,0.97,0.93,0.97,0.93,0.55,0.67,0.7
Ja Morant,0.23,0.12,0.31,0.26,0.15,0.34,0.22,0.71,0.38,0.98,0.82,0.46,0.98,0.81,0.98,0.99,0.9,0.98,0.98,0.99,0.54,0.98,0.97,0.69
Julius Randle,0.22,0.21,0.18,0.23,0.11,0.27,0.21,0.61,0.6,0.51,0.66,0.3,0.96,0.96,0.89,0.97,0.72,0.97,0.96,0.95,0.82,0.78,0.91,0.32
Zion Williamson,0.22,0.15,0.18,0.22,0.13,0.33,0.18,0.67,0.45,0.54,0.66,0.41,0.96,0.89,0.89,0.95,0.82,0.98,0.91,0.97,0.67,0.79,0.91,0.58
DeMar DeRozan,0.22,0.11,0.21,0.15,0.15,0.32,0.2,0.59,0.31,0.58,0.43,0.4,0.96,0.77,0.92,0.86,0.9,0.98,0.94,0.94,0.37,0.83,0.61,0.55
Pascal Siakam,0.22,0.18,0.25,0.23,0.09,0.29,0.21,0.58,0.5,0.68,0.6,0.23,0.96,0.93,0.96,0.97,0.59,0.97,0.96,0.93,0.73,0.9,0.85,0.19
Trae Young,0.22,0.07,0.4,0.33,0.16,0.38,0.21,0.64,0.2,1.16,0.95,0.48,0.96,0.51,1.0,1.0,0.92,0.99,0.96,0.97,0.08,1.0,0.98,0.72
Zach LaVine,0.22,0.11,0.17,0.2,0.12,0.26,0.21,0.61,0.3,0.47,0.55,0.35,0.96,0.77,0.87,0.93,0.78,0.96,0.96,0.95,0.33,0.73,0.79,0.42
Lauri Markkanen,0.22,0.19,0.07,0.13,0.1,0.24,0.19,0.63,0.54,0.22,0.38,0.27,0.96,0.94,0.62,0.82,0.66,0.95,0.93,0.96,0.77,0.31,0.51,0.25
Brandon Ingram,0.22,0.12,0.21,0.23,0.07,0.26,0.21,0.65,0.36,0.61,0.71,0.22,0.96,0.81,0.92,0.97,0.45,0.96,0.96,0.97,0.5,0.85,0.94,0.17
Nikola Jokic,0.21,0.28,0.33,0.26,0.17,0.27,0.17,0.63,0.81,0.98,0.75,0.51,0.95,1.0,0.99,0.99,0.93,0.97,0.89,0.96,0.94,0.98,0.96,0.78
Anthony Edwards,0.21,0.14,0.17,0.22,0.2,0.22,0.22,0.59,0.38,0.49,0.6,0.52,0.95,0.87,0.87,0.95,0.97,0.93,0.98,0.94,0.54,0.75,0.85,0.79
Paul George,0.21,0.14,0.22,0.23,0.22,0.22,0.21,0.6,0.41,0.63,0.64,0.64,0.95,0.87,0.93,0.97,1.0,0.93,0.96,0.95,0.59,0.86,0.89,0.9
