trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Joel Embiid,0.29,0.25,0.17,0.27,0.14,0.44,0.25,0.84,0.73,0.48,0.78,0.39,1.0,0.99,0.87,0.99,0.86,1.0,1.0,1.0,0.91,0.75,0.96,0.53
Luka Doncic,0.28,0.23,0.37,0.31,0.2,0.41,0.26,0.76,0.62,1.02,0.84,0.55,1.0,0.98,0.99,1.0,0.97,0.99,1.0,0.99,0.84,0.99,0.97,0.81
Damian Lillard,0.28,0.12,0.31,0.25,0.13,0.37,0.25,0.76,0.32,0.85,0.68,0.35,1.0,0.81,0.98,0.98,0.82,0.99,1.0,0.99,0.4,0.96,0.93,0.43
Giannis Antetokounmpo,0.27,0.24,0.22,0.28,0.11,0.52,0.23,0.81,0.75,0.71,0.85,0.34,0.99,0.99,0.93,1.0,0.72,1.0,0.98,0.99,0.92,0.92,0.98,0.4
Shai Gilgeous-Alexander,0.27,0.11,0.23,0.22,0.21,0.45,0.22,0.76,0.31,0.64,0.62,0.6,0.99,0.77,0.95,0.95,0.98,1.0,0.98,0.99,0.37,0.88,0.89,0.87
Kevin Durant,0.26,0.17,0.2,0.25,0.1,0.35,0.22,0.72,0.47,0.55,0.71,0.29,0.99,0.92,0.91,0.98,0.66,0.99,0.98,0.99,0.69,0.81,0.94,0.3
Stephen Curry,0.25,0.14,0.2,0.21,0.14,0.26,0.22,0.71,0.41,0.59,0.59,0.39,0.99,0.87,0.91,0.94,0.86,0.96,0.98,0.98,0.6,0.85,0.85,0.53
LeBron James,0.25,0.19,0.26,0.23,0.14,0.25,0.25,0.7,0.52,0.73,0.64,0.38,0.99,0.94,0.96,0.97,0.86,0.96,1.0,0.98,0.75,0.92,0.9,0.5
Donovan Mitchell,0.25,0.1,0.19,0.21,0.2,0.22,0.24,0.68,0.28,0.51,0.57,0.56,0.99,0.72,0.9,0.94,0.97,0.93,0.99,0.97,0.28,0.77,0.83,0.82
Jayson Tatum,0.25,0.2,0.18,0.23,0.15,0.38,0.24,0.68,0.53,0.49,0.62,0.42,0.99,0.95,0.88,0.97,0.9,0.99,0.99,0.97,0.76,0.75,0.89,0.6
Devin Booker,0.24,0.11,0.2,0.21,0.11,0.31,0.23,0.69,0.3,0.58,0.58,0.31,0.98,0.77,0.91,0.94,0.72,0.98,0.98,0.98,0.34,0.84,0.84,0.34
Kyrie Irving,0.24,0.13,0.22,0.18,0.16,0.22,0.24,0.64,0.35,0.57,0.5,0.42,0.98,0.84,0.93,0.91,0.92,0.93,0.99,0.97,0.49,0.83,0.75,0.6
Ja Morant,0.23,0.13,0.32,0.26,0.15,0.34,0.22,0.71,0.39,0.99,0.81,0.46,0.98,0.84,0.99,0.99,0.9,0.98,0.98,0.98,0.56,0.99,0.97,0.68
Trae Young,0.23,0.07,0.41,0.32,0.17,0.39,0.21,0.65,0.2,1.17,0.93,0.49,0.98,0.51,1.0,1.0,0.93,0.99,0.96,0.97,0.08,1.0,0.98,0.74
Jaylen Brown,0.23,0.15,0.13,0.22,0.17,0.24,0.23,0.63,0.41,0.36,0.61,0.47,0.98,0.9,0.81,0.95,0.93,0.95,0.98,0.96,0.6,0.61,0.87,0.7
Zach LaVine,0.22,0.11,0.17,0.19,0.13,0.26,0.21,0.61,0.3,0.47,0.53,0.35,0.97,0.77,0.87,0.92,0.82,0.96,0.96,0.95,0.34,0.74,0.78,0.43
Lauri Markkanen,0.22,0.19,0.07,0.13,0.1,0.24,0.19,0.63,0.54,0.22,0.38,0.28,0.97,0.94,0.61,0.82,0.66,0.95,0.93,0.96,0.77,0.32,0.5,0.28
DeMar DeRozan,0.22,0.11,0.21,0.15,0.15,0.33,0.2,0.6,0.31,0.58,0.42,0.4,0.97,0.77,0.92,0.86,0.9,0.98,0.94,0.94,0.37,0.84,0.6,0.55
Pascal Siakam,0.22,0.19,0.26,0.22,0.09,0.28,0.21,0.58,0.5,0.69,0.59,0.24,0.97,0.94,0.96,0.95,0.6,0.97,0.96,0.93,0.73,0.91,0.85,0.2
Zion Williamson,0.22,0.15,0.18,0.22,0.13,0.33,0.18,0.67,0.45,0.54,0.66,0.41,0.97,0.9,0.88,0.95,0.82,0.98,0.91,0.97,0.68,0.8,0.91,0.58
Anthony Davis,0.22,0.27,0.1,0.16,0.16,0.28,0.19,0.65,0.79,0.33,0.48,0.47,0.97,1.0,0.73,0.88,0.92,0.97,0.93,0.97,0.94,0.57,0.71,0.7
Julius Randle,0.22,0.22,0.19,0.24,0.11,0.27,0.21,0.61,0.6,0.52,0.67,0.31,0.97,0.97,0.9,0.98,0.72,0.97,0.96,0.95,0.82,0.78,0.92,0.34
Nikola Jokic,0.21,0.28,0.33,0.26,0.17,0.27,0.17,0.62,0.81,0.97,0.75,0.52,0.95,1.0,0.99,0.99,0.93,0.97,0.89,0.95,0.95,0.98,0.95,0.79
De'Aaron Fox,0.21,0.1,0.22,0.2,0.16,0.24,0.21,0.61,0.29,0.65,0.6,0.45,0.95,0.72,0.93,0.93,0.92,0.95,0.96,0.95,0.31,0.89,0.86,0.67
Jimmy Butler,0.21,0.15,0.22,0.13,0.21,0.35,0.16,0.63,0.46,0.64,0.38,0.64,0.95,0.9,0.93,0.82,0.98,0.99,0.88,0.96,0.69,0.88,0.5,0.9
Brandon Ingram,0.21,0.11,0.19,0.25,0.07,0.24,0.21,0.63,0.34,0.57,0.75,0.23,0.95,0.77,0.9,0.98,0.46,0.95,0.96,0.96,0.46,0.83,0.95,0.19
Anthony Edwards,0.21,0.14,0.17,0.23,0.2,0.22,0.22,0.59,0.39,0.49,0.62,0.53,0.95,0.87,0.87,0.97,0.97,0.93,0.98,0.93,0.56,0.75,0.89,0.8
Paul George,0.21,0.14,0.22,0.23,0.22,0.22,0.21,0.6,0.41,0.63,0.64,0.64,0.95,0.87,0.93,0.97,0.99,0.93,0.96,0.94,0.6,0.87,0.9,0.9
Kristaps Porzingis,0.2,0.19,0.1,0.16,0.12,0.29,0.18,0.63,0.58,0.3,0.51,0.36,0.94,0.94,0.73,0.88,0.78,0.97,0.91,0.96,0.8,0.5,0.76,0.45
Jalen Brunson,0.2,0.08,0.28,0.17,0.14,0.22,0.19,0.59,0.22,0.79,0.49,0.42,0.94,0.58,0.97,0.89,0.86,0.93,0.93,0.93,0.12,0.95,0.73,0.6
Kawhi Leonard,0.2,0.14,0.16,0.13,0.2,0.22,0.19,0.59,0.43,0.5,0.39,0.58,0.94,0.87,0.85,0.82,0.97,0.93,0.93,0.93,0.63,0.76,0.52,0.85
Darius Garland,0.2,0.07,0.32,0.24,0.18,0.21,0.19,0.55,0.19,0.91,0.7,0.51,0.94,0.51,0.99,0.98,0.95,0.92,0.93,0.91,0.06,0.98,0.94,0.78
LaMelo Ball,0.2,0.14,0.33,0.27,0.15,0.13,0.22,0.57,0.4,0.93,0.79,0.41,0.94,0.87,0.99,0.99,0.9,0.83,0.98,0.92,0.58,0.98,0.97,0.58
Bradley Beal,0.2,0.09,0.21,0.23,0.14,0.21,0.2,0.6,0.28,0.63,0.68,0.41,0.94,0.65,0.92,0.97,0.86,0.92,0.94,0.94,0.28,0.87,0.93,0.58
Jalen Green,0.2,0.08,0.16,0.17,0.1,0.23,0.2,0.58,0.24,0.47,0.49,0.28,0.94,0.58,0.85,0.89,0.66,0.94,0.94,0.93,0.17,0.74,0.73,0.28
Tyler Herro,0.19,0.14,0.18,0.19,0.09,0.12,0.2,0.52,0.39,0.52,0.53,0.27,0.93,0.87,0.88,0.92,0.6,0.8,0.94,0.87,0.56,0.78,0.78,0.26
Bam Adebayo,0.19,0.23,0.14,0.21,0.15,0.24,0.18,0.55,0.65,0.4,0.61,0.42,0.93,0.98,0.83,0.94,0.9,0.95,0.91,0.91,0.86,0.66,0.87,0.6
Terry Rozier,0.19,0.09,0.21,0.16,0.14,0.15,0.21,0.54,0.26,0.59,0.44,0.4,0.93,0.65,0.92,0.88,0.86,0.86,0.96,0.89,0.22,0.85,0.64,0.55
Bojan Bogdanovic,0.19,0.09,0.11,0.16,0.07,0.19,0.17,0.59,0.27,0.33,0.5,0.23,0.93,0.65,0.76,0.88,0.46,0.91,0.89,0.93,0.25,0.57,0.75,0.19
Keldon Johnson,0.19,0.12,0.11,0.15,0.09,0.26,0.19,0.58,0.35,0.32,0.46,0.28,0.93,0.81,0.76,0.86,0.6,0.96,0.93,0.93,0.49,0.55,0.68,0.28
Kelly Oubre Jr.,0.19,0.12,0.04,0.1,0.17,0.19,0.19,0.57,0.36,0.13,0.3,0.52,0.93,0.81,0.38,0.72,0.93,0.91,0.93,0.92,0.51,0.11,0.32,0.79
James Harden,0.19,0.16,0.43,0.28,0.18,0.26,0.18,0.5,0.43,1.16,0.77,0.48,0.93,0.91,1.0,1.0,0.95,0.96,0.91,0.85,0.63,1.0,0.96,0.72
CJ McCollum,0.19,0.1,0.23,0.18,0.12,0.13,0.21,0.53,0.3,0.65,0.5,0.34,0.93,0.72,0.95,0.91,0.78,0.83,0.96,0.88,0.34,0.89,0.75,0.4
Kyle Kuzma,0.19,0.17,0.15,0.22,0.08,0.16,0.21,0.54,0.48,0.45,0.62,0.23,0.93,0.92,0.84,0.95,0.53,0.88,0.96,0.89,0.71,0.71,0.89,0.19
Karl-Anthony Towns,0.18,0.19,0.2,0.2,0.1,0.21,0.16,0.54,0.56,0.59,0.61,0.3,0.91,0.94,0.91,0.93,0.66,0.92,0.88,0.89,0.79,0.85,0.87,0.32
Jerami Grant,0.18,0.11,0.1,0.13,0.13,0.21,0.17,0.5,0.31,0.28,0.36,0.36,0.91,0.77,0.73,0.82,0.82,0.92,0.89,0.85,0.37,0.46,0.45,0.45
Desmond Bane,0.18,0.11,0.17,0.18,0.11,0.15,0.18,0.58,0.36,0.54,0.59,0.35,0.91,0.77,0.87,0.91,0.72,0.86,0.91,0.93,0.51,0.8,0.85,0.43
Cade Cunningham,0.18,0.14,0.29,0.24,0.16,0.13,0.21,0.54,0.41,0.86,0.72,0.48,0.91,0.87,0.98,0.98,0.92,0.83,0.96,0.89,0.6,0.96,0.94,0.72
Jordan Clarkson,0.18,0.09,0.17,0.2,0.09,0.16,0.19,0.54,0.27,0.52,0.62,0.28,0.91,0.65,0.87,0.93,0.6,0.88,0.93,0.89,0.25,0.78,0.89,0.28
Klay Thompson,0.18,0.09,0.08,0.11,0.1,0.1,0.2,0.54,0.27,0.25,0.33,0.29,0.91,0.65,0.66,0.77,0.66,0.74,0.94,0.89,0.25,0.4,0.39,0.3
Anfernee Simons,0.18,0.06,0.17,0.15,0.11,0.12,0.2,0.52,0.18,0.47,0.41,0.29,0.91,0.42,0.87,0.86,0.72,0.8,0.94,0.87,0.06,0.74,0.58,0.3
Paolo Banchero,0.18,0.15,0.16,0.19,0.12,0.29,0.18,0.52,0.45,0.47,0.57,0.37,0.91,0.9,0.85,0.92,0.78,0.97,0.91,0.87,0.68,0.74,0.83,0.48
Fred VanVleet,0.17,0.1,0.29,0.19,0.19,0.17,0.18,0.46,0.27,0.79,0.52,0.51,0.89,0.72,0.98,0.92,0.96,0.89,0.91,0.8,0.25,0.95,0.78,0.78
Franz Wagner,0.17,0.09,0.15,0.15,0.11,0.16,0.16,0.51,0.28,0.46,0.45,0.34,0.89,0.65,0.84,0.86,0.72,0.88,0.88,0.86,0.28,0.72,0.66,0.4
Tyrese Haliburton,0.17,0.09,0.38,0.18,0.22,0.15,0.17,0.52,0.26,1.14,0.56,0.65,0.89,0.65,1.0,0.91,0.99,0.86,0.89,0.87,0.22,0.99,0.81,0.9
Kevin Porter Jr.,0.17,0.12,0.27,0.21,0.2,0.18,0.17,0.49,0.36,0.78,0.61,0.59,0.89,0.81,0.97,0.94,0.97,0.9,0.89,0.84,0.51,0.94,0.87,0.86
Mikal Bridges,0.17,0.1,0.12,0.11,0.15,0.16,0.16,0.47,0.29,0.35,0.31,0.44,0.89,0.72,0.79,0.77,0.9,0.88,0.88,0.82,0.31,0.6,0.34,0.65
Jamal Murray,0.17,0.09,0.21,0.16,0.13,0.15,0.19,0.51,0.28,0.62,0.47,0.39,0.89,0.65,0.92,0.88,0.82,0.86,0.93,0.86,0.28,0.87,0.7,0.53
Devin Vassell,0.17,0.09,0.13,0.1,0.15,0.13,0.17,0.54,0.28,0.42,0.31,0.49,0.89,0.65,0.81,0.72,0.9,0.83,0.89,0.89,0.28,0.68,0.34,0.74
Jordan Poole,0.17,0.06,0.16,0.21,0.11,0.24,0.17,0.55,0.2,0.52,0.69,0.36,0.89,0.42,0.85,0.94,0.72,0.95,0.89,0.91,0.08,0.78,0.93,0.45
Dejounte Murray,0.17,0.12,0.25,0.18,0.21,0.11,0.19,0.47,0.33,0.67,0.48,0.57,0.89,0.81,0.96,0.91,0.98,0.78,0.93,0.82,0.43,0.9,0.71,0.84
Tyrese Maxey,0.17,0.07,0.14,0.11,0.1,0.15,0.19,0.52,0.21,0.42,0.33,0.3,0.89,0.51,0.83,0.77,0.66,0.86,0.93,0.87,0.11,0.68,0.39,0.32
RJ Barrett,0.17,0.11,0.12,0.18,0.08,0.22,0.18,0.5,0.31,0.38,0.54,0.22,0.89,0.77,0.79,0.91,0.53,0.93,0.91,0.85,0.37,0.63,0.79,0.17
Gary Trent Jr.,0.16,0.06,0.07,0.07,0.18,0.13,0.16,0.47,0.19,0.21,0.22,0.56,0.88,0.42,0.61,0.55,0.95,0.83,0.88,0.82,0.06,0.3,0.18,0.82
Domantas Sabonis,0.16,0.3,0.27,0.22,0.14,0.21,0.14,0.46,0.85,0.77,0.64,0.38,0.88,1.0,0.97,0.95,0.86,0.92,0.84,0.8,0.97,0.94,0.9,0.5
Deandre Ayton,0.16,0.23,0.07,0.15,0.08,0.14,0.15,0.53,0.74,0.21,0.48,0.25,0.88,0.98,0.61,0.86,0.53,0.85,0.86,0.88,0.91,0.3,0.71,0.22
Spencer Dinwiddie,0.16,0.08,0.27,0.17,0.13,0.17,0.16,0.46,0.24,0.79,0.48,0.38,0.88,0.58,0.97,0.89,0.82,0.89,0.88,0.8,0.17,0.95,0.71,0.5
Jrue Holiday,0.16,0.1,0.29,0.22,0.2,0.13,0.17,0.5,0.31,0.9,0.66,0.59,0.88,0.72,0.98,0.95,0.97,0.83,0.89,0.85,0.37,0.97,0.91,0.86
Myles Turner,0.15,0.19,0.06,0.11,0.07,0.19,0.13,0.52,0.63,0.19,0.41,0.25,0.86,0.94,0.55,0.77,0.46,0.91,0.82,0.87,0.85,0.24,0.58,0.22
Bennedict Mathurin,0.15,0.1,0.05,0.13,0.08,0.24,0.14,0.51,0.35,0.18,0.48,0.28,0.86,0.72,0.47,0.82,0.53,0.95,0.84,0.86,0.49,0.21,0.71,0.28
Jaren Jackson Jr.,0.15,0.14,0.03,0.12,0.12,0.19,0.14,0.54,0.52,0.13,0.43,0.43,0.86,0.87,0.28,0.8,0.78,0.91,0.84,0.89,0.75,0.11,0.62,0.63
Christian Wood,0.15,0.2,0.08,0.16,0.08,0.16,0.14,0.56,0.73,0.29,0.6,0.27,0.86,0.95,0.66,0.88,0.53,0.88,0.84,0.92,0.91,0.48,0.86,0.26
O.G. Anunoby,0.15,0.12,0.08,0.17,0.21,0.11,0.14,0.41,0.33,0.23,0.47,0.59,0.86,0.81,0.66,0.89,0.98,0.78,0.84,0.71,0.43,0.34,0.7,0.86
Michael Porter Jr.,0.15,0.13,0.04,0.08,0.08,0.09,0.15,0.51,0.43,0.14,0.26,0.29,0.86,0.84,0.38,0.62,0.53,0.7,0.86,0.86,0.63,0.13,0.25,0.3
Buddy Hield,0.15,0.12,0.1,0.13,0.14,0.07,0.15,0.46,0.38,0.32,0.41,0.44,0.86,0.81,0.73,0.82,0.86,0.6,0.86,0.8,0.54,0.55,0.58,0.65
Nikola Vucevic,0.15,0.26,0.14,0.14,0.1,0.08,0.16,0.46,0.77,0.4,0.4,0.28,0.86,0.99,0.83,0.84,0.66,0.65,0.88,0.8,0.93,0.66,0.55,0.28
D'Angelo Russell,0.15,0.07,0.25,0.18,0.13,0.12,0.15,0.47,0.23,0.76,0.55,0.39,0.86,0.51,0.96,0.91,0.82,0.8,0.86,0.82,0.15,0.93,0.8,0.53
Aaron Gordon,0.14,0.15,0.09,0.11,0.11,0.21,0.13,0.47,0.5,0.31,0.37,0.35,0.84,0.9,0.69,0.77,0.72,0.92,0.82,0.82,0.73,0.53,0.47,0.43
Norman Powell,0.14,0.07,0.07,0.13,0.11,0.19,0.14,0.56,0.27,0.28,0.5,0.44,0.84,0.51,0.61,0.82,0.72,0.91,0.84,0.92,0.25,0.46,0.75,0.65
Scottie Barnes,0.14,0.16,0.2,0.18,0.11,0.14,0.15,0.39,0.46,0.57,0.51,0.32,0.84,0.91,0.91,0.91,0.72,0.85,0.86,0.67,0.69,0.83,0.76,0.36
Wendell Carter Jr.,0.14,0.2,0.1,0.14,0.06,0.15,0.13,0.46,0.67,0.34,0.48,0.2,0.84,0.95,0.73,0.84,0.38,0.86,0.82,0.8,0.88,0.58,0.71,0.14
Andrew Wiggins,0.14,0.12,0.08,0.08,0.15,0.11,0.16,0.44,0.36,0.24,0.27,0.47,0.84,0.81,0.66,0.62,0.9,0.78,0.88,0.76,0.51,0.37,0.27,0.7
Evan Mobley,0.14,0.22,0.11,0.16,0.11,0.17,0.14,0.42,0.63,0.32,0.47,0.33,0.84,0.97,0.76,0.88,0.72,0.89,0.84,0.73,0.85,0.55,0.7,0.38
Jaden Ivey,0.14,0.09,0.21,0.2,0.11,0.19,0.15,0.46,0.3,0.68,0.66,0.38,0.84,0.65,0.92,0.93,0.72,0.91,0.86,0.8,0.34,0.91,0.91,0.5
Cameron Johnson,0.14,0.1,0.07,0.05,0.14,0.11,0.13,0.48,0.34,0.25,0.17,0.48,0.84,0.72,0.61,0.38,0.86,0.78,0.82,0.83,0.46,0.4,0.11,0.72
Josh Giddey,0.14,0.18,0.25,0.23,0.09,0.07,0.16,0.44,0.57,0.79,0.74,0.29,0.84,0.93,0.96,0.97,0.6,0.6,0.88,0.76,0.8,0.95,0.95,0.3
