,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.7,3.2,85.7,0.9,1.8,50.0,0.9,1.7,53.3,0.2,0.8,20.0,0.2,0.2,100,0.3,0.8,33.3,0.8,2.5,33.3
1,AJ Green,MIL,23,3.6,5.4,66.5,2.1,4.5,46.2,0.9,2.3,40.0,0.2,1.0,22.7,0.3,0.9,31.6,0.4,1.6,26.8,2.1,5.9,34.8
2,AJ Griffin,ATL,19,7.9,12.4,63.8,2.5,5.9,42.8,1.8,4.2,44.3,0.9,2.1,42.9,0.7,1.8,40.2,1.5,3.7,41.7,3.2,9.9,31.9
3,Aaron Gordon,DEN,27,11.7,16.7,69.8,4.8,11.5,41.8,2.7,6.5,41.9,1.1,3.3,34.6,1.0,2.6,40.2,2.1,5.8,37.0,5.0,15.0,33.7
4,Aaron Holiday,ATL,26,6.1,9.0,67.5,1.5,4.1,36.5,1.0,2.5,38.2,0.7,1.5,50.0,0.5,1.4,40.0,1.1,2.5,45.1,2.2,6.6,33.1
5,Aaron Nesmith,IND,23,9.7,15.1,64.5,4.0,8.5,47.4,2.2,5.3,42.0,1.1,2.7,39.6,1.1,2.4,47.6,2.2,5.0,43.3,4.7,12.3,38.1
6,Aaron Wiggins,OKC,24,6.9,10.4,66.1,2.8,6.6,43.0,1.5,3.4,42.6,1.0,2.3,41.7,0.7,2.2,31.4,1.6,4.2,36.6,3.7,9.8,37.6
7,Admiral Schofield,ORL,26,3.9,5.5,69.7,1.5,3.4,44.1,0.8,2.2,35.6,0.5,1.1,42.9,0.9,1.7,51.1,1.3,2.6,47.9,2.6,7.1,36.1
8,Al Horford,BOS,36,10.5,15.2,69.0,5.2,12.3,42.2,3.6,8.0,45.3,0.7,2.0,35.8,0.7,2.2,34.1,1.4,4.1,34.9,6.0,17.3,34.7
9,Alec Burks,DET,31,8.6,12.6,68.5,3.7,8.3,44.9,1.8,4.0,45.5,0.9,2.2,40.2,0.7,1.8,40.7,1.6,3.9,40.4,3.6,11.2,32.6
10,Aleksej Pokusevski,OKC,21,8.0,12.7,63.3,3.1,7.1,43.6,1.6,3.8,41.9,1.1,2.5,43.5,1.0,2.8,36.5,2.0,5.0,40.0,4.4,10.7,40.8
11,Alex Caruso,CHI,29,7.7,11.8,65.6,2.6,6.3,40.5,2.1,4.9,42.0,0.9,2.3,39.9,0.8,2.2,34.3,1.7,4.5,37.2,4.8,13.4,35.5
12,Alex Len,SAC,29,2.0,3.3,60.3,0.5,1.8,27.0,0.5,1.8,28.2,0.2,0.8,30.0,0.5,1.2,46.2,0.6,1.4,39.1,1.2,3.5,34.6
13,Alize Johnson,SAS,26,2.3,5.5,40.9,0.8,2.8,27.3,0.3,1.3,25.0,1.0,1.0,100,0.3,1.7,20.0,0.7,2.0,33.3,1.8,3.8,46.7
14,Alondes Williams,BKN,23,3.0,5.0,60.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,10.2,14.8,69.0,4.6,9.7,47.7,2.2,5.6,39.8,1.2,2.7,42.7,0.9,2.7,34.0,2.0,5.3,38.3,7.0,17.7,39.8
16,Amir Coffey,LAC,25,5.3,8.3,64.2,2.1,5.2,40.3,1.2,2.4,49.5,0.6,1.6,34.6,0.6,1.8,31.6,0.9,2.9,33.0,2.7,7.2,37.1
17,Andre Drummond,CHI,29,4.3,6.6,64.3,1.6,3.6,44.8,0.9,2.4,38.5,0.5,1.6,28.9,0.4,1.2,31.9,0.8,2.6,30.2,2.6,7.2,36.4
18,Andre Iguodala,GSW,39,3.1,5.1,61.0,4.4,7.8,56.5,2.0,5.1,39.0,0.6,1.1,55.6,0.0,1.0,0.0,0.6,1.8,35.7,2.3,7.1,31.6
19,Andrew Nembhard,IND,23,10.7,17.1,62.8,4.8,9.7,48.9,2.4,5.8,41.2,1.1,3.1,35.6,1.0,2.3,40.9,2.0,5.3,37.8,5.2,13.3,38.7
20,Andrew Wiggins,GSW,28,9.1,13.1,69.4,7.4,15.9,46.1,3.4,8.1,41.3,1.2,3.2,38.5,0.9,2.5,36.2,2.1,5.7,37.4,6.0,16.9,35.4
