,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.7,3.2,85.7,0.9,1.8,50.0,0.9,1.7,53.3,0.2,0.8,20.0,0.2,0.2,100,0.3,0.8,33.3,0.8,2.5,33.3
1,AJ Green,MIL,23,3.6,5.3,67.5,2.0,4.4,45.1,0.8,2.1,37.7,0.2,1.0,20.0,0.3,0.9,27.8,0.4,1.7,23.7,2.0,5.9,33.7
2,AJ Griffin,ATL,19,8.0,12.2,65.1,2.4,6.0,40.8,1.7,4.0,42.3,1.0,2.2,43.3,0.8,2.0,39.4,1.6,3.9,41.6,3.2,10.0,32.2
3,Aaron Gordon,DEN,27,11.6,16.5,70.7,4.8,11.5,41.8,2.6,6.3,41.1,1.2,3.3,36.7,1.0,2.5,41.0,2.2,5.7,38.6,5.0,14.9,33.8
4,Aaron Holiday,ATL,26,6.2,9.1,68.2,1.5,4.2,36.2,0.9,2.5,36.9,0.8,1.6,50.7,0.6,1.4,39.4,1.2,2.6,45.3,2.2,6.7,33.2
5,Aaron Nesmith,IND,23,9.1,14.6,62.6,3.9,8.3,46.4,2.3,5.5,42.4,1.1,2.8,39.1,1.1,2.3,46.0,2.1,5.0,42.2,4.6,12.0,38.4
6,Aaron Wiggins,OKC,24,7.1,10.8,65.6,2.7,6.3,42.4,1.3,3.1,40.7,1.0,2.3,43.4,0.7,2.1,30.9,1.6,4.1,37.5,3.7,9.9,37.0
7,Admiral Schofield,ORL,25,4.1,5.6,73.1,1.5,3.4,43.9,0.8,2.3,35.8,0.4,1.0,36.0,0.9,1.7,54.8,1.2,2.6,47.8,2.6,7.2,36.3
8,Al Horford,BOS,36,10.7,15.7,68.4,5.1,12.3,41.8,3.6,8.0,44.7,0.7,2.0,36.1,0.7,2.2,33.9,1.4,4.1,34.9,6.2,17.6,35.1
9,Alec Burks,DET,31,8.6,12.6,68.5,3.7,8.3,44.9,1.8,4.0,45.5,0.9,2.2,40.2,0.7,1.8,40.7,1.6,3.9,40.4,3.6,11.2,32.6
10,Aleksej Pokusevski,OKC,21,8.5,13.5,63.0,3.2,7.5,43.1,1.6,3.9,41.0,1.1,2.6,42.7,1.1,2.9,38.3,2.1,5.3,40.5,4.7,11.4,41.4
11,Alex Caruso,CHI,29,7.9,12.1,65.7,2.7,6.5,41.1,2.1,5.1,40.7,0.9,2.4,37.8,0.7,2.3,32.5,1.6,4.6,35.2,5.0,13.8,36.0
12,Alex Len,SAC,29,1.6,2.4,66.7,0.1,0.8,18.2,0.2,1.1,18.8,0.4,0.9,50.0,0.4,0.8,50.0,0.6,1.1,50.0,0.7,2.1,35.5
13,Alize Johnson,SAS,26,2.3,5.5,40.9,0.8,2.8,27.3,0.3,1.3,25.0,1.0,1.0,100,0.3,1.7,20.0,0.7,2.0,33.3,1.8,3.8,46.7
14,Alondes Williams,BKN,23,3.0,5.0,60.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,9.8,14.3,68.5,4.3,9.3,46.8,2.3,5.7,39.8,1.1,2.6,41.1,0.9,2.5,33.7,1.9,5.1,37.4,7.0,17.7,39.8
16,Amir Coffey,LAC,25,5.5,8.7,63.7,2.2,5.4,41.3,1.2,2.5,50.5,0.6,1.8,34.0,0.6,1.9,30.4,1.0,3.1,32.1,2.7,7.5,36.4
17,Andre Drummond,CHI,29,4.2,6.5,64.2,1.8,3.7,46.9,1.0,2.5,38.8,0.5,1.7,29.1,0.4,1.1,31.6,0.8,2.6,30.1,2.8,7.5,36.6
18,Andre Iguodala,GSW,39,3.1,5.1,61.0,4.4,7.8,56.5,2.0,5.1,39.0,0.6,1.1,55.6,0.0,1.0,0.0,0.6,1.8,35.7,2.3,7.1,31.6
19,Andrew Nembhard,IND,23,10.0,16.5,60.8,4.5,9.4,47.4,2.4,5.8,41.6,1.0,3.0,34.9,0.9,2.3,40.1,1.9,5.2,37.1,5.0,13.0,38.8
20,Andrew Wiggins,GSW,28,9.1,13.1,69.4,7.4,15.9,46.1,3.4,8.1,41.3,1.2,3.2,38.5,0.9,2.5,36.2,2.1,5.7,37.4,6.0,16.9,35.4
21,Anfernee Simons,POR,23,14.4,21.7,66.5,4.7,10.8,43.0,3.0,7.3,41.0,1.4,3.2,43.9,0.9,3.0,31.6,2.3,6.1,38.1,6.3,17.4,36.4
22,Anthony Davis,LAL,30,12.2,18.1,67.3,5.3,13.2,40.1,3.8,8.3,45.8,0.9,2.6,33.9,1.0,2.8,36.8,1.9,5.3,35.4,6.5,19.6,33.1
23,Anthony Edwards,MIN,21,13.8,21.1,65.3,5.2,12.0,43.1,2.7,7.5,36.5,1.0,2.8,34.2,1.3,3.3,39.9,2.3,6.1,37.3,7.1,19.5,36.5
24,Anthony Gill,WAS,30,3.2,4.8,67.1,1.7,3.9,44.6,0.9,2.0,41.9,0.4,1.2,37.8,0.6,1.3,44.1,0.8,2.0,40.8,1.9,5.2,36.6
25,Anthony Lamb,GSW,25,5.4,7.6,71.1,4.4,9.2,47.5,1.8,4.6,39.7,0.8,2.2,38.3,0.6,1.7,37.7,1.4,3.7,38.0,4.0,11.3,35.4
26,Austin Reaves,LAL,24,10.3,15.3,67.5,4.8,11.1,43.7,3.0,6.5,46.5,0.7,2.4,30.7,0.9,2.1,43.1,1.6,4.5,36.4,5.3,16.5,31.8
27,Austin Rivers,MIN,30,8.1,12.1,67.3,3.2,7.0,45.7,1.5,3.9,38.8,0.7,2.3,29.6,0.7,2.0,37.6,1.3,3.9,33.5,3.9,10.1,38.7
28,Ayo Dosunmu,CHI,23,10.6,15.7,67.4,2.9,7.6,38.8,2.2,5.5,40.4,1.1,3.0,36.4,0.9,2.9,30.0,1.9,5.7,33.2,5.7,15.1,37.9
29,Bam Adebayo,MIA,25,10.8,15.6,69.2,5.8,11.9,48.7,2.7,6.8,39.5,1.5,4.0,38.7,1.5,3.7,39.8,3.0,7.7,39.2,6.4,18.2,35.2
30,Ben Simmons,BKN,26,9.7,15.5,62.3,3.6,9.7,37.1,2.4,6.0,39.8,0.8,2.0,39.7,1.0,2.8,36.3,1.7,4.5,37.7,5.0,13.8,36.6
31,Bennedict Mathurin,IND,20,11.3,17.8,63.4,3.7,8.3,45.2,2.2,5.5,39.6,1.1,2.9,39.5,1.0,2.6,38.0,2.1,5.5,38.8,4.8,13.5,35.6
32,Bismack Biyombo,PHX,30,4.2,7.1,58.6,2.3,5.6,40.5,1.2,3.2,37.3,0.7,1.3,50.9,0.3,0.9,32.4,0.9,2.0,43.5,2.5,7.2,34.7
33,Blake Griffin,BOS,34,4.0,6.0,66.2,2.5,5.4,47.2,2.0,3.8,51.6,0.6,1.4,42.1,0.3,1.3,23.5,0.8,2.3,33.3,2.6,7.3,35.1
34,Blake Wesley,SAS,20,7.2,11.4,63.3,2.5,5.7,43.7,1.4,2.7,51.5,0.8,1.7,45.9,0.4,1.2,34.8,1.1,2.6,41.7,2.8,7.9,36.0
35,Boban Marjanovic,HOU,34,1.5,2.1,72.9,0.5,1.3,40.6,0.6,1.0,54.2,0.3,0.7,37.5,0.4,1.0,37.5,0.5,1.2,37.5,0.9,3.4,26.2
36,Bobby Portis,MIL,28,8.9,13.5,65.9,4.6,10.9,42.5,2.8,7.4,38.5,0.7,1.8,40.4,0.7,1.8,36.5,1.4,3.5,38.5,5.1,14.5,35.3
37,Bogdan Bogdanovic,ATL,30,11.4,17.5,65.0,3.5,8.0,44.1,2.8,6.3,43.8,1.4,3.2,42.9,1.3,3.1,40.3,2.6,6.2,41.6,5.0,14.8,33.6
38,Bojan Bogdanovic,DET,33,13.3,19.3,68.6,5.4,11.6,46.0,2.7,6.6,40.8,1.4,3.6,39.4,1.0,2.4,40.3,2.4,6.1,39.8,5.8,16.1,36.1
39,Bol Bol,ORL,23,8.2,11.3,72.4,2.5,6.4,39.4,2.1,4.5,45.4,0.9,2.5,35.0,1.0,2.3,44.8,1.9,4.8,39.7,4.2,12.8,32.9
40,Bones Hyland,LAC,22,7.8,10.6,73.8,2.7,6.1,43.6,1.4,3.4,40.4,1.0,2.5,38.6,0.7,1.6,42.3,1.6,3.9,40.0,3.6,9.8,36.9
41,Bradley Beal,WAS,29,11.5,16.7,68.9,5.8,14.2,40.7,3.4,8.3,40.7,0.9,2.6,34.7,0.8,2.5,31.4,1.7,5.0,33.1,6.5,17.3,37.4
42,Brandon Boston Jr.,LAC,21,4.5,6.6,68.8,2.2,4.7,45.7,1.2,2.8,41.5,0.4,1.5,26.1,0.6,1.6,37.5,0.7,2.3,30.8,2.5,5.8,43.8
43,Brandon Clarke,MEM,26,6.6,10.8,61.3,2.5,6.6,37.7,1.4,3.6,39.5,0.6,1.5,40.2,0.8,1.8,43.5,1.3,3.2,42.0,4.2,12.4,33.7
44,Brandon Ingram,NOP,25,11.6,16.4,71.1,5.3,11.3,46.5,2.8,7.0,40.5,0.9,2.8,33.3,1.3,3.1,41.8,2.2,5.8,37.7,6.3,18.2,34.8
45,Braxton Key,DET,26,1.3,1.3,100.0,0.3,1.3,25.0,0.5,0.5,100,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,3.7,27.3
46,Brook Lopez,MIL,34,8.9,14.3,62.1,5.8,13.3,43.6,4.0,9.9,39.9,0.8,2.4,33.3,0.7,2.1,36.0,1.5,4.4,34.6,6.3,17.6,35.7
47,Bruce Brown,DEN,26,10.9,15.5,70.5,4.2,10.3,40.2,2.4,5.5,43.2,0.9,2.9,31.5,1.0,2.5,40.6,1.9,5.4,35.7,5.0,14.1,35.5
48,Bruno Fernando,ATL,24,3.1,4.6,66.9,1.7,4.5,38.3,1.0,2.2,45.1,0.5,1.2,44.1,0.4,1.0,42.3,0.8,1.8,43.3,2.6,7.3,35.6
49,Bryce McGowens,CHA,20,5.4,9.7,55.9,2.6,5.9,43.3,1.3,2.7,47.3,0.6,1.3,47.5,1.0,2.2,48.2,1.4,2.9,47.9,3.0,8.1,37.2
