,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
50,Desmond Bane,MEM,24,38,38,33.9,2.4,5.5,44.0,57.7,12.3,0.9,2.0,45.2,21.6,1.5,3.5,43.2
51,Spencer Dinwiddie,BKN,29,60,59,41.5,2.1,5.4,38.3,49.8,14.9,0.8,1.9,42.6,26.6,1.3,3.5,35.9
52,Khris Middleton,MIL,31,20,20,46.3,2.0,5.3,38.3,44.9,26.4,1.4,3.0,44.3,19.9,0.7,2.3,30.4
53,Dillon Brooks,MEM,27,55,55,36.9,1.8,5.2,34.9,40.0,22.2,1.3,3.1,40.8,14.7,0.5,2.0,25.9
54,Killian Hayes,DET,21,57,57,50.7,1.9,5.1,38.1,41.1,39.9,1.6,4.0,41.0,10.8,0.3,1.1,27.5
55,Giannis Antetokounmpo,MIL,28,49,48,24.4,1.6,5.1,32.5,36.5,16.5,1.2,3.4,36.2,7.9,0.4,1.6,24.8
56,Alec Burks,DET,31,48,48,53.6,2.1,4.8,43.3,52.6,28.8,1.2,2.6,46.1,24.8,0.9,2.2,40.4
57,Mikal Bridges,BKN,26,62,62,33.6,2.0,4.7,43.3,45.2,29.5,1.8,4.1,45.1,4.2,0.2,0.6,31.0
58,Gordon Hayward,CHA,32,37,37,39.5,2.0,4.6,43.8,45.9,33.2,1.8,3.8,47.1,6.3,0.2,0.7,26.0
59,Kyle Kuzma,WAS,27,56,55,25.1,1.4,4.5,31.8,39.4,12.4,0.8,2.3,33.3,12.7,0.7,2.3,30.4
60,Jaden Ivey,DET,21,56,55,35.9,1.6,4.4,37.1,44.0,20.4,1.0,2.5,41.3,15.5,0.6,1.9,31.9
61,Bogdan Bogdanovic,ATL,30,37,36,36.1,1.8,4.4,41.7,50.9,19.7,1.0,2.4,42.7,16.4,0.8,2.0,40.5
62,Cameron Payne,PHX,28,30,30,40.1,1.8,4.3,40.8,50.0,23.1,1.0,2.5,38.8,17.0,0.8,1.8,43.7
63,Cam Thomas,BKN,21,44,38,54.0,1.6,4.3,38.1,44.4,35.4,1.1,2.8,38.7,18.6,0.6,1.5,37.2
64,Bones Hyland,LAC,22,45,45,42.2,1.5,4.3,34.4,47.1,13.4,0.4,1.4,27.9,28.8,1.1,2.9,37.5
