,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
291,Gorgui Dieng,SAS,33,24,18,52.0,0.5,1.6,30.8,43.6,5.3,0.1,0.2,47.1,46.7,0.4,1.5,28.8
292,Jeff Green,DEN,36,48,37,27.8,0.5,1.6,28.2,40.4,2.8,0.1,0.2,35.3,24.9,0.4,1.5,27.4
293,Eugene Omoruyi,DET,26,32,22,31.5,0.4,1.6,26.9,39.4,0.6,0.0,0.0,100,30.9,0.4,1.6,25.8
294,Collin Sexton,UTA,24,47,39,16.7,0.6,1.6,38.2,55.9,0.7,0.0,0.1,66.7,16.0,0.6,1.6,36.8
295,Luka Garza,MIN,24,26,19,37.8,0.6,1.6,38.1,54.8,3.6,0.1,0.1,53.3,34.2,0.5,1.5,37.0
296,Tre Mann,OKC,22,60,47,21.0,0.6,1.6,34.0,50.5,0.2,0.0,0.0,100,20.8,0.5,1.6,33.1
297,Aaron Wiggins,OKC,24,59,42,31.5,0.6,1.6,36.8,55.3,0.3,0.0,0.0,0.0,31.1,0.6,1.6,37.1
298,Max Christie,LAL,20,38,25,57.1,0.6,1.6,40.0,60.0,1.0,0.0,0.0,0.0,56.2,0.6,1.6,40.6
299,Lamar Stevens,CLE,25,53,42,33.5,0.5,1.6,33.7,49.4,1.6,0.0,0.1,50.0,31.9,0.5,1.5,32.9
300,George Hill,IND,36,41,29,41.8,0.6,1.6,39.1,57.8,0.7,0.0,0.0,100,41.2,0.6,1.5,38.3
301,Talen Horton-Tucker,UTA,22,57,43,19.1,0.4,1.6,27.0,40.4,0.4,0.0,0.0,0.0,18.6,0.4,1.5,27.5
302,Jordan Hall,SAS,21,9,8,50.0,0.2,1.6,14.3,17.9,7.1,0.1,0.2,50.0,42.9,0.1,1.3,8.3
303,Juancho Hernangomez,TOR,27,42,30,57.0,0.4,1.6,26.2,39.2,0.9,0.0,0.0,0.0,56.1,0.4,1.5,26.3
304,Cory Joseph,DET,31,53,44,29.7,0.6,1.5,40.7,61.1,0.4,0.0,0.0,0.0,29.3,0.6,1.5,41.1
305,T.J. Warren,PHX,29,34,25,23.8,0.6,1.5,41.2,56.9,3.7,0.1,0.2,62.5,20.1,0.5,1.3,37.3
306,Blake Griffin,BOS,34,34,24,43.2,0.6,1.5,37.3,55.9,0.8,0.0,0.0,0.0,42.4,0.6,1.5,38.1
307,Edmond Sumner,BKN,27,48,36,28.3,0.6,1.5,37.5,55.6,0.4,0.0,0.0,100,28.0,0.5,1.5,36.5
308,Trevor Keels,NYK,19,2,2,100.0,0.5,1.5,33.3,50.0,0.0,0.0,0.0,-,100.0,0.5,1.5,33.3
309,Delon Wright,WAS,30,42,30,28.3,0.5,1.5,33.3,49.2,0.9,0.0,0.1,40.0,27.4,0.5,1.4,33.1
310,Jock Landale,PHX,27,62,45,32.0,0.5,1.5,30.1,40.9,5.5,0.1,0.3,50.0,26.5,0.3,1.2,25.8
311,Chris Paul,PHX,37,50,34,13.3,0.8,1.5,51.4,75.7,0.5,0.0,0.1,66.7,12.7,0.7,1.4,50.7
312,James Bouknight,CHA,22,26,17,32.5,0.3,1.5,21.1,31.6,0.9,0.0,0.0,0.0,31.6,0.3,1.4,21.8
313,Cody Martin,CHA,27,7,5,27.8,0.6,1.4,40.0,55.0,2.8,0.1,0.1,100,25.0,0.4,1.3,33.3
314,JT Thor,CHA,20,60,48,52.1,0.4,1.4,27.9,40.1,5.5,0.1,0.1,33.3,46.7,0.3,1.3,27.3
