,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,LeBron James,LAL,38,55,55,100,11.1,22.1,50.0,55.0,69.0,8.9,15.3,58.1,31.0,2.2,6.8,32.1
1,Luka Doncic,DAL,24,66,66,100,10.9,21.9,49.6,56.0,62.7,8.1,13.8,58.8,37.3,2.8,8.2,34.1
2,Jayson Tatum,BOS,25,74,74,100,9.8,21.1,46.6,54.3,56.0,6.6,11.8,55.8,44.0,3.2,9.3,35.0
3,Damian Lillard,POR,32,58,58,100,9.6,20.7,46.3,56.4,45.3,5.4,9.4,57.4,54.7,4.2,11.3,37.1
4,Jaylen Brown,BOS,26,67,67,100,10.1,20.6,49.1,55.0,64.8,7.7,13.4,57.6,35.2,2.4,7.3,33.4
5,Donovan Mitchell,CLE,26,68,68,100,10.0,20.6,48.4,57.2,54.7,6.4,11.3,56.6,45.3,3.6,9.3,38.5
6,Stephen Curry,GSW,35,55,55,100,10.1,20.4,49.3,61.4,43.6,5.1,8.9,57.7,56.4,4.9,11.5,42.9
7,Shai Gilgeous-Alexander,OKC,24,68,68,100,10.3,20.3,51.0,53.1,87.8,9.5,17.8,53.3,12.2,0.8,2.5,34.4
8,Giannis Antetokounmpo,MIL,28,63,63,100,11.2,20.3,55.3,57.1,86.6,10.5,17.6,59.6,13.4,0.8,2.7,27.7
9,Devin Booker,PHX,26,53,53,100,9.9,20.1,49.4,54.6,70.4,7.8,14.2,55.4,29.6,2.1,6.0,35.1
10,Joel Embiid,PHI,29,66,66,100,11.0,20.1,54.8,57.3,84.9,10.0,17.1,58.7,15.1,1.0,3.0,33.0
11,Kyrie Irving,DAL,31,60,60,100,9.9,20.1,49.4,57.2,58.8,6.8,11.8,57.5,41.2,3.1,8.3,37.8
12,LaMelo Ball,CHA,21,36,36,100,8.2,20.0,41.1,51.0,46.9,4.2,9.4,44.9,53.1,4.0,10.6,37.6
13,Ja Morant,MEM,23,61,61,100,9.3,19.9,46.6,50.4,75.3,7.8,15.0,51.9,24.7,1.5,4.9,30.7
14,Anthony Edwards,MIN,21,78,78,100,8.9,19.4,45.7,52.6,62.4,6.2,12.1,51.2,37.6,2.7,7.3,36.7
15,Trae Young,ATL,24,73,73,100,8.2,19.0,42.9,48.5,66.9,6.1,12.7,47.6,33.1,2.1,6.3,33.5
16,Terry Rozier,CHA,29,63,63,100,7.8,18.7,41.6,48.6,57.7,5.2,10.8,48.3,42.3,2.6,7.9,32.7
17,Cade Cunningham,DET,21,12,12,100,7.8,18.7,41.5,45.3,72.8,6.3,13.6,46.6,27.2,1.4,5.1,28.0
18,Julius Randle,NYK,28,77,77,100,8.6,18.6,46.0,53.6,55.6,5.7,10.3,55.3,44.4,2.8,8.3,34.3
19,Brandon Ingram,NOP,25,45,45,100,9.0,18.5,48.4,52.3,80.3,7.6,14.9,50.8,19.7,1.4,3.6,39.0
20,Pascal Siakam,TOR,29,71,71,100,8.9,18.5,48.0,51.5,78.1,7.6,14.4,52.3,21.9,1.3,4.0,32.4
21,Klay Thompson,GSW,33,68,68,100,7.9,18.3,43.4,55.4,41.4,3.5,7.6,46.7,58.6,4.4,10.7,41.1
22,Kevin Durant,PHX,34,47,47,100,10.2,18.2,56.0,61.4,73.4,8.3,13.4,61.7,26.6,2.0,4.8,40.4
