,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
120,Derrick Rose,NYK,34,0.7,1.4,51.3,0.7,1.5,42.5,0.2,0.6,29.4,0.2,0.3,50.0,0.0,0.2,0.0,0.1,0.5,30.8,0.6,1.9,30.0
121,Derrick White,BOS,28,1.4,2.1,66.0,0.9,2.0,46.4,0.2,0.5,37.5,0.3,0.7,41.3,0.3,0.8,36.2,0.6,1.5,38.5,1.2,3.1,37.2
122,Desmond Bane,MEM,24,2.5,4.3,57.7,1.5,3.3,45.5,0.6,1.3,47.5,0.4,0.8,47.2,0.2,0.3,71.4,0.6,1.1,54.0,2.3,5.9,38.5
123,Devin Booker,PHX,26,2.6,3.8,68.5,2.2,4.3,51.1,3.1,6.4,48.4,0.2,0.5,45.0,0.1,0.5,31.6,0.4,0.9,38.5,1.9,5.2,36.3
124,Devin Vassell,SAS,22,1.6,2.7,60.4,0.7,2.0,33.3,1.9,4.1,46.4,0.3,0.6,42.9,0.4,0.7,54.2,0.6,1.3,48.9,2.0,5.4,36.6
125,Devon Dotson,WAS,23,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6,0.0,0.2,0.2,100
126,Devonte' Graham,SAS,28,0.2,0.4,44.8,0.2,0.4,50.0,0.2,0.4,44.4,0.1,0.3,52.9,0.1,0.2,30.8,0.2,0.5,43.3,1.4,4.0,35.8
127,Dewayne Dedmon,PHI,33,1.1,1.7,61.1,0.6,1.0,61.3,0.1,0.3,33.3,0.0,0.1,0.0,0.0,0.1,50.0,0.0,0.2,16.7,0.3,1.0,32.3
128,Dillon Brooks,MEM,27,1.5,2.7,56.0,1.4,3.4,40.9,0.6,1.9,33.0,0.2,0.7,35.7,0.1,0.4,20.8,0.3,1.1,30.3,1.5,4.8,31.8
129,Domantas Sabonis,SAC,26,5.0,7.0,70.7,1.4,2.7,51.1,0.5,1.0,46.3,0.0,0.1,28.6,0.0,0.0,0.0,0.0,0.1,20.0,0.4,1.0,39.1
130,Dominick Barlow,SAS,19,1.0,1.6,61.5,0.1,0.3,40.0,0.3,0.3,80.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0
131,Donovan Mitchell,CLE,26,3.2,4.6,68.8,1.7,3.4,49.0,1.3,2.9,44.9,0.2,0.4,43.5,0.1,0.2,25.0,0.2,0.6,37.1,3.4,8.7,38.4
132,Donte DiVincenzo,GSW,26,0.7,1.2,58.3,0.3,0.7,38.6,0.1,0.3,30.0,0.2,0.6,37.1,0.3,0.6,52.8,0.5,1.2,45.1,1.6,4.1,39.4
