,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,3.0,3.5,84.6,0.6,1.1,54.5,0.7,1.2,54.5,0.3,0.5,50.0,0.4,1.6,25.0,0.8,2.3,36.0
1,AJ Green,MIL,23,3.8,5.9,64.5,0.9,2.3,40.0,1.0,2.1,49.2,0.6,1.6,35.9,0.6,2.2,28.6,1.9,5.5,34.1
2,AJ Griffin,ATL,19,8.3,13.2,63.2,1.5,3.5,42.0,1.3,3.1,41.7,0.8,1.8,43.0,2.4,6.1,39.7,2.6,8.2,31.5
3,Aaron Gordon,DEN,27,12.7,18.8,67.6,2.7,6.9,39.3,1.9,4.2,44.0,1.4,3.4,41.4,3.1,8.4,36.9,4.4,12.7,34.2
4,Aaron Holiday,ATL,26,6.4,9.9,65.0,1.0,2.5,38.5,0.8,2.2,37.4,0.6,1.4,40.3,1.6,3.8,40.6,1.9,5.7,33.9
5,Aaron Nesmith,IND,23,9.8,16.1,60.6,2.4,5.1,47.2,1.9,3.9,48.5,1.2,2.7,42.9,3.0,7.0,42.8,3.9,10.5,37.5
6,Aaron Wiggins,OKC,24,7.4,11.8,62.7,1.8,4.0,44.4,0.9,2.2,41.6,0.8,1.9,40.8,2.3,5.9,39.7,3.0,8.4,36.1
7,Admiral Schofield,ORL,25,4.2,6.0,70.3,0.8,2.1,40.0,0.7,1.2,54.5,0.6,1.5,40.0,1.5,3.8,41.0,2.3,6.3,36.1
8,Al Horford,BOS,36,11.8,17.9,65.6,2.8,7.1,38.8,2.2,5.1,42.4,2.1,4.3,49.4,2.8,7.4,38.1,5.2,15.4,34.0
9,Alec Burks,DET,31,9.9,14.8,67.0,1.9,5.0,39.1,1.1,2.4,47.9,0.8,2.2,38.4,2.3,6.0,38.8,3.1,9.0,34.4
