,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
151,Frank Ntilikina,DAL,24,4.6,7.4,62.4,0.9,2.4,37.7,0.9,1.9,46.8,0.7,1.6,40.6,1.4,3.7,37.8,1.5,4.7,32.5
152,Franz Wagner,ORL,21,12.2,18.1,67.4,2.6,6.4,41.2,2.2,4.9,44.2,1.6,3.6,44.0,3.8,9.9,38.7,5.3,15.7,33.5
153,Fred VanVleet,TOR,29,14.3,21.3,67.1,3.5,7.7,45.2,2.2,4.5,47.5,1.4,3.2,42.1,4.0,10.1,39.5,5.3,14.4,37.1
154,Furkan Korkmaz,PHI,25,3.8,6.0,63.1,0.6,1.7,36.5,0.6,1.1,50.0,0.3,1.0,26.9,1.0,2.5,39.1,1.3,4.2,29.9
155,Gabe Vincent,MIA,26,9.1,13.5,67.4,2.8,5.6,49.6,1.5,3.9,38.7,1.1,2.4,45.4,2.9,8.2,35.8,4.2,11.5,36.7
156,Garrett Temple,NOP,36,3.0,4.4,67.9,0.6,1.4,45.2,0.4,1.3,27.3,0.1,0.3,40.0,0.7,2.0,31.9,1.5,4.0,37.4
157,Garrison Mathews,ATL,26,4.6,7.0,65.3,0.8,2.6,30.8,0.7,1.8,41.6,0.5,1.3,41.3,1.4,3.5,39.8,2.4,7.5,31.5
158,Gary Harris,ORL,28,9.9,14.2,69.3,2.4,5.2,45.7,2.0,4.0,50.8,1.2,2.9,41.6,2.4,6.5,37.1,4.3,11.4,37.8
159,Gary Payton II,GSW,30,6.4,10.5,61.3,1.7,2.8,59.3,1.2,2.4,48.9,0.8,1.9,44.4,1.8,4.8,38.0,2.7,6.8,39.5
160,Gary Trent Jr.,TOR,24,13.1,20.3,64.6,3.2,6.8,46.9,1.8,4.4,41.4,1.2,2.6,45.8,3.6,8.9,40.1,4.9,13.0,37.5
161,George Hill,IND,36,6.5,10.4,61.9,1.7,3.6,47.1,1.5,3.7,40.2,1.3,2.8,45.5,1.2,4.0,30.0,3.1,9.0,34.2
162,Georges Niang,PHI,29,7.5,11.5,65.7,1.5,3.7,41.7,1.2,2.7,44.5,0.9,2.3,37.9,1.7,4.6,35.9,3.0,9.1,32.7
163,Giannis Antetokounmpo,MIL,28,10.8,17.3,62.3,2.9,7.5,39.2,3.8,7.7,48.7,2.4,6.1,39.8,2.5,7.2,35.0,5.5,15.6,35.1
164,Goga Bitadze,ORL,23,3.6,5.9,62.0,0.7,1.8,37.3,0.7,1.6,44.2,0.3,1.1,30.3,1.3,3.2,39.0,1.7,5.3,32.8
165,Goran Dragic,MIL,36,6.5,9.7,67.2,1.4,3.0,45.3,0.9,1.9,45.8,0.6,1.5,41.0,1.4,4.5,32.2,2.0,6.0,33.6
166,Gordon Hayward,CHA,33,14.0,22.0,63.5,3.2,6.8,47.3,2.2,4.6,47.4,1.8,4.0,44.5,2.8,8.0,35.3,4.2,13.4,31.5
167,Gorgui Dieng,SAS,33,3.9,6.0,64.7,1.3,2.4,54.2,0.6,1.6,39.0,0.6,1.3,45.5,1.5,3.2,48.1,2.3,5.6,42.0
168,Grant Williams,BOS,24,9.2,14.3,63.9,2.9,6.5,44.5,1.9,4.4,43.5,1.9,3.9,48.1,2.2,6.0,37.2,4.3,12.2,35.2
169,Grayson Allen,MIL,27,9.4,15.3,61.6,2.6,6.4,40.1,3.1,6.5,47.9,2.0,4.8,42.6,2.3,6.1,38.0,4.8,13.4,35.7
