,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
290,Ziaire Williams,MEM,21,36,33,100,2.1,4.9,42.4,48.6,49.7,1.5,2.4,60.2,50.3,0.6,2.5,24.7
291,Nicolas Batum,LAC,34,69,68,100,2.0,4.8,41.3,56.7,18.6,0.5,0.9,56.7,81.4,1.5,3.9,37.8
292,MarJon Beauchamp,MIL,22,43,41,100,1.9,4.8,39.4,48.8,41.8,1.0,2.0,49.5,58.2,0.9,2.8,32.4
293,Jonathan Isaac,ORL,25,11,11,100,2.0,4.8,41.5,47.2,71.7,1.4,3.5,42.0,28.3,0.6,1.4,40.4
294,Jaylin Williams,OKC,20,40,39,100,2.1,4.8,44.2,53.9,54.7,1.2,2.6,45.4,45.3,0.9,2.1,43.3
295,Rodney McGruder,DET,31,32,28,100,1.9,4.8,40.8,54.3,36.2,0.7,1.7,38.4,63.8,1.3,3.0,42.2
296,Oshae Brissett,IND,24,57,54,100,1.9,4.7,40.0,48.1,49.6,1.1,2.4,47.7,50.4,0.8,2.4,32.2
297,Kevon Looney,GSW,27,73,72,100,3.0,4.7,64.1,64.1,99.7,3.0,4.7,64.3,0.3,0.0,0.0,0.0
298,Josh Christopher,HOU,21,55,52,100,2.1,4.7,45.4,49.0,71.5,1.8,3.4,53.3,28.5,0.3,1.4,25.9
299,Sam Hauser,BOS,25,71,66,100,2.1,4.7,44.9,62.5,15.5,0.5,0.7,63.0,84.5,1.7,4.0,41.5
300,Daniel Gafford,WAS,24,71,69,100,3.5,4.7,74.0,74.0,100.0,3.5,4.7,73.9,0.0,0.0,0.0,-
301,Jock Landale,PHX,27,63,61,100,2.4,4.7,51.5,54.9,72.4,2.1,3.4,61.9,27.6,0.3,1.3,24.6
302,Isaac Okoro,CLE,22,74,72,100,2.3,4.7,48.9,57.3,52.0,1.5,2.5,61.2,48.0,0.8,2.3,35.4
303,Mike Muscala,BOS,31,54,49,100,2.1,4.7,43.9,57.7,28.9,0.8,1.4,56.3,71.1,1.3,3.3,39.0
304,Xavier Tillman,MEM,24,53,51,100,2.8,4.7,59.3,60.1,94.0,2.7,4.4,61.4,6.0,0.1,0.3,28.6
305,Mitchell Robinson,NYK,24,52,50,100,3.2,4.7,69.1,69.1,100.0,3.2,4.7,69.2,0.0,0.0,0.0,-
306,Trendon Watford,POR,22,55,54,100,2.6,4.7,55.6,59.9,79.8,2.2,3.7,59.0,20.2,0.4,0.9,42.1
307,Nick Richards,CHA,25,58,55,100,2.9,4.7,62.2,62.2,100.0,2.9,4.7,62.2,0.0,0.0,0.0,-
308,Willy Hernangomez,NOP,28,35,32,100,2.5,4.7,52.8,53.7,93.3,2.4,4.3,54.6,6.7,0.1,0.3,29.0
309,R.J. Hampton,DET,22,38,34,100,2.0,4.6,43.8,52.6,53.4,1.2,2.5,49.0,46.6,0.8,2.2,38.0
310,Isaiah Jackson,IND,21,54,50,100,2.6,4.6,57.4,57.8,95.2,2.6,4.4,59.5,4.8,0.0,0.2,18.2
311,Lamar Stevens,CLE,25,54,51,100,2.1,4.6,46.6,51.8,67.1,1.7,3.1,54.0,32.9,0.5,1.5,31.6
312,Nikola Jovic,MIA,19,15,13,100,1.9,4.6,40.6,46.4,49.3,1.3,2.3,58.6,50.7,0.5,2.3,22.7
313,Payton Pritchard,BOS,25,45,41,100,1.8,4.6,39.0,49.3,38.0,0.8,1.7,48.6,62.0,0.9,2.8,33.0
314,JaMychal Green,GSW,32,54,51,100,2.4,4.5,53.7,61.9,56.1,1.7,2.5,66.5,43.9,0.7,2.0,37.4
315,Maxi Kleber,DAL,31,31,30,100,2.1,4.5,46.4,57.9,35.0,1.1,1.6,67.1,65.0,1.0,2.9,35.0
316,John Konchar,MEM,27,64,61,100,1.9,4.5,42.9,52.9,43.3,1.0,1.9,52.8,56.7,0.9,2.6,35.5
317,James Bouknight,CHA,22,26,23,100,1.5,4.5,34.2,41.0,47.9,0.9,2.1,42.8,52.1,0.6,2.4,26.4
318,Malachi Flynn,TOR,24,47,44,100,1.6,4.5,36.5,46.9,43.6,0.7,2.0,35.7,56.4,0.9,2.5,37.2
319,Justin Holiday,DAL,33,40,39,100,1.7,4.4,39.0,51.4,28.2,0.6,1.3,50.4,71.8,1.1,3.2,34.6
320,Julian Champagnie,SAS,21,8,8,100,1.9,4.4,42.9,58.6,25.7,0.5,1.1,44.2,74.3,1.4,3.3,42.5
321,Alex Caruso,CHI,29,58,56,100,1.9,4.3,44.8,54.4,47.6,1.1,2.1,54.1,52.4,0.8,2.3,36.4
322,Theo Maledon,CHA,21,36,33,100,1.8,4.3,41.3,48.1,60.0,1.2,2.6,46.1,40.0,0.6,1.7,33.7
323,Jarrett Culver,ATL,24,10,9,100,1.7,4.3,39.5,40.7,72.1,1.6,3.1,51.6,27.9,0.1,1.2,8.3
324,Daishen Nix,HOU,21,49,45,100,1.5,4.3,35.2,44.0,41.9,0.8,1.8,42.2,58.1,0.8,2.5,30.5
325,Luka Garza,MIN,24,26,25,100,2.4,4.3,55.0,61.3,65.8,1.8,2.8,64.4,34.2,0.5,1.5,37.0
326,Jalen Johnson,ATL,21,64,61,100,2.0,4.3,48.0,52.7,67.4,1.6,2.9,56.9,32.6,0.4,1.4,29.5
327,Chuma Okeke,ORL,24,22,22,100,1.6,4.2,36.6,47.3,30.1,0.6,1.3,50.4,69.9,0.9,3.0,30.8
328,Dalano Banton,TOR,23,27,25,100,1.7,4.2,40.7,46.5,59.3,1.2,2.5,49.2,40.7,0.5,1.7,28.2
329,Jae Crowder,MIL,32,11,11,100,2.0,4.2,47.8,62.0,28.3,0.8,1.2,69.5,71.7,1.2,3.0,39.3
330,Stanley Johnson,SAS,26,29,29,100,2.2,4.2,52.9,60.3,66.9,1.6,2.8,57.0,33.1,0.6,1.4,44.9
331,Darius Bazley,PHX,22,40,35,100,1.9,4.2,44.6,50.3,70.5,1.4,2.9,47.1,29.5,0.5,1.2,39.0
332,Trevelin Queen,IND,26,7,7,100,1.0,4.1,24.1,27.6,48.3,0.7,2.0,35.5,51.7,0.3,2.1,13.6
333,Lindy Waters III,OKC,25,35,33,100,1.6,4.1,39.6,56.3,9.0,0.3,0.4,70.3,91.0,1.4,3.7,36.6
334,Andre Drummond,CHI,29,59,55,100,2.5,4.1,61.2,61.2,99.2,2.5,4.1,61.7,0.8,0.0,0.0,0.0
335,Yuta Watanabe,BKN,28,49,48,100,2.1,4.1,50.5,63.5,43.5,1.0,1.8,56.2,56.5,1.1,2.3,45.9
336,Sandro Mamukelashvili,SAS,23,34,32,100,1.5,4.0,37.2,44.5,50.4,0.9,2.0,44.8,49.6,0.6,2.0,29.5
337,Wenyen Gabriel,LAL,25,59,55,100,2.4,4.0,59.9,61.8,86.9,2.3,3.5,64.5,13.1,0.1,0.5,28.3
338,Austin Rivers,MIN,30,52,48,100,1.8,4.0,43.5,53.8,41.1,0.9,1.6,55.8,58.9,0.8,2.4,35.0
339,Haywood Highsmith,MIA,26,49,43,100,1.7,4.0,43.1,52.3,48.2,1.0,1.9,51.5,51.8,0.7,2.1,35.1
340,Dewayne Dedmon,PHI,33,34,33,100,2.0,4.0,50.7,54.8,72.8,1.7,2.9,58.8,27.2,0.3,1.1,29.4
341,Vlatko Cancar,DEN,25,52,43,100,2.0,4.0,49.0,59.1,49.5,1.1,2.0,58.1,50.5,0.8,2.0,40.1
342,Saben Lee,PHX,23,22,20,100,1.7,4.0,42.0,46.0,77.3,1.4,3.1,44.0,22.7,0.3,0.9,35.2
343,Johnny Juzang,UTA,22,10,10,100,1.4,4.0,35.0,46.3,30.0,0.5,1.2,41.7,70.0,0.9,2.8,32.1
344,Carlik Jones,CHI,25,1,1,100,0.0,4.0,0.0,0.0,75.0,0.0,3.0,0.0,25.0,0.0,1.0,0.0
345,Isaiah Hartenstein,NYK,24,74,73,100,2.0,4.0,51.5,52.9,87.5,1.9,3.5,55.9,12.5,0.1,0.5,22.0
346,Keon Johnson,POR,21,37,34,100,1.4,3.9,35.9,43.4,54.5,0.8,2.1,37.9,45.5,0.6,1.8,33.1
347,Dru Smith,BKN,25,10,9,100,1.8,3.9,46.2,52.6,53.8,1.3,2.1,61.9,46.2,0.5,1.8,27.8
348,Dean Wade,CLE,26,39,35,100,1.6,3.9,40.8,53.3,28.3,0.6,1.1,56.4,71.7,1.0,2.8,34.8
349,Charles Bassey,SAS,22,35,31,100,2.5,3.9,64.4,65.6,94.1,2.4,3.6,66.1,5.9,0.1,0.2,39.1
350,Patrick Baldwin Jr.,GSW,20,26,21,100,1.5,3.9,40.0,55.0,23.0,0.4,0.9,43.2,77.0,1.1,3.0,38.9
351,Kevin Knox II,POR,23,53,50,100,1.8,3.8,47.8,59.4,36.9,0.9,1.4,66.2,63.1,0.9,2.4,36.8
352,Kira Lewis Jr.,NOP,21,22,19,100,1.7,3.8,45.2,53.0,64.3,1.1,2.5,46.5,35.7,0.6,1.4,43.4
353,Ish Wainright,PHX,28,53,47,100,1.4,3.8,37.3,50.0,24.4,0.5,0.9,48.9,75.6,1.0,2.9,33.4
354,Otto Porter Jr.,TOR,29,8,8,100,1.9,3.8,50.0,60.0,43.3,1.1,1.6,69.3,56.7,0.8,2.1,35.2
355,George Hill,IND,36,41,37,100,1.7,3.7,45.8,54.9,43.8,1.0,1.6,62.6,56.2,0.7,2.1,32.4
356,Dwight Powell,DAL,31,68,64,100,2.7,3.7,72.2,72.2,98.0,2.7,3.6,73.8,2.0,0.0,0.1,0.0
357,Isaiah Roby,SAS,25,41,35,100,1.6,3.7,43.0,49.0,61.6,1.1,2.3,50.7,38.4,0.4,1.4,31.2
358,Thaddeus Young,TOR,34,54,49,100,2.0,3.7,54.5,56.1,82.8,1.9,3.0,62.2,17.2,0.1,0.6,17.5
359,Drew Eubanks,POR,26,70,67,100,2.5,3.7,68.4,68.9,97.3,2.5,3.6,69.1,2.7,0.0,0.1,40.0
360,Montrezl Harrell,PHI,29,52,47,100,2.1,3.6,59.9,59.9,98.9,2.1,3.6,60.4,1.1,0.0,0.0,0.0
361,Dyson Daniels,NOP,20,50,45,100,1.5,3.6,41.7,47.8,58.9,1.1,2.1,50.0,41.1,0.4,1.5,29.7
362,Garrison Mathews,ATL,26,50,47,100,1.3,3.6,35.0,50.3,10.0,0.2,0.4,44.4,90.0,1.1,3.2,34.0
363,Day'Ron Sharpe,BKN,21,38,32,100,1.9,3.6,52.9,55.1,92.6,1.7,3.3,52.4,7.4,0.2,0.3,61.5
364,Jordan McLaughlin,MIN,26,36,36,100,1.5,3.6,42.6,49.6,47.3,1.0,1.7,60.9,52.7,0.5,1.9,26.5
365,Aaron Holiday,ATL,26,56,50,100,1.5,3.5,42.1,50.0,61.4,0.9,2.2,43.1,38.6,0.6,1.4,40.4
366,Javonte Green,CHI,29,30,27,100,2.0,3.5,58.1,64.3,67.6,1.6,2.4,67.5,32.4,0.4,1.1,38.1
367,Blake Griffin,BOS,34,34,29,100,1.7,3.5,49.2,57.6,50.8,1.1,1.8,63.6,49.2,0.6,1.7,34.5
368,Jaxson Hayes,NOP,22,44,40,100,1.9,3.5,55.9,56.9,82.2,1.9,2.8,65.5,17.8,0.1,0.6,11.5
369,Derrick Jones Jr.,CHI,26,54,48,100,1.7,3.4,49.5,54.8,67.2,1.3,2.3,57.6,32.8,0.4,1.1,32.7
370,Moses Moody,GSW,20,56,49,100,1.5,3.4,44.3,54.4,39.6,0.8,1.4,60.3,60.4,0.7,2.1,33.8
371,Matisse Thybulle,POR,26,65,52,100,1.5,3.4,44.6,55.2,41.0,0.8,1.4,57.1,59.0,0.7,2.0,35.6
372,AJ Green,MIL,23,32,24,100,1.5,3.4,44.0,61.9,16.5,0.3,0.6,50.0,83.5,1.2,2.8,43.0
373,David Duke Jr.,BKN,23,18,16,100,1.6,3.4,45.9,46.7,86.9,1.5,2.9,51.0,13.1,0.1,0.4,13.6
374,Serge Ibaka,MIL,33,16,16,100,1.6,3.4,48.1,53.7,66.7,1.3,2.3,55.6,33.3,0.4,1.1,33.6
375,Chimezie Metu,SAC,26,59,54,100,2.0,3.4,59.6,61.9,81.8,1.9,2.8,67.3,18.2,0.1,0.6,24.6
376,Zeke Nnaji,DEN,22,46,39,100,1.9,3.4,57.8,62.0,70.8,1.6,2.4,69.6,29.2,0.3,1.0,28.6
377,Christian Braun,DEN,21,67,54,100,1.7,3.3,49.6,56.0,66.5,1.2,2.2,55.0,33.5,0.4,1.1,38.4
378,Jamal Cain,MIA,24,15,13,100,1.7,3.3,52.0,54.0,76.0,1.6,2.5,63.2,24.0,0.1,0.8,16.3
379,Davis Bertans,DAL,30,41,39,100,1.4,3.3,41.9,58.8,11.8,0.3,0.4,69.2,88.2,1.1,2.9,38.2
380,Bryce McGowens,CHA,20,37,33,100,1.2,3.3,36.6,42.3,62.6,0.8,2.1,40.4,37.4,0.4,1.2,30.6
381,Bryn Forbes,MIN,29,25,23,100,1.2,3.3,36.1,44.6,44.6,0.6,1.5,43.2,55.4,0.6,1.8,30.4
382,Buddy Boeheim,DET,23,7,5,100,0.6,3.3,17.4,26.1,4.3,0.0,0.1,0.0,95.7,0.6,3.1,18.2
383,Miles McBride,NYK,22,57,47,100,1.2,3.3,36.0,46.0,36.0,0.5,1.2,44.9,64.0,0.7,2.1,31.1
384,Matt Ryan,MIN,25,33,26,100,1.2,3.2,37.4,52.3,22.4,0.2,0.7,32.9,77.6,1.0,2.5,38.5
385,Gorgui Dieng,SAS,33,26,22,100,1.2,3.2,36.9,45.2,34.5,0.7,1.1,58.0,65.5,0.5,2.1,25.5
386,Caleb Houstan,ORL,20,43,40,100,1.2,3.2,38.4,51.4,28.3,0.4,0.9,44.0,71.7,0.8,2.3,36.5
387,Jason Preston,LAC,23,13,12,100,1.4,3.1,43.9,50.0,56.1,1.0,1.8,56.5,43.9,0.4,1.4,27.5
388,Danuel House Jr.,PHI,29,48,44,100,1.5,3.1,48.0,58.7,40.0,0.8,1.3,66.4,60.0,0.7,1.9,35.6
389,Amir Coffey,LAC,25,45,32,100,1.2,3.1,38.3,41.8,73.0,1.0,2.3,42.8,27.0,0.2,0.8,26.2
390,Jordan Hall,SAS,21,9,8,100,1.0,3.1,32.1,37.5,46.4,0.7,1.4,46.5,53.6,0.3,1.7,19.8
391,Admiral Schofield,ORL,25,31,24,100,1.5,3.1,48.4,58.9,40.0,0.8,1.2,68.3,60.0,0.7,1.8,35.3
392,Wesley Matthews,MIL,36,42,40,100,1.1,3.0,34.6,48.0,19.7,0.2,0.6,40.0,80.3,0.8,2.4,33.3
393,McKinley Wright IV,DAL,24,24,19,100,1.4,3.0,47.2,52.1,70.8,1.1,2.1,53.1,29.2,0.3,0.9,33.0
394,Darius Days,HOU,23,4,4,100,1.3,3.0,41.7,54.2,16.7,0.5,0.5,100,83.3,0.8,2.5,30.0
395,Frank Jackson,UTA,24,1,1,100,0.0,3.0,0.0,0.0,66.7,0.0,2.0,0.0,33.3,0.0,1.0,0.0
396,Bismack Biyombo,PHX,30,52,45,100,1.7,3.0,56.8,56.8,100.0,1.7,3.0,56.7,0.0,0.0,0.0,-
397,Orlando Robinson,MIA,22,29,26,100,1.6,3.0,53.5,53.5,94.2,1.6,2.8,57.0,5.8,0.0,0.2,0.0
398,Cody Zeller,MIA,30,10,10,100,1.5,2.9,51.7,51.7,96.6,1.5,2.8,53.6,3.4,0.0,0.1,0.0
399,P.J. Tucker,PHI,37,67,60,100,1.2,2.9,42.8,54.9,39.2,0.5,1.1,47.8,60.8,0.7,1.8,39.8
400,Furkan Korkmaz,PHI,25,30,23,100,1.2,2.9,41.4,48.9,57.5,0.8,1.7,46.1,42.5,0.4,1.2,35.0
401,JaVale McGee,DAL,35,37,34,100,1.8,2.9,60.7,61.2,96.3,1.7,2.8,62.2,3.7,0.0,0.1,27.3
402,Moses Brown,BKN,23,34,28,100,1.8,2.8,63.5,63.5,100.0,1.8,2.8,63.5,0.0,0.0,0.0,-
403,Jamaree Bouyea,WAS,23,5,4,100,1.2,2.8,42.9,50.0,57.1,0.8,1.6,50.0,42.9,0.4,1.2,33.3
404,Markieff Morris,DAL,33,32,30,100,1.2,2.8,41.6,53.9,39.3,0.5,1.1,43.1,60.7,0.7,1.7,40.8
405,DeAndre Jordan,DEN,34,35,33,100,2.1,2.8,77.3,77.8,99.0,2.1,2.7,77.0,1.0,0.0,0.0,100
406,Bruno Fernando,ATL,24,35,31,100,1.4,2.8,51.5,51.5,99.0,1.4,2.7,52.2,1.0,0.0,0.0,0.0
407,Ish Smith,DEN,34,37,27,100,1.2,2.8,43.1,44.1,94.1,1.1,2.6,44.0,5.9,0.1,0.2,31.3
