,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
385,Myles Turner,IND,27,3.4,4.8,69.3,1.0,1.8,56.4,0.5,0.8,63.3,0.1,0.3,30.0,0.3,0.7,44.4,1.2,3.3,35.9
386,Naji Marshall,NOP,25,1.5,2.6,57.4,0.5,1.3,38.6,0.3,0.6,51.2,0.1,0.1,50.0,0.4,1.4,30.3,0.4,1.3,34.0
387,Nassir Little,POR,23,0.9,1.5,63.0,0.1,0.3,22.2,0.1,0.3,33.3,0.2,0.3,70.6,0.3,0.9,34.0,0.8,2.2,37.5
388,Nathan Knight,MIN,25,1.0,1.4,71.4,0.0,0.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,36.4,0.1,0.3,36.4
389,Naz Reid,MIN,23,2.9,4.0,72.3,0.5,1.1,44.6,0.1,0.2,38.5,0.0,0.0,0.0,0.3,1.0,27.9,0.8,2.2,38.0
390,Neemias Queta,SAC,23,1.5,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Nerlens Noel,BKN,28,0.3,0.8,41.7,0.1,0.4,16.7,0.2,0.6,33.3,0.2,0.4,42.9,0.0,0.0,0.0,0.1,0.1,50.0
392,Nic Claxton,BKN,23,4.9,6.5,75.4,0.5,1.1,46.3,0.1,0.2,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Nick Richards,CHA,25,2.9,4.2,68.5,0.1,0.5,21.2,0.0,0.1,25.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,100
394,Nickeil Alexander-Walker,MIN,24,0.7,1.3,55.4,0.2,0.5,40.7,0.1,0.2,27.3,0.2,0.3,64.3,0.5,1.4,35.1,0.6,1.4,42.5
395,Nicolas Batum,LAC,34,0.4,0.7,64.0,0.0,0.0,100,0.0,0.1,20.0,0.0,0.1,20.0,0.8,2.1,40.1,0.8,2.0,37.7
396,Nikola Jokic,DEN,28,5.3,7.3,72.8,2.3,3.5,64.3,0.6,1.1,50.6,0.4,0.7,60.0,0.1,0.4,32.0,0.8,1.9,41.4
397,Nikola Jovic,MIA,19,1.1,1.4,75.0,0.1,0.4,20.0,0.2,0.4,40.0,0.1,0.1,100,0.3,1.2,25.0,0.4,1.8,23.8
398,Nikola Vucevic,CHI,32,2.9,4.3,68.6,1.6,2.6,60.4,0.7,1.4,46.2,0.6,1.2,49.5,0.5,1.3,35.2,1.1,3.2,33.7
399,Noah Vonleh,BOS,27,0.4,0.7,56.3,0.0,0.1,0.0,0.1,0.1,50.0,0.0,0.0,0.0,0.1,0.2,33.3,0.0,0.0,0.0
400,Norman Powell,LAC,29,2.4,3.9,61.4,0.5,1.1,41.5,0.3,0.8,41.7,0.3,0.6,44.4,1.0,2.3,44.8,1.0,2.7,36.7
401,O.G. Anunoby,TOR,25,3.0,4.8,62.3,0.5,1.3,38.2,0.3,0.7,37.0,0.4,0.8,46.2,1.2,2.9,43.2,0.9,2.7,33.7
402,Obi Toppin,NYK,25,1.3,1.9,68.3,0.1,0.3,21.7,0.0,0.1,0.0,0.0,0.0,66.7,0.8,2.2,37.2,0.4,1.3,30.2
403,Ochai Agbaji,UTA,22,0.9,1.5,55.8,0.3,0.6,56.3,0.1,0.2,33.3,0.1,0.1,50.0,0.9,2.1,43.2,0.5,1.8,29.5
404,Olivier Sarr,OKC,24,0.3,0.9,28.6,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.5,25.0
