,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
411,Patrick Beverley,CHI,34,10.0,14.5,68.6,3.7,8.7,42.9,3.1,6.7,46.1,1.0,2.7,37.6,1.0,2.6,40.0,2.0,5.3,38.7,5.1,14.7,35.0
412,Patrick Williams,CHI,21,11.3,16.6,67.9,3.1,7.7,40.6,2.6,5.9,43.9,1.1,3.1,36.4,0.9,2.9,31.8,2.0,5.8,34.2,5.7,15.6,36.5
413,Patty Mills,BKN,34,5.4,7.9,68.4,2.1,5.0,41.0,1.1,2.6,42.0,0.7,1.4,47.9,0.4,1.3,28.2,0.9,2.4,39.1,2.8,7.7,37.1
414,Paul George,LAC,32,11.4,17.2,66.3,6.2,13.7,45.0,2.7,7.3,37.5,1.3,3.2,41.3,1.1,2.9,36.6,2.4,6.1,39.1,6.7,17.9,37.4
415,Paul Reed,PHI,23,4.2,6.2,67.3,1.2,2.8,41.5,0.7,1.9,38.1,0.5,1.4,37.1,0.4,1.2,36.4,0.9,2.3,36.8,2.0,5.4,36.2
416,Payton Pritchard,BOS,25,3.8,6.1,63.0,2.6,5.8,45.7,1.7,3.8,43.9,0.4,1.1,33.3,0.2,0.8,25.0,0.5,1.5,30.0,2.2,6.2,34.8
417,Peyton Watson,DEN,20,1.9,3.1,61.2,1.1,2.1,51.9,0.5,1.1,43.8,0.3,0.7,40.0,0.6,1.6,37.5,0.5,1.3,38.5,0.5,2.1,25.7
418,Precious Achiuwa,TOR,23,7.7,11.5,66.5,3.3,7.4,45.4,1.6,3.4,45.6,1.1,2.3,48.7,0.6,1.9,29.3,1.7,4.2,40.0,3.8,9.9,38.4
419,Quentin Grimes,NYK,22,10.2,16.0,63.4,3.9,8.5,46.2,3.1,6.8,46.0,1.1,3.1,35.1,1.3,3.1,40.6,2.3,6.0,37.9,5.6,15.8,35.3
420,Quenton Jackson,WAS,24,1.5,2.3,66.7,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0
