,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Klay Thompson,GSW,33,53,53,47.9,3.6,8.9,40.6,58.7,5.3,0.4,1.0,38.8,42.6,3.2,7.9,40.8
1,Lauri Markkanen,UTA,25,59,59,40.5,2.9,6.8,42.1,62.4,1.2,0.1,0.2,50.0,39.2,2.8,6.6,41.9
2,Nikola Vucevic,CHI,32,65,64,46.3,2.6,6.5,39.4,51.8,14.0,0.9,2.0,48.2,32.3,1.6,4.5,35.6
3,Tim Hardaway Jr.,DAL,30,61,61,52.3,2.4,6.3,38.8,57.4,1.8,0.1,0.2,47.6,50.5,2.3,6.1,38.5
4,Buddy Hield,IND,30,66,65,47.2,2.6,6.3,41.7,62.4,0.5,0.0,0.1,33.3,46.8,2.6,6.2,41.9
5,Malik Beasley,LAL,26,65,65,51.4,2.2,6.2,35.9,52.7,2.2,0.1,0.3,53.8,49.2,2.1,6.0,35.1
6,Max Strus,MIA,26,65,65,59.3,2.1,6.2,34.8,51.9,0.4,0.0,0.1,60.0,58.8,2.1,6.1,34.5
7,Cameron Johnson,BKN,27,27,26,52.6,2.4,6.0,39.8,59.0,2.0,0.1,0.2,31.8,50.7,2.3,5.7,40.1
8,Michael Porter Jr.,DEN,24,49,49,45.1,2.7,5.9,46.3,66.0,4.6,0.4,0.6,69.5,40.5,2.3,5.3,43.8
9,Kelly Oubre Jr.,CHA,27,42,42,33.1,1.8,5.7,31.7,46.9,1.1,0.1,0.2,36.8,32.0,1.7,5.5,31.5
10,Keegan Murray,SAC,22,62,62,59.3,2.3,5.7,41.1,61.2,1.3,0.1,0.1,38.5,58.0,2.3,5.6,41.2
11,Devin Vassell,SAS,22,31,31,35.5,2.5,5.7,44.0,64.3,3.4,0.2,0.6,34.5,32.0,2.3,5.1,44.9
12,Kristaps Porzingis,WAS,27,56,56,36.0,2.2,5.6,39.7,56.9,4.4,0.3,0.7,44.1,31.6,1.9,4.9,39.1
13,Jerami Grant,POR,28,61,61,37.8,2.2,5.5,39.3,58.0,2.1,0.1,0.3,35.5,35.7,2.1,5.2,39.6
14,LaMelo Ball,CHA,21,36,36,27.6,2.2,5.5,40.2,60.3,0.1,0.0,0.0,0.0,27.5,2.2,5.5,40.4
15,Kyle Kuzma,WAS,27,60,59,30.1,1.9,5.5,34.6,51.2,1.3,0.1,0.2,30.4,28.8,1.8,5.2,34.9
16,Stephen Curry,GSW,34,39,39,26.9,2.2,5.4,40.5,59.8,0.9,0.1,0.2,55.6,26.0,2.1,5.2,39.9
17,Pat Connaughton,MIL,30,47,47,73.1,1.8,5.4,33.2,49.8,0.0,0.0,0.0,-,73.1,1.8,5.4,33.3
18,Trey Murphy III,NOP,22,63,63,57.6,2.1,5.4,38.8,57.5,1.9,0.1,0.2,35.3,55.7,2.0,5.2,38.9
19,Andrew Wiggins,GSW,28,36,36,37.7,2.3,5.4,43.0,63.5,1.4,0.1,0.2,57.9,36.3,2.2,5.2,42.4
20,Bogdan Bogdanovic,ATL,30,41,41,44.6,2.2,5.3,41.7,59.3,4.5,0.3,0.5,63.0,40.1,1.9,4.7,39.1
21,Karl-Anthony Towns,MIN,27,21,21,36.0,1.8,5.2,33.9,48.2,3.3,0.3,0.5,60.4,32.7,1.5,4.7,31.4
22,Keldon Johnson,SAS,23,55,55,29.6,1.8,5.2,33.8,50.4,0.4,0.0,0.1,57.1,29.2,1.7,5.1,33.6
23,Al Horford,BOS,36,52,52,66.8,2.3,5.1,44.4,65.8,3.3,0.1,0.3,32.0,63.6,2.2,4.9,45.0
24,Julius Randle,NYK,28,67,67,27.7,1.8,5.1,35.0,51.6,1.3,0.1,0.2,37.5,26.4,1.7,4.9,34.8
25,Anfernee Simons,POR,23,57,57,30.0,2.0,5.0,39.7,59.4,0.2,0.0,0.0,50.0,29.7,2.0,5.0,39.6
26,Gary Trent Jr.,TOR,24,58,57,34.2,2.0,5.0,39.4,58.8,0.9,0.0,0.1,21.4,33.2,1.9,4.8,39.9
27,P.J. Washington,CHA,24,62,62,38.8,1.7,5.0,34.3,51.0,1.4,0.1,0.2,27.8,37.4,1.7,4.8,34.5
28,Dorian Finney-Smith,BKN,29,51,51,64.5,1.7,5.0,33.9,50.6,0.5,0.0,0.0,50.0,64.0,1.7,4.9,33.8
29,Jaylen Brown,BOS,26,55,55,24.4,1.6,5.0,33.3,48.4,2.2,0.2,0.5,35.6,22.2,1.5,4.5,33.0
30,Brook Lopez,MIL,34,64,64,44.3,1.9,5.0,39.1,56.3,5.3,0.2,0.6,39.0,39.0,1.7,4.4,39.0
31,Reggie Bullock,DAL,31,64,63,81.7,1.9,4.9,38.1,57.2,1.0,0.0,0.1,0.0,80.6,1.9,4.8,38.7
32,RJ Barrett,NYK,22,60,59,30.1,1.7,4.9,34.5,51.0,1.2,0.1,0.2,35.0,28.9,1.6,4.7,34.6
33,Mikal Bridges,BKN,26,66,64,33.6,1.9,4.8,39.2,56.7,4.7,0.2,0.7,29.9,28.9,1.7,4.1,40.8
34,Jayson Tatum,BOS,25,62,62,22.1,2.0,4.7,41.5,60.0,2.2,0.2,0.5,44.7,19.9,1.8,4.3,41.2
35,Kevin Huerter,SAC,24,61,61,41.2,1.8,4.7,39.0,57.1,1.7,0.1,0.2,65.0,39.5,1.7,4.5,37.7
36,Georges Niang,PHI,29,62,62,71.5,2.0,4.7,42.3,63.1,0.7,0.0,0.1,60.0,70.8,1.9,4.7,41.9
37,Royce O'Neale,BKN,29,62,62,59.5,1.8,4.7,39.4,59.2,0.2,0.0,0.0,0.0,59.3,1.8,4.7,39.6
38,O.G. Anunoby,TOR,25,53,52,34.9,1.8,4.6,38.8,57.8,0.3,0.0,0.0,100,34.6,1.8,4.6,38.2
39,Quentin Grimes,NYK,22,56,56,59.0,1.7,4.6,37.2,55.4,0.7,0.0,0.1,80.0,58.4,1.7,4.5,36.9
40,CJ McCollum,NOP,31,59,59,24.8,1.7,4.5,37.2,55.3,1.8,0.1,0.3,15.6,23.1,1.6,4.2,38.9
41,Luguentz Dort,OKC,23,59,59,37.9,1.5,4.5,34.3,51.5,0.3,0.0,0.0,0.0,37.6,1.5,4.5,34.5
42,Fred VanVleet,TOR,29,55,55,27.6,1.6,4.4,35.2,52.5,0.8,0.0,0.1,30.8,26.8,1.5,4.3,35.5
43,Jordan Poole,GSW,23,65,64,27.5,1.5,4.4,34.4,51.0,1.0,0.1,0.2,29.4,26.4,1.5,4.3,34.7
44,Jabari Smith Jr.,HOU,19,62,62,41.1,1.3,4.4,29.9,43.6,2.3,0.1,0.2,45.8,38.9,1.2,4.2,28.9
45,Corey Kispert,WAS,24,58,58,64.5,1.9,4.4,43.7,65.0,1.5,0.1,0.1,50.0,62.9,1.9,4.3,43.5
46,Myles Turner,IND,26,56,55,36.9,1.7,4.4,39.6,55.9,5.4,0.3,0.6,46.9,31.5,1.4,3.7,38.3
47,Marcus Smart,BOS,29,50,47,45.1,1.5,4.4,34.7,51.8,0.4,0.0,0.0,50.0,44.7,1.5,4.3,34.6
48,Donte DiVincenzo,GSW,26,55,53,60.2,1.9,4.3,44.4,66.3,0.5,0.0,0.0,50.0,59.7,1.9,4.3,44.3
49,De'Andre Hunter,ATL,25,56,55,35.6,1.6,4.3,37.2,52.1,5.4,0.3,0.7,48.5,30.1,1.3,3.7,35.2
50,Josh Richardson,NOP,29,48,47,45.8,1.6,4.3,37.1,54.1,2.2,0.1,0.2,61.9,43.5,1.5,4.1,36.0
51,Tobias Harris,PHI,30,60,57,36.2,1.6,4.3,37.1,54.9,1.8,0.1,0.2,31.8,34.3,1.5,4.0,37.5
52,Bojan Bogdanovic,DET,33,58,55,28.8,2.0,4.3,47.4,69.0,1.4,0.2,0.2,81.0,27.4,1.8,4.0,45.4
53,Paul George,LAC,32,51,49,24.2,1.7,4.3,40.1,57.4,2.9,0.2,0.5,47.1,21.3,1.5,3.8,39.2
