player_name,first_name,last_name,first_initial_last_name
Josh Powell,Josh,Powell,J. Powell
Melvin Ely,Melvin,Ely,M. Ely
Scotty Hopson,Scotty,Hopson,S. Hopson
Nik Stauskas,Nik,Stauskas,N. Stauskas
Nerlens Noel,Nerlens,Noel,N. Noel
Jabari Parker,Jabari,Parker,J. Parker
JaKarr Sampson,JaKarr,Sampson,J. Sampson
KJ McDaniels,KJ,McDaniels,K. McDaniels
Nikola Mirotic,Nikola,Mirotic,N. Mirotic
Joe Harris,Joe,Harris,J. Harris
Doug McDermott,Doug,McDermott,D. McDermott
Damjan Rudez,Damjan,Rudez,D. Rudez
Jordan Clarkson,Jordan,Clarkson,J. Clarkson
Joe Ingles,Joe,Ingles,J. Ingles
Zach LaVine,Zach,LaVine,Z. LaVine
Andrew Wiggins,Andrew,Wiggins,A. Wiggins
Rodney Hood,Rodney,Hood,R. Hood
Dante Exum,Dante,Exum,D. Exum
Elfrid Payton,Elfrid,Payton,E. Payton
Aaron Gordon,Aaron,Gordon,A. Gordon
Devyn Marble,Devyn,Marble,D. Marble
Travis Wear,Travis,Wear,T. Wear
Tarik Black,Tarik,Black,T. Black
Kostas Papanikolaou,Kostas,Papanikolaou,K. Papanikolaou
Cameron Bairstow,Cameron,Bairstow,C. Bairstow
Cleanthony Early,Cleanthony,Early,C. Early
Jerome Jordan,Jerome,Jordan,J. Jordan
Marcus Smart,Marcus,Smart,M. Smart
Bojan Bogdanovic,Bojan,Bogdanovic,B. Bogdanovic
Jusuf Nurkic,Jusuf,Nurkic,J. Nurkic
Tyler Ennis,Tyler,Ennis,T. Ennis
James Ennis III,James,III,J. III
Shabazz Napier,Shabazz,Napier,S. Napier
Spencer Dinwiddie,Spencer,Dinwiddie,S. Dinwiddie
Cory Jefferson,Cory,Jefferson,C. Jefferson
Julius Randle,Julius,Randle,J. Randle
Dwight Powell,Dwight,Powell,D. Powell
Kyle Anderson,Kyle,Anderson,K. Anderson
James Young,James,Young,J. Young
Eric Moreland,Eric,Moreland,E. Moreland
Jarnell Stokes,Jarnell,Stokes,J. Stokes
Joey Dorsey,Joey,Dorsey,J. Dorsey
Jerami Grant,Jerami,Grant,J. Grant
Shayne Whittington,Shayne,Whittington,S. Whittington
Alex Kirk,Alex,Kirk,A. Kirk
PJ Hairston,PJ,Hairston,P. Hairston
Noah Vonleh,Noah,Vonleh,N. Vonleh
Will Cherry,Will,Cherry,W. Cherry
Nick Johnson,Nick,Johnson,N. Johnson
Gary Harris,Gary,Harris,G. Harris
Russ Smith,Russ,Smith,R. Smith
T.J. Warren,T.J.,Warren,T. Warren
Erick Green,Erick,Green,E. Green
Grant Jerrett,Grant,Jerrett,G. Jerrett
Drew Gordon,Drew,Gordon,D. Gordon
Glenn Robinson III,Glenn,III,G. III
Markel Brown,Markel,Brown,M. Brown
Jordan Adams,Jordan,Adams,J. Adams
Bruno Caboclo,Bruno,Caboclo,B. Caboclo
Lucas Nogueira,Lucas,Nogueira,L. Nogueira
Kalin Lucas,Kalin,Lucas,K. Lucas
Andre Dawkins,Andre,Dawkins,A. Dawkins
Zoran Dragic,Zoran,Dragic,Z. Dragic
Clint Capela,Clint,Capela,C. Capela
Johnny O'Bryant III,Johnny,III,J. III
Hassan Whiteside,Hassan,Whiteside,H. Whiteside
Patrick Christopher,Patrick,Christopher,P. Christopher
Furkan Aldemir,Furkan,Aldemir,F. Aldemir
Adreian Payne,Adreian,Payne,A. Payne
Mitch McGary,Mitch,McGary,M. McGary
C.J. Wilcox,C.J.,Wilcox,C. Wilcox
Larry Drew II,Larry,II,L. II
Tyler Johnson,Tyler,Johnson,T. Johnson
Elijah Millsap,Elijah,Millsap,E. Millsap
Langston Galloway,Langston,Galloway,L. Galloway
James Michael McAdoo,James,McAdoo,J. McAdoo
JaMychal Green,JaMychal,Green,J. Green
Henry Walker,Henry,Walker,H. Walker
Jack Cooley,Jack,Cooley,J. Cooley
Bryce Cotton,Bryce,Cotton,B. Cotton
Joffrey Lauvergne,Joffrey,Lauvergne,J. Lauvergne
Tim Frazier,Tim,Frazier,T. Frazier
David Stockton,David,Stockton,D. Stockton
David Wear,David,Wear,D. Wear
Jabari Brown,Jabari,Brown,J. Brown
Lester Hudson,Lester,Hudson,L. Hudson
Sean Kilpatrick,Sean,Kilpatrick,S. Kilpatrick
Jerrelle Benimon,Jerrelle,Benimon,J. Benimon
Jerel McNeal,Jerel,McNeal,J. McNeal
Sim Bhullar,Sim,Bhullar,S. Bhullar
Willie Cauley-Stein,Willie,Cauley-Stein,W. Cauley-Stein
Joe Young,Joe,Young,J. Young
Myles Turner,Myles,Turner,M. Turner
Sonny Weems,Sonny,Weems,S. Weems
Kristaps Porzingis,Kristaps,Porzingis,K. Porzingis
Jerian Grant,Jerian,Grant,J. Grant
Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,R. Hollis-Jefferson
Raul Neto,Raul,Neto,R. Neto
Trey Lyles,Trey,Lyles,T. Lyles
Boban Marjanovic,Boban,Marjanovic,B. Marjanovic
Mario Hezonja,Mario,Hezonja,M. Hezonja
Nikola Jokic,Nikola,Jokic,N. Jokic
Emmanuel Mudiay,Emmanuel,Mudiay,E. Mudiay
Tibor Pleiss,Tibor,Pleiss,T. Pleiss
Christian Wood,Christian,Wood,C. Wood
Richaun Holmes,Richaun,Holmes,R. Holmes
T.J. McConnell,T.J.,McConnell,T. McConnell
Jahlil Okafor,Jahlil,Okafor,J. Okafor
Sam Dekker,Sam,Dekker,S. Dekker
Montrezl Harrell,Montrezl,Harrell,M. Harrell
Nemanja Bjelica,Nemanja,Bjelica,N. Bjelica
Karl-Anthony Towns,Karl-Anthony,Towns,K. Towns
Lamar Patterson,Lamar,Patterson,L. Patterson
D'Angelo Russell,D'Angelo,Russell,D. Russell
Anthony Brown,Anthony,Brown,A. Brown
Stanley Johnson,Stanley,Johnson,S. Johnson
Frank Kaminsky,Frank,Kaminsky,F. Kaminsky
Kelly Oubre Jr.,Kelly,Jr.,K. Jr.
Damien Inglis,Damien,Inglis,D. Inglis
Marcelo Huertas,Marcelo,Huertas,M. Huertas
Sasha Kaun,Sasha,Kaun,S. Kaun
Justise Winslow,Justise,Winslow,J. Winslow
Devin Booker,Devin,Booker,D. Booker
Luis Montero,Luis,Montero,L. Montero
Pat Connaughton,Pat,Connaughton,P. Connaughton
Edy Tavares,Edy,Tavares,E. Tavares
Salah Mejri,Salah,Mejri,S. Mejri
Justin Anderson,Justin,Anderson,J. Anderson
Jordan Mickey,Jordan,Mickey,J. Mickey
Terry Rozier,Terry,Rozier,T. Rozier
Rashad Vaughn,Rashad,Vaughn,R. Vaughn
Cliff Alexander,Cliff,Alexander,C. Alexander
Larry Nance Jr.,Larry,Jr.,L. Jr.
RJ Hunter,RJ,Hunter,R. Hunter
Jonathon Simmons,Jonathon,Simmons,J. Simmons
Josh Richardson,Josh,Richardson,J. Richardson
Bobby Portis,Bobby,Portis,B. Portis
Cristiano Felicio,Cristiano,Felicio,C. Felicio
Darrun Hilliard,Darrun,Hilliard,D. Hilliard
Cameron Payne,Cameron,Payne,C. Payne
Aaron Harrison,Aaron,Harrison,A. Harrison
Norman Powell,Norman,Powell,N. Powell
Delon Wright,Delon,Wright,D. Wright
Tyus Jones,Tyus,Jones,T. Jones
Jarell Eddie,Jarell,Eddie,J. Eddie
Willie Reed,Willie,Reed,W. Reed
Branden Dawson,Branden,Dawson,B. Dawson
Jarell Martin,Jarell,Martin,J. Martin
Thanasis Antetokounmpo,Thanasis,Antetokounmpo,T. Antetokounmpo
Jordan McRae,Jordan,McRae,J. McRae
Bryce Dejean-Jones,Bryce,Dejean-Jones,B. Dejean-Jones
Keith Appling,Keith,Appling,K. Appling
Kevon Looney,Kevon,Looney,K. Looney
JJ O'Brien,JJ,O'Brien,J. O'Brien
Chris McCullough,Chris,McCullough,C. McCullough
Justin Harper,Justin,Harper,J. Harper
Alex Stepheson,Alex,Stepheson,A. Stepheson
Axel Toupane,Axel,Toupane,A. Toupane
Xavier Munford,Xavier,Munford,X. Munford
Josh Huestis,Josh,Huestis,J. Huestis
Alan Williams,Alan,Williams,A. Williams
Briante Weber,Briante,Weber,B. Weber
Coty Clarke,Coty,Clarke,C. Clarke
Rakeem Christmas,Rakeem,Christmas,R. Christmas
Duje Dukan,Duje,Dukan,D. Dukan
Dragan Bender,Dragan,Bender,D. Bender
Diamond Stone,Diamond,Stone,D. Stone
Tyler Ulis,Tyler,Ulis,T. Ulis
Paul Zipser,Paul,Zipser,P. Zipser
Isaiah Whitehead,Isaiah,Whitehead,I. Whitehead
Denzel Valentine,Denzel,Valentine,D. Valentine
Malcolm Delaney,Malcolm,Delaney,M. Delaney
Marquese Chriss,Marquese,Chriss,M. Chriss
Jakob Poeltl,Jakob,Poeltl,J. Poeltl
Jamal Murray,Jamal,Murray,J. Murray
Pascal Siakam,Pascal,Siakam,P. Siakam
Andrew Harrison,Andrew,Harrison,A. Harrison
Troy Williams,Troy,Williams,T. Williams
Deyonta Davis,Deyonta,Davis,D. Davis
Tomas Satoransky,Tomas,Satoransky,T. Satoransky
Sheldon Mac,Sheldon,Mac,S. Mac
Wade Baldwin IV,Wade,IV,W. IV
Joel Bolomboy,Joel,Bolomboy,J. Bolomboy
Davis Bertans,Davis,Bertans,D. Bertans
Nicolas Laprovittola,Nicolas,Laprovittola,N. Laprovittola
Rodney McGruder,Rodney,McGruder,R. McGruder
Malcolm Brogdon,Malcolm,Brogdon,M. Brogdon
Alex Abrines,Alex,Abrines,A. Abrines
Domantas Sabonis,Domantas,Sabonis,D. Sabonis
Thon Maker,Thon,Maker,T. Maker
Brandon Ingram,Brandon,Ingram,B. Ingram
Semaj Christon,Semaj,Christon,S. Christon
Willy Hernangomez,Willy,Hernangomez,W. Hernangomez
Timothe Luwawu-Cabarrot,Timothe,Luwawu-Cabarrot,T. Luwawu-Cabarrot
Dario Saric,Dario,Saric,D. Saric
DeAndre' Bembry,DeAndre',Bembry,D. Bembry
Taurean Prince,Taurean,Prince,T. Prince
Sergio Rodriguez,Sergio,Rodriguez,S. Rodriguez
Joel Embiid,Joel,Embiid,J. Embiid
Bryn Forbes,Bryn,Forbes,B. Forbes
Buddy Hield,Buddy,Hield,B. Hield
Dejounte Murray,Dejounte,Murray,D. Murray
Cheick Diallo,Cheick,Diallo,C. Diallo
Georges Niang,Georges,Niang,G. Niang
Kris Dunn,Kris,Dunn,K. Dunn
Kay Felder,Kay,Felder,K. Felder
Jaylen Brown,Jaylen,Brown,J. Brown
Patrick McCaw,Patrick,McCaw,P. McCaw
Henry Ellenson,Henry,Ellenson,H. Ellenson
Stephen Zimmerman,Stephen,Zimmerman,S. Zimmerman
Michael Gbinije,Michael,Gbinije,M. Gbinije
Kyle Wiltjer,Kyle,Wiltjer,K. Wiltjer
AJ Hammons,AJ,Hammons,A. Hammons
Dorian Finney-Smith,Dorian,Finney-Smith,D. Finney-Smith
Nicolas Brussino,Nicolas,Brussino,N. Brussino
Bobby Brown,Bobby,Brown,B. Brown
Daniel Ochefu,Daniel,Ochefu,D. Ochefu
Juancho Hernangomez,Juancho,Hernangomez,J. Hernangomez
Malachi Richardson,Malachi,Richardson,M. Richardson
Ron Baker,Ron,Baker,R. Baker
Mindaugas Kuzminskas,Mindaugas,Kuzminskas,M. Kuzminskas
Jake Layman,Jake,Layman,J. Layman
Marshall Plumlee,Marshall,Plumlee,M. Plumlee
Tim Quarterman,Tim,Quarterman,T. Quarterman
Maurice Ndour,Maurice,Ndour,M. Ndour
Jonathan Gibson,Jonathan,Gibson,J. Gibson
Fred VanVleet,Fred,VanVleet,F. VanVleet
Treveon Graham,Treveon,Graham,T. Graham
Yogi Ferrell,Yogi,Ferrell,Y. Ferrell
Malik Beasley,Malik,Beasley,M. Beasley
Derrick Jones Jr.,Derrick,Jr.,D. Jr.
Demetrius Jackson,Demetrius,Jackson,D. Jackson
Ivica Zubac,Ivica,Zubac,I. Zubac
Danuel House Jr.,Danuel,Jr.,D. Jr.
Georgios Papagiannis,Georgios,Papagiannis,G. Papagiannis
Skal Labissiere,Skal,Labissiere,S. Labissiere
Caris LeVert,Caris,LeVert,C. LeVert
Pierre Jackson,Pierre,Jackson,P. Jackson
Chinanu Onuaku,Chinanu,Onuaku,C. Onuaku
Damian Jones,Damian,Jones,D. Jones
Okaro White,Okaro,White,O. White
Chasson Randle,Chasson,Randle,C. Randle
David Nwaba,David,Nwaba,D. Nwaba
Quinn Cook,Quinn,Cook,Q. Cook
Brice Johnson,Brice,Johnson,B. Johnson
Mike Tobey,Mike,Tobey,M. Tobey
Wayne Selden,Wayne,Selden,W. Selden
Shawn Long,Shawn,Long,S. Long
Jarrod Uthoff,Jarrod,Uthoff,J. Uthoff
Ben Bentil,Ben,Bentil,B. Bentil
Gary Payton II,Gary,II,G. II
Patricio Garino,Patricio,Garino,P. Garino
Marcus Georges-Hunt,Marcus,Georges-Hunt,M. Georges-Hunt
Isaiah Taylor,Isaiah,Taylor,I. Taylor
Alex Poythress,Alex,Poythress,A. Poythress
T.J. Leaf,T.J.,Leaf,T. Leaf
Josh Jackson,Josh,Jackson,J. Jackson
Terrance Ferguson,Terrance,Ferguson,T. Ferguson
Dakari Johnson,Dakari,Johnson,D. Johnson
De'Aaron Fox,De'Aaron,Fox,D. Fox
Ike Anigbogu,Ike,Anigbogu,I. Anigbogu
Frank Mason III,Frank,III,F. III
Bogdan Bogdanovic,Bogdan,Bogdanovic,B. Bogdanovic
Justin Jackson,Justin,Jackson,J. Jackson
Lonzo Ball,Lonzo,Ball,L. Ball
Josh Hart,Josh,Hart,J. Hart
Sterling Brown,Sterling,Brown,S. Brown
D.J. Wilson,D.J.,Wilson,D. Wilson
Kyle Kuzma,Kyle,Kuzma,K. Kuzma
Bam Adebayo,Bam,Adebayo,B. Adebayo
Ben Simmons,Ben,Simmons,B. Simmons
Khem Birch,Khem,Birch,K. Birch
O.G. Anunoby,O.G.,Anunoby,O. Anunoby
Alfonzo McKinnie,Alfonzo,McKinnie,A. McKinnie
Caleb Swanigan,Caleb,Swanigan,C. Swanigan
Jonathan Isaac,Jonathan,Isaac,J. Isaac
Royce O'Neale,Royce,O'Neale,R. O'Neale
Donovan Mitchell,Donovan,Mitchell,D. Mitchell
Dennis Smith Jr.,Dennis,Jr.,D. Jr.
Maxi Kleber,Maxi,Kleber,M. Kleber
Gian Clavell,Gian,Clavell,G. Clavell
Dillon Brooks,Dillon,Brooks,D. Brooks
Jawun Evans,Jawun,Evans,J. Evans
Sindarius Thornwell,Sindarius,Thornwell,S. Thornwell
Jordan Bell,Jordan,Bell,J. Bell
Damyean Dotson,Damyean,Dotson,D. Dotson
Brandon Paul,Brandon,Paul,B. Paul
Daniel Theis,Daniel,Theis,D. Theis
Semi Ojeleye,Semi,Ojeleye,S. Ojeleye
Abdel Nader,Abdel,Nader,A. Nader
Jayson Tatum,Jayson,Tatum,J. Tatum
Derrick White,Derrick,White,D. White
Guerschon Yabusele,Guerschon,Yabusele,G. Yabusele
Malik Monk,Malik,Monk,M. Monk
Dwayne Bacon,Dwayne,Bacon,D. Bacon
Frank Ntilikina,Frank,Ntilikina,F. Ntilikina
Cedi Osman,Cedi,Osman,C. Osman
John Collins,John,Collins,J. Collins
Josh Magette,Josh,Magette,J. Magette
Jacob Wiley,Jacob,Wiley,J. Wiley
Jarrett Allen,Jarrett,Allen,J. Allen
Lauri Markkanen,Lauri,Markkanen,L. Markkanen
Ivan Rabb,Ivan,Rabb,I. Rabb
Zhou Qi,Zhou,Qi,Z. Qi
Jalen Jones,Jalen,Jones,J. Jones
Charles Cooke,Charles,Cooke,C. Cooke
Ante Zizic,Ante,Zizic,A. Zizic
Zach Collins,Zach,Collins,Z. Collins
Wes Iwundu,Wes,Iwundu,W. Iwundu
Luke Kennard,Luke,Kennard,L. Kennard
Mangok Mathiang,Mangok,Mathiang,M. Mathiang
Marcus Paige,Marcus,Paige,M. Paige
Jabari Bird,Jabari,Bird,J. Bird
Tyler Dorsey,Tyler,Dorsey,T. Dorsey
Markelle Fultz,Markelle,Fultz,M. Fultz
Milos Teodosic,Milos,Teodosic,M. Teodosic
Alec Peters,Alec,Peters,A. Peters
Alex Caruso,Alex,Caruso,A. Caruso
Antonio Blakeney,Antonio,Blakeney,A. Blakeney
Ryan Arcidiacono,Ryan,Arcidiacono,R. Arcidiacono
Tyler Cavanaugh,Tyler,Cavanaugh,T. Cavanaugh
Jamil Wilson,Jamil,Wilson,J. Wilson
C.J. Williams,C.J.,Williams,C. Williams
Tony Bradley,Tony,Bradley,T. Bradley
Kobi Simmons,Kobi,Simmons,K. Simmons
Derrick Walton Jr.,Derrick,Jr.,D. Jr.
Torrey Craig,Torrey,Craig,T. Craig
John Holland,John,Holland,J. Holland
Antonius Cleveland,Antonius,Cleveland,A. Cleveland
Furkan Korkmaz,Furkan,Korkmaz,F. Korkmaz
Jacob Pullen,Jacob,Pullen,J. Pullen
Tyler Lydon,Tyler,Lydon,T. Lydon
Daniel Hamilton,Daniel,Hamilton,D. Hamilton
Matt Costello,Matt,Costello,M. Costello
Matt Williams Jr.,Matt,Jr.,M. Jr.
Thomas Bryant,Thomas,Bryant,T. Bryant
Milton Doyle,Milton,Doyle,M. Doyle
Naz Mitrou-Long,Naz,Mitrou-Long,N. Mitrou-Long
Kyle Collinsworth,Kyle,Collinsworth,K. Collinsworth
Malcolm Miller,Malcolm,Miller,M. Miller
Kadeem Allen,Kadeem,Allen,K. Allen
Jamel Artis,Jamel,Artis,J. Artis
Vincent Hunter,Vincent,Hunter,V. Hunter
Johnathan Motley,Johnathan,Motley,J. Motley
Monte Morris,Monte,Morris,M. Morris
London Perrantes,London,Perrantes,L. Perrantes
James Webb III,James,III,J. III
Myke Henry,Myke,Henry,M. Henry
Tyrone Wallace,Tyrone,Wallace,T. Wallace
Davon Reed,Davon,Reed,D. Reed
Nigel Hayes,Nigel,Hayes,N. Hayes
Ben Moore,Ben,Moore,B. Moore
Jaylen Morris,Jaylen,Morris,J. Morris
Shaquille Harrison,Shaquille,Harrison,S. Harrison
Walt Lemon Jr.,Walt,Jr.,W. Jr.
Andrew White III,Andrew,III,A. III
Isaiah Hicks,Isaiah,Hicks,I. Hicks
Trey McKinney-Jones,Trey,McKinney-Jones,T. McKinney-Jones
Luke Kornet,Luke,Kornet,L. Kornet
Josh Gray,Josh,Gray,J. Gray
PJ Dozier,PJ,Dozier,P. Dozier
Erik McCree,Erik,McCree,E. McCree
Reggie Hearn,Reggie,Hearn,R. Hearn
Xavier Silas,Xavier,Silas,X. Silas
Damion Lee,Damion,Lee,D. Lee
Rodney Purvis,Rodney,Purvis,R. Purvis
Jameel Warney,Jameel,Warney,J. Warney
Chris Boucher,Chris,Boucher,C. Boucher
Xavier Rathan-Mayes,Xavier,Rathan-Mayes,X. Rathan-Mayes
Andre Ingram,Andre,Ingram,A. Ingram
Devin Robinson,Devin,Robinson,D. Robinson
Aaron Jackson,Aaron,Jackson,A. Jackson
Omari Johnson,Omari,Johnson,O. Johnson
Edmond Sumner,Edmond,Sumner,E. Sumner
Justin Patton,Justin,Patton,J. Patton
Jalen Brunson,Jalen,Brunson,J. Brunson
Josh Okogie,Josh,Okogie,J. Okogie
Johnathan Williams,Johnathan,Williams,J. Williams
Luka Doncic,Luka,Doncic,L. Doncic
Bruce Brown,Bruce,Brown,B. Brown
Frank Jackson,Frank,Jackson,F. Jackson
Jacob Evans,Jacob,Evans,J. Evans
Chandler Hutchison,Chandler,Hutchison,C. Hutchison
Wendell Carter Jr.,Wendell,Jr.,W. Jr.
Mitchell Robinson,Mitchell,Robinson,M. Robinson
De'Anthony Melton,De'Anthony,Melton,D. Melton
Chimezie Metu,Chimezie,Metu,C. Metu
Elie Okobo,Elie,Okobo,E. Okobo
Deandre Ayton,Deandre,Ayton,D. Ayton
Mikal Bridges,Mikal,Bridges,M. Bridges
Allonzo Trier,Allonzo,Trier,A. Trier
Grayson Allen,Grayson,Allen,G. Allen
Gary Clark,Gary,Clark,G. Clark
Jaren Jackson Jr.,Jaren,Jr.,J. Jr.
Trae Young,Trae,Young,T. Young
Kevin Huerter,Kevin,Huerter,K. Huerter
Robert Williams III,Robert,III,R. III
Anfernee Simons,Anfernee,Simons,A. Simons
Isaiah Hartenstein,Isaiah,Hartenstein,I. Hartenstein
Jaylen Adams,Jaylen,Adams,J. Adams
Omari Spellman,Omari,Spellman,O. Spellman
Collin Sexton,Collin,Sexton,C. Sexton
Marvin Bagley III,Marvin,III,M. III
Jonah Bolden,Jonah,Bolden,J. Bolden
Landry Shamet,Landry,Shamet,L. Shamet
Mo Bamba,Mo,Bamba,M. Bamba
Miles Bridges,Miles,Bridges,M. Bridges
Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,S. Gilgeous-Alexander
Hamidou Diallo,Hamidou,Diallo,H. Diallo
Jerome Robinson,Jerome,Robinson,J. Robinson
Jordan Loyd,Jordan,Loyd,J. Loyd
Dzanan Musa,Dzanan,Musa,D. Musa
Donte DiVincenzo,Donte,DiVincenzo,D. DiVincenzo
Ryan Broekhoff,Ryan,Broekhoff,R. Broekhoff
Troy Brown Jr.,Troy,Jr.,T. Jr.
Deonte Burton,Deonte,Burton,D. Burton
Svi Mykhailiuk,Svi,Mykhailiuk,S. Mykhailiuk
Yuta Watanabe,Yuta,Watanabe,Y. Watanabe
Brad Wanamaker,Brad,Wanamaker,B. Wanamaker
Alize Johnson,Alize,Johnson,A. Johnson
Devonte' Graham,Devonte',Graham,D. Graham
Aaron Holiday,Aaron,Holiday,A. Holiday
Isaiah Briscoe,Isaiah,Briscoe,I. Briscoe
Kenrich Williams,Kenrich,Williams,K. Williams
Keita Bates-Diop,Keita,Bates-Diop,K. Bates-Diop
Harry Giles III,Harry,III,H. III
Daryl Macon,Daryl,Macon,D. Macon
Theo Pinson,Theo,Pinson,T. Pinson
Duncan Robinson,Duncan,Robinson,D. Robinson
Drew Eubanks,Drew,Eubanks,D. Eubanks
DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,D. Akoon-Purcell
Thomas Welsh,Thomas,Welsh,T. Welsh
Kevin Knox II,Kevin,II,K. II
Rodions Kurucs,Rodions,Kurucs,R. Kurucs
Zach Lofton,Zach,Lofton,Z. Lofton
Ray Spalding,Ray,Spalding,R. Spalding
Khyri Thomas,Khyri,Thomas,K. Thomas
Moritz Wagner,Moritz,Wagner,M. Wagner
Shake Milton,Shake,Milton,S. Milton
Tyler Davis,Tyler,Davis,T. Davis
Marcus Derrickson,Marcus,Derrickson,M. Derrickson
Gary Trent Jr.,Gary,Jr.,G. Jr.
Vincent Edwards,Vincent,Edwards,V. Edwards
Melvin Frazier Jr.,Melvin,Jr.,M. Jr.
Jared Terrell,Jared,Terrell,J. Terrell
Jevon Carter,Jevon,Carter,J. Carter
Troy Caupain,Troy,Caupain,T. Caupain
Amile Jefferson,Amile,Jefferson,A. Jefferson
Jaron Blossomgame,Jaron,Blossomgame,J. Blossomgame
Brandon Goodwin,Brandon,Goodwin,B. Goodwin
Rawle Alkins,Rawle,Alkins,R. Alkins
Isaac Bonga,Isaac,Bonga,I. Bonga
George King,George,King,G. King
Joe Chealey,Joe,Chealey,J. Chealey
Julian Washburn,Julian,Washburn,J. Washburn
Brandon Sampson,Brandon,Sampson,B. Sampson
Lonnie Walker IV,Lonnie,IV,L. IV
Deng Adel,Deng,Adel,D. Adel
Emanuel Terry,Emanuel,Terry,E. Terry
Mitchell Creek,Mitchell,Creek,M. Creek
Haywood Highsmith,Haywood,Highsmith,H. Highsmith
Jarred Vanderbilt,Jarred,Vanderbilt,J. Vanderbilt
J.P. Macura,J.P.,Macura,J. Macura
Jordan Sibert,Jordan,Sibert,J. Sibert
Tahjere McCall,Tahjere,McCall,T. McCall
Bonzie Colson,Bonzie,Colson,B. Colson
Trevon Duval,Trevon,Duval,T. Duval
Angel Delgado,Angel,Delgado,A. Delgado
Donte Grantham,Donte,Grantham,D. Grantham
Jemerrio Jones,Jemerrio,Jones,J. Jones
Dairis Bertans,Dairis,Bertans,D. Bertans
Dusty Hannahs,Dusty,Hannahs,D. Hannahs
Cam Reynolds,Cam,Reynolds,C. Reynolds
Chris Chiozza,Chris,Chiozza,C. Chiozza
Zhaire Smith,Zhaire,Smith,Z. Smith
Kostas Antetokounmpo,Kostas,Antetokounmpo,K. Antetokounmpo
BJ Johnson,BJ,Johnson,B. Johnson
Isaac Humphries,Isaac,Humphries,I. Humphries
Billy Garrett,Billy,Garrett,B. Garrett
Yante Maten,Yante,Maten,Y. Maten
Chris Silva,Chris,Silva,C. Silva
Tyler Herro,Tyler,Herro,T. Herro
Cam Reddish,Cam,Reddish,C. Reddish
De'Andre Hunter,De'Andre,Hunter,D. Hunter
Bruno Fernando,Bruno,Fernando,B. Fernando
Michael Porter Jr.,Michael,Jr.,M. Jr.
Jaxson Hayes,Jaxson,Hayes,J. Hayes
Vlatko Cancar,Vlatko,Cancar,V. Cancar
Nickeil Alexander-Walker,Nickeil,Alexander-Walker,N. Alexander-Walker
Nicolo Melli,Nicolo,Melli,N. Melli
Kendrick Nunn,Kendrick,Nunn,K. Nunn
Wenyen Gabriel,Wenyen,Gabriel,W. Gabriel
Cody Martin,Cody,Martin,C. Martin
Cameron Johnson,Cameron,Johnson,C. Johnson
Eric Paschall,Eric,Paschall,E. Paschall
P.J. Washington,P.J.,Washington,P. Washington
Mfiondu Kabengele,Mfiondu,Kabengele,M. Kabengele
Nigel Williams-Goss,Nigel,Williams-Goss,N. Williams-Goss
Stanton Kidd,Stanton,Kidd,S. Kidd
Goga Bitadze,Goga,Bitadze,G. Bitadze
Rui Hachimura,Rui,Hachimura,R. Hachimura
Kevin Porter Jr.,Kevin,Jr.,K. Jr.
Darius Garland,Darius,Garland,D. Garland
Coby White,Coby,White,C. White
Matisse Thybulle,Matisse,Thybulle,M. Thybulle
Jarrett Culver,Jarrett,Culver,J. Culver
RJ Barrett,RJ,Barrett,R. Barrett
Javonte Green,Javonte,Green,J. Green
Carsen Edwards,Carsen,Edwards,C. Edwards
Romeo Langford,Romeo,Langford,R. Langford
Grant Williams,Grant,Williams,G. Williams
Ky Bowman,Ky,Bowman,K. Bowman
Jordan Poole,Jordan,Poole,J. Poole
Terance Mann,Terance,Mann,T. Mann
Darius Bazley,Darius,Bazley,D. Bazley
Terence Davis,Terence,Davis,T. Davis
Matt Thomas,Matt,Thomas,M. Thomas
Brandon Clarke,Brandon,Clarke,B. Clarke
Ja Morant,Ja,Morant,J. Morant
Marko Guduric,Marko,Guduric,M. Guduric
Tyler Cook,Tyler,Cook,T. Cook
Zach Norvell Jr.,Zach,Jr.,Z. Jr.
Caleb Martin,Caleb,Martin,C. Martin
KZ Okpala,KZ,Okpala,K. Okpala
Justin James,Justin,James,J. James
Vincent Poirier,Vincent,Poirier,V. Poirier
Tacko Fall,Tacko,Fall,T. Fall
Daniel Gafford,Daniel,Gafford,D. Gafford
Admiral Schofield,Admiral,Schofield,A. Schofield
Jarrell Brantley,Jarrell,Brantley,J. Brantley
Garrison Mathews,Garrison,Mathews,G. Mathews
Jalen McDaniels,Jalen,McDaniels,J. McDaniels
Kelan Martin,Kelan,Martin,K. Martin
Nassir Little,Nassir,Little,N. Little
Jared Harper,Jared,Harper,J. Harper
Justin Robinson,Justin,Robinson,J. Robinson
Chris Clemons,Chris,Clemons,C. Clemons
Max Strus,Max,Strus,M. Strus
Norvel Pelle,Norvel,Pelle,N. Pelle
Oshae Brissett,Oshae,Brissett,O. Brissett
Shamorie Ponds,Shamorie,Ponds,S. Ponds
Ignas Brazdeikis,Ignas,Brazdeikis,I. Brazdeikis
Juwan Morgan,Juwan,Morgan,J. Morgan
Miye Oni,Miye,Oni,M. Oni
Moses Brown,Moses,Brown,M. Brown
