Unnamed: 0.1,trad_player,trad_team,trad_season,Unnamed: 0,trad_unnamed: 0,trad_min,trad_pts,trad_fgm,trad_fga,trad_fg%,trad_3pm,trad_3pa,trad_3p%,trad_ftm,trad_fta,trad_ft%,trad_oreb,trad_dreb,trad_reb,trad_ast,trad_stl,trad_blk,trad_tov,trad_pf,trad_+/-,adv_unnamed: 0,adv_min,adv_offrtg,adv_defrtg,adv_netrtg,adv_ast%,adv_ast/to,adv_ast ratio,adv_oreb%,adv_dreb%,adv_reb%,adv_to_ratio,adv_efg%,adv_ts%,adv_usg%,adv_pace,adv_pie,adv_season,player,position_bbref,position_season,team,PG_est_%,SG_est_%,SF_est_%,PF_est_%,C_est_%,position,season,height_inches,height_inches_nba_com,wingspan_inches,height_final,wingspan_final,secondary_position,primary_position_bbref,PM_defensive_FG,coverage_area,PM_coverage_area,PM_defensive_boxouts,PM_offensive_boxouts,PM_Adv_Rebounding,PM_Trad_Rebounding,PM_speed_score,PM_loose_balls_recovered,PM_Iso_Defense,PM_matchup_difficulty,True_Shooting,Total_Shots,PM_True_Shooting,Open_3,Open_3_Attempts,PM_Open_3,PM_Guarded_3,PM_Guarded_3_Attempts,PM_TOV_Rato,Ball_Handler_PPP,Ball_Handler_Freq,PM_Ball_Handler,Iso_PPP,Iso_Freq,PM_Iso,PM_Shot_Creation,Shotclock_FG,Shotclock_Attempts,PM_Pressure_Scoring,Drive_FG,Drive_Attempts,PM_Driving_Offense,PM_Passing,CS_3P%,CS_3PA,PM_Catch_Shoot
0,AJ Green,MIL,2022,265045.0,2135.0,10.0,5.0,2.0,4.0,27.0,1.0,3.0,26.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,2123.0,10.0,93.0,118.0,-26.0,8.0,0.0,12.0,1.0,10.0,6.0,6.0,38.0,38.0,14.0,120.0,2.0,2022.0,AJ Green,SG,2022.0,MIL,33.0,64.0,3.0,0.0,0.0,,,76.0,,79.0,76.0,79.0,,SG,0.1180555555555555,3002.0,0.2712962962962963,0.4417113314083739,0.2633811455110578,0.5163479333744602,0.0595311536088834,0.3527777777777778,0.2981020444133443,0.399069567940603,35.994174053082446,0.0490438001233806,0.1637877853177051,0.0777297964219617,,,0.3684101676155056,0.3565240271219114,0.2333079309196711,0.1286243059839605,,,0.4212254922945053,,,0.448174248283716,0.0388888888888888,,,0.3904183865401218,0.9944444444444444,0.0402777777777777,0.7559027777777778,0.3,0.9833333333333332,0.2,0.7875
1,AJ Griffin,ATL,2022,264070.0,1877.0,19.0,9.0,3.0,7.0,46.0,1.0,4.0,38.0,1.0,1.0,29.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1855.0,20.0,113.0,112.0,1.0,7.0,1.0,11.0,3.0,9.0,6.0,6.0,57.0,58.0,18.0,103.0,8.0,2022.0,AJ Griffin,SF,2022.0,ATL,0.0,15.0,67.0,18.0,0.0,,,78.0,,83.0,78.0,83.0,,SF,0.8148148148148148,3237.0,0.4234062797335871,0.2978403027688739,0.4200024912047942,0.2445290199809705,0.2369172216936251,0.9788359788359788,0.3044123033672207,0.2819234251309621,44.90623816773992,0.7226450999048525,0.5161750713606089,0.6710275927687916,0.425,0.428125,0.42578125,0.42578125,0.428125,0.1750713606089438,0.3232323232323232,0.1919191919191919,0.2904040404040404,,,0.4235887828907925,0.5925925925925926,,,0.4941735435348573,0.5767195767195767,0.6772486772486772,0.6018518518518519,0.4126984126984127,0.6243386243386243,0.7513227513227513,0.656084656084656
2,AJ Hammons,DAL,2016,114129.0,2013.0,7.0,2.0,1.0,2.0,26.0,0.0,0.0,17.0,0.0,1.0,17.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,2023.0,7.0,112.0,96.0,16.0,4.0,0.0,9.0,5.0,16.0,11.0,9.0,31.0,33.0,16.0,105.0,9.0,2016.0,AJ Hammons,C,2016.0,DAL,0.0,0.0,0.0,2.0,98.0,C,2016.0,0.0,84.0,0.0,84.0,89.32668293974733,,C,0.1086350974930362,3751.720683469388,0.8860115095174856,0.3640051238710661,0.3938902192244134,0.1861443116423196,0.0951748561310314,0.1225626740947075,0.5013927576601671,0.5343017631336912,28.3877677748906,0.0506861443116423,0.117087206728641,0.0672864099158919,0.4309701492537313,0.4794776119402985,0.4430970149253731,0.4430970149253731,0.4794776119402985,0.1489597166888003,,,0.4086060163656384,,,0.3782110410050048,0.011142061281337,,,0.4197572875907173,0.0682451253481894,0.0779944289693593,0.0706824512534819,0.3983286908077994,0.9832869080779943,0.7019498607242339,0.9129526462395544
5,AJ Lawson,DAL,2022,267529.0,1871.0,8.0,4.0,2.0,3.0,33.0,1.0,2.0,32.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0,1853.0,8.0,77.0,91.0,-13.0,2.0,0.0,2.0,2.0,15.0,8.0,3.0,42.0,39.0,17.0,113.0,-0.0,2022.0,AJ Lawson,SG,2022.0,MIN,0.0,1.0,99.0,0.0,0.0,,,78.0,,82.0,78.0,82.0,,SG,0.3315835093367089,3198.0,0.8827160493827161,0.4935007265006738,0.2706517747759389,0.8473164713140037,0.0595311536088834,0.3141664892601267,0.2857296831730163,0.3690746511398931,33.12180392401569,0.0626156693399136,0.0888340530536705,0.0691702652683528,,,0.324298642780521,0.3966311568433227,0.25542531569539,0.0441085749537322,,,0.4250111646171075,,,0.4073225724409971,0.4803282268520144,,,0.3895881909616581,,,0.3657781903831755,0.3124912639152226,,,0.4090984466285424
6,AJ Lawson,MIN,2022,256474.0,2357.0,2.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.0,2354.0,2.0,40.0,140.0,-100.0,0.0,0.0,0.0,0.0,33.0,17.0,0.0,100.0,100.0,17.0,136.0,24.0,2022.0,AJ Lawson,SG,2022.0,MIN,0.0,1.0,99.0,0.0,0.0,,,78.0,,82.0,78.0,82.0,,SG,0.3323915069401863,3198.0,0.8827160493827161,0.4411029615474516,0.2930047950653767,1.0,0.0595311536088834,0.3455303685313328,0.3504835721486076,0.3700509944089776,46.33607030572932,1.0,0.0095619987661937,0.7523904996915485,,,0.3920165168433762,0.3916171591604387,0.2503546958652596,0.0086366440468846,,,0.4058142177216268,,,0.415168076275383,0.4083072267849777,,,0.4205772303384798,,,0.3451337506705192,0.3992208760697702,,,0.4036533769204743
7,Aaron Brooks,IND,2016,116091.0,2156.0,14.0,5.0,2.0,5.0,33.0,1.0,2.0,27.0,0.0,1.0,25.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,-0.0,2160.0,14.0,96.0,106.0,-9.0,22.0,1.0,23.0,2.0,5.0,4.0,12.0,40.0,42.0,18.0,97.0,4.0,2016.0,Aaron Brooks,PG,2016.0,IND,100.0,0.0,0.0,0.0,0.0,PG,2016.0,70.0,72.0,76.0,70.0,76.0,,PG,0.7709580838323353,2660.0,0.0583927157561361,0.5505203466425526,0.1978042452549614,0.2098178939034045,0.1492478226444972,0.1991017964071856,0.5014970059880239,0.2913669064748201,35.2,0.2965162311955661,0.3422406967537609,0.3079473475851148,0.4736842105263157,0.3107287449392713,0.4329453441295546,0.4329453441295546,0.3107287449392713,0.6349960411718132,0.5611285266457681,0.7727272727272727,0.6140282131661443,0.2913669064748201,0.762589928057554,0.4091726618705036,0.94311377245509,0.0584415584415584,0.1818181818181818,0.0892857142857142,0.3158682634730539,0.3413173652694611,0.3222305389221557,0.467065868263473,0.5793413173652695,0.2769461077844311,0.50374251497006
13,Aaron Brooks,MIN,2017,141404.0,2000.0,6.0,2.0,1.0,2.0,32.0,0.0,1.0,21.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.0,1988.0,6.0,86.0,110.0,-24.0,19.0,0.0,15.0,2.0,10.0,6.0,10.0,37.0,40.0,19.0,113.0,15.0,2017.0,Aaron Brooks,PG,2017.0,MIN,100.0,0.0,0.0,0.0,0.0,PG,2016.0,70.0,72.0,76.0,70.0,76.0,,PG,0.4633152173913043,2660.0,0.1146969696969697,0.8790760869565217,0.1467391304347826,0.6315151515151515,0.1487878787878787,0.3328804347826087,0.1154891304347826,0.4223608615341666,22.4,0.2456060606060606,0.0956060606060606,0.2081060606060606,0.2681297709923664,0.4017175572519084,0.3015267175572519,0.3015267175572519,0.4017175572519084,0.381060606060606,,,0.4242761723638806,,,0.4616457757001473,0.8872282608695652,,,0.3684052953878258,0.1657608695652173,0.1345108695652173,0.1579483695652173,0.171195652173913,0.9918478260869564,0.108695652173913,0.7710597826086957
19,Aaron Gordon,DEN,2020,220909.0,2121.0,26.0,10.0,4.0,8.0,48.0,1.0,3.0,24.0,1.0,2.0,49.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,2117.0,26.0,120.0,112.0,8.0,11.0,1.0,17.0,6.0,13.0,10.0,10.0,52.0,55.0,17.0,100.0,8.0,2020.0,Aaron Gordon,PF,2020.0,TOT,0.0,0.0,10.0,90.0,0.0,SF,2016.0,79.5,81.0,83.7,79.5,83.7,,PF,0.2706855791962175,3327.0750000000003,0.3249734607218684,0.0342789598108747,0.9680851063829788,0.557855626326964,0.7354033970276008,0.2139479905437352,0.1430260047281324,0.4174705301000824,23.94130281458565,0.7154989384288747,0.7509288747346072,0.7243564225053079,0.8647912885662432,0.4736842105263157,0.7670145190562614,0.7670145190562614,0.4736842105263157,0.4981422505307855,0.1255506607929515,0.8480176211453745,0.3061674008810573,0.2407407407407407,0.5291005291005291,0.3128306878306878,0.74822695035461,0.5802845528455285,0.7398373983739838,0.6201727642276423,0.3794326241134751,0.7434988179669031,0.4704491725768321,0.8522458628841607,0.6784869976359338,0.483451536643026,0.6297281323877069
91,Aaron Gordon,DEN,2021,239135.0,2237.0,32.0,15.0,6.0,11.0,52.0,1.0,3.0,33.0,2.0,3.0,58.0,2.0,4.0,6.0,3.0,1.0,1.0,2.0,2.0,4.0,2240.0,32.0,117.0,111.0,6.0,11.0,1.0,15.0,6.0,13.0,10.0,11.0,58.0,61.0,19.0,99.0,10.0,2021.0,Aaron Gordon,PF,2021.0,DEN,0.0,0.0,3.0,86.0,11.0,SF,2016.0,79.5,81.0,83.7,79.5,83.7,,PF,0.2037037037037037,3327.0750000000003,0.3440098898628905,0.2663817663817663,0.7592592592592593,0.3622162283659249,0.8200719262755676,0.2378917378917379,0.1894586894586894,0.4806073830714008,99.3,0.8423241177792763,0.8645763092829849,0.8478871656552035,0.43058568329718,0.4945770065075922,0.4465835140997831,0.4465835140997831,0.4945770065075922,0.6548662620813666,0.2419354838709677,0.3091397849462365,0.2587365591397849,0.3711656441717791,0.5920245398773006,0.4263803680981595,0.5598290598290598,0.6589506172839507,0.7916666666666666,0.6921296296296297,0.7165242165242165,0.7279202279202279,0.7193732193732194,0.8276353276353277,0.5327635327635327,0.5641025641025641,0.5405982905982906
115,Aaron Gordon,DEN,2022,264121.0,2087.0,30.0,16.0,6.0,11.0,57.0,1.0,3.0,30.0,3.0,5.0,57.0,2.0,4.0,7.0,3.0,1.0,1.0,1.0,2.0,7.0,2104.0,30.0,124.0,111.0,14.0,12.0,1.0,15.0,8.0,14.0,11.0,9.0,62.0,63.0,20.0,100.0,11.0,2022.0,Aaron Gordon,PF,2022.0,DEN,0.0,0.0,6.0,91.0,3.0,SF,2016.0,79.5,81.0,83.7,79.5,83.7,,PF,0.4169184290030212,3327.0750000000003,0.3457161981258367,0.3154691201049726,0.4844482251936155,0.5856760374832664,0.8249665327978581,0.3685800604229607,0.3591804620213371,0.4058458824163227,22.593475838150265,0.893908969210174,0.784471218206158,0.86654953145917,0.4313099041533546,0.4840255591054313,0.4444888178913738,0.4444888178913738,0.4840255591054313,0.3366800535475234,0.5185185185185185,0.2175925925925926,0.443287037037037,0.4901960784313725,0.5147058823529411,0.4963235294117646,0.6238670694864048,,,0.4135960884661432,0.8685800604229608,0.6540785498489426,0.8149546827794563,0.7356495468277946,0.7084592145015106,0.4365558912386706,0.6404833836858006
