Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
DEN,PHI,J. Murray GTD  ,K. Caldwell-Pope GTD  ,M. Porter GTD  ,Aaron Gordon  , N. Jokic GTD ,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Expected Lineup             ,Expected Lineup             
NYK,BKN,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , Jericho Sims ,Kyrie Irving  ,Joe Harris  ,Royce O'Neale  ,B. Simmons GTD  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
HOU,DET,T. Washington  ,Eric Gordon  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Jaden Ivey  ,Alec Burks  ,Saddiq Bey  ,B. Bogdanovic  , Jalen Duren ,Expected Lineup             ,Expected Lineup             
CHI,ORL,Ayo Dosunmu  ,Zach LaVine  ,DeMar DeRozan  ,P. Williams  , N. Vucevic ,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Expected Lineup             ,Expected Lineup             
LAC,ATL,Terance Mann  ,Paul George  ,Kawhi Leonard  ,M. Morris GTD  , Ivica Zubac ,Trae Young  ,D. Murray  ,D. Hunter  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
WAS,NOP,Monte Morris  ,Bradley Beal  ,Corey Kispert  ,Kyle Kuzma  , D. Gafford ,CJ McCollum  ,B. Ingram  ,Trey Murphy  ,Herbert Jones  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
SAC,MIN,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,D. Russell  ,A. Edwards  ,J. McDaniels  ,Kyle Anderson  , Rudy Gobert ,Expected Lineup             ,Expected Lineup             
PHX,SAS,Chris Paul  ,Mikal Bridges  ,C. Johnson  ,Torrey Craig  , Deandre Ayton ,Tre Jones  ,R. Langford GTD  ,K. Johnson  ,J. Sochan GTD  , Jakob Poeltl ,Expected Lineup             ,Expected Lineup             
LAL,BOS,D. Schroder  ,P. Beverley  ,Troy Brown  ,L. James GTD  , A. Davis GTD ,Derrick White  ,Jaylen Brown  ,Jayson Tatum  ,Al Horford  , R. Williams ,Expected Lineup             ,Expected Lineup             
DAL,UTA,S. Dinwiddie  ,Tim Hardaway  ,Josh Green  ,D. Finney-Smith  , Dwight Powell ,Mike Conley  ,J. Clarkson  ,L. Markkanen  ,K. Olynyk GTD  , W. Kessler ,Expected Lineup             ,Expected Lineup             
TOR,POR,Fred VanVleet  ,Gary Trent  ,OG Anunoby GTD  ,S. Barnes  , Pascal Siakam ,D. Lillard  ,A. Simons  ,Josh Hart GTD  ,Jerami Grant  , J. Nurkic GTD ,Expected Lineup             ,Expected Lineup             
