TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,+5.5,O 218.5,+350,−125,−105
ORL Magic,-5.5,U 218.5,−475,−105,−125
MIL Bucks,-28.5,O 268.5,−4000,−115,−110
DET Pistons,+28.5,U 268.5,+1300,−115,−120
ATL Hawks,+6.5,O 220.5,+235,−125,−105
CHI Bulls,-6.5,U 220.5,−300,−105,−125
MIN Timberwolves,-4.5,O 226.5,−215,−105,−115
HOU Rockets,+4.5,U 226.5,+175,−125,−115
CHA Hornets,+9,O 236.5,+320,−110,−110
UTA Jazz,-9,U 236.5,−390,−110,−110
SA Spurs,+8.5,O 240.5,+280,−115,−105
POR Trail Blazers,-8.5,U 240.5,−340,−105,−115
MEM Grizzlies,+2.5,O 246,+115,−110,−110
SAC Kings,-2.5,U 246,−135,−110,−110
