TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
MIL Bucks,-7,O 219−110,−295,−110
MIA Heat,+7,U 219−110,+245,−110
MEM Grizzlies,+4.5,O 221.5−110,+160,−110
LA Lakers,-4.5,U 221.5−110,−190,−110
