TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NO Pelicans,,,+1100,,
ORL Magic,,,−2500,,
NY Knicks,+2.5,O 259.5,+135,−105,−115
ATL Hawks,-2.5,U 259.5,−165,−125,−120
GS Warriors,-7.5,O 235.5,−950,−135,−125
CLE Cavaliers,+7.5,U 235.5,+600,+105,−105
MIA Heat,+14.5,O 211.5,+1100,−110,−120
DAL Mavericks,-14.5,U 211.5,−2500,−120,−110
LA Clippers,+0.5,O 253.5,−110,−110,−120
SA Spurs,-0.5,U 253.5,−120,−120,−110
IND Pacers,+8.5,O 239.5,+285,−120,−110
DEN Nuggets,-8.5,U 239.5,−375,−110,−120
BKN Nets,+0.5,O 230.5,−110,−110,−115
UTA Jazz,-0.5,U 231.5,−120,−120,−120
MEM Grizzlies,-6,O 243.5,−230,−110,−110
LA Lakers,+6,U 243.5,+195,−110,−110
OKC Thunder,+5,O 244,+170,−105,−110
SAC Kings,-5,U 244,−200,−115,−110
