TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CHA Hornets,+21.5,O 227.5,+1000,−115,−120
BKN Nets,-21.5,U 227.5,−2100,−115,−110
POR Trail Blazers,+1.5,O 230.5,−115,−120,−110
ORL Magic,-1.5,U 230.5,−115,−110,−120
UTA Jazz,+6.5,O 235,+210,−105,−115
OKC Thunder,-6.5,U 235,−250,−115,−105
SA Spurs,+4.5,O 232.5,+165,−105,−110
HOU Rockets,-4.5,U 232.5,−195,−115,−110
NY Knicks,+7,O 225.5,+235,−110,−110
BOS Celtics,-7,U 225.5,−280,−110,−110
MIL Bucks,-5.5,O 228,−230,−110,−110
WAS Wizards,+5.5,U 228,+195,−110,−110
MEM Grizzlies,+6.5,O 228,+225,−105,−110
LA Clippers,-6.5,U 228,−265,−115,−110
