,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Live Philadelphia,Brooklyn,10:00:00,-5.5,+5.5,-2,+2,-240,+200,-134,+114
1,Phoenix,LA Clippers,12:30:00,-5.5,+5.5,-7.5,+7.5,-210,+175,-319,+269
2,Milwaukee,Miami,16:30:00,-2.5,+2.5,-5,+5,-167,+125,-210,+180
