TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
IND Pacers,-3.5,O 226,−155,−110,−110
DET Pistons,+3.5,U 226,+135,−110,−110
UTA Jazz,+7.5,O 226,+240,−110,−110
MIA Heat,-7.5,U 226,−285,−110,−110
MEM Grizzlies,-1,O 224.5,−115,−110,−105
DAL Mavericks,+1,U 224.5,−105,−110,−115
MIN Timberwolves,+5.5,O 244.5,+180,−110,−110
ATL Hawks,-5.5,U 244.5,−210,−110,−110
BOS Celtics,-12.5,O 231.5,−800,−110,−105
HOU Rockets,+12.5,U 231.5,+575,−110,−115
PHO Suns,+4.5,O 236,+160,−110,−110
GS Warriors,-4.5,U 236,−190,−110,−110
MIL Bucks,-2,O 244.5,−130,−110,−115
SAC Kings,+2,U 244.5,+110,−110,−105
