,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Memphis,Miami,16:30:00,+3,-3,+4,-4,+125,-161,+155,-175
1,Philadelphia,Cleveland,16:30:00,-2,+2,-2.5,+2.5,-130,+110,-141,+121
2,Sacramento,Chicago,17:00:00,+1,-1,-1,+1,-105,-116,-115,-105
3,Boston,Minnesota,17:00:00,-3.5,+3.5,-5,+5,-175,+135,-195,+170
4,LA Lakers,Houston,17:00:00,-4.5,+4.5,-3,+3,-200,+160,-152,+132
5,Dallas,San Antonio,17:30:00,-5,+5,-5,+5,-208,+175,-195,+170
