TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CLE Cavaliers,-5.5,O 218.5,−205,−110,−110
CHA Hornets,+5.5,U 218.5,+175,−110,−110
DET Pistons,+13,O 221,+650,−105,−110
WAS Wizards,-13,U 221,−950,−115,−110
DEN Nuggets,+1,O 227,−105,−110,−110
TOR Raptors,-1,U 227,−115,−110,−110
LA Lakers,-1,O 226,−115,−110,−110
NO Pelicans,+1,U 226,−105,−110,−110
BKN Nets,+1.5,O 233.5,+100,−110,−110
OKC Thunder,-1.5,U 233.5,−120,−110,−110
ORL Magic,-5,O 232.5,−205,−110,−110
SA Spurs,+5,U 232.5,+175,−110,−110
NY Knicks,-2.5,O 228,−140,−110,−110
POR Trail Blazers,+2.5,U 228,+120,−110,−110
MIL Bucks,-1.5,O 232.5,−120,−110,−105
PHO Suns,+1.5,U 232.5,+100,−110,−115
