TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
POR Trail Blazers,+5.5,O 239,+180,−110,−110
MEM Grizzlies,-5.5,U 239,−210,−110,−110
ORL Magic,+9,O 230.5,+330,−110,−110
PHI 76ers,-9,U 230.5,−410,−110,−110
BKN Nets,+9,O 224,+320,−105,−110
BOS Celtics,-9,U 224,−390,−115,−110
GS Warriors,-3.5,O 238,−165,−110,−110
MIN Timberwolves,+3.5,U 238,+140,−110,−110
SAC Kings,-7.5,O 244,−305,−115,−110
SA Spurs,+7.5,U 244,+255,−105,−110
OKC Thunder,-6.5,O 232.5,−230,−115,−110
HOU Rockets,+6.5,U 232.5,+195,−105,−110
TOR Raptors,+3,O 230,+130,−110,−115
UTA Jazz,-3,U 230,−150,−110,−105
ATL Hawks,+1,O 232.5,+100,−105,−110
PHO Suns,-1,U 232.5,−120,−115,−110
