Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
MIA,PHI,Gabe Vincent  ,T. Herro GTD  ,Jimmy Butler  ,Kevin Love GTD  , Bam Adebayo ,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , Joel Embiid ,Expected Lineup             ,Expected Lineup             
DET,CHA,Killian Hayes  ,Alec Burks  ,B. Bogdanovic GTD  ,I. Stewart GTD  , James Wiseman ,LaMelo Ball  ,Terry Rozier  ,G. Hayward  ,JT Thor  , Mark Williams ,Expected Lineup             ,Expected Lineup             
BOS,NYK,Marcus Smart  ,D. White GTD  ,Jayson Tatum  ,Al Horford  , R. Williams ,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Expected Lineup             ,Expected Lineup             
ORL,NOP,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,CJ McCollum  ,J. Richardson  ,B. Ingram  ,Herbert Jones  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
