TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.0,13.8,3.2,4.2,1.0,0.3,1.5,1.7,49.1,83.6
MIN,PG,26.9,13.5,3.6,4.3,0.9,0.2,1.8,1.6,44.4,80.3
HOU,PG,26.0,13.1,2.7,4.3,1.1,0.3,1.4,1.8,44.2,83.3
GSW,PG,25.9,13.0,3.3,4.2,0.9,0.3,1.7,1.6,44.4,81.0
CHA,C,25.8,10.8,6.9,2.0,0.6,1.1,1.2,0.6,53.5,74.4
OKC,PG,25.7,13.3,3.0,4.2,0.9,0.3,1.9,1.7,43.7,82.8
ATL,C,25.7,11.5,6.9,1.8,0.6,0.8,1.4,0.6,59.3,77.0
LAL,PG,25.6,13.5,2.9,4.1,0.9,0.3,1.6,1.6,45.0,82.2
CHI,PG,25.3,12.5,3.4,4.2,0.8,0.3,1.8,1.7,43.7,84.2
TOR,PG,25.3,12.6,3.2,4.4,0.8,0.3,2.1,1.5,47.0,83.6
BKN,PG,25.2,12.8,3.4,3.8,1.0,0.2,1.5,1.7,44.0,84.7
DEN,PG,25.1,12.9,2.8,4.4,0.7,0.2,1.6,1.5,45.3,82.9
DET,PG,25.1,12.4,3.0,4.0,1.0,0.3,1.4,1.5,45.3,81.8
SAC,PG,24.9,12.8,3.0,4.0,0.9,0.2,1.6,1.5,46.1,84.9
SAS,C,24.8,10.9,6.5,1.8,0.6,0.9,1.3,0.5,57.4,69.9
IND,PG,24.8,12.7,3.1,3.8,0.9,0.3,1.6,1.6,43.0,85.7
WAS,PG,24.8,12.9,3.2,3.7,0.8,0.3,1.5,1.5,44.0,83.2
UTA,PG,24.8,13.1,3.2,3.6,0.8,0.3,1.5,1.5,45.8,80.5
POR,PG,24.8,12.2,3.1,4.3,0.8,0.2,1.6,1.5,45.3,85.4
MIL,PG,24.6,12.9,3.3,3.6,0.8,0.2,1.3,1.4,44.0,82.7
ORL,PG,24.6,12.2,2.9,4.2,1.0,0.3,1.8,1.5,43.5,83.7
BKN,SG,24.5,13.6,3.3,2.7,0.8,0.3,1.3,2.1,45.6,80.1
CHI,SG,24.5,12.9,3.5,3.1,0.8,0.4,1.5,2.0,44.3,81.9
SAC,SG,24.5,13.5,3.2,2.8,1.0,0.3,1.5,1.8,47.4,80.3
LAC,PG,24.4,11.9,3.0,3.9,1.0,0.3,1.3,1.5,44.2,80.3
MIA,PG,24.4,12.1,3.2,4.1,0.9,0.2,1.9,1.8,42.8,79.9
UTA,SG,24.4,13.5,3.4,2.7,0.8,0.3,1.2,1.7,44.4,82.9
ATL,PG,24.3,12.1,3.0,4.0,0.9,0.3,1.6,1.3,44.0,84.2
GSW,C,24.3,10.6,6.6,2.0,0.6,0.6,1.5,0.6,54.2,71.4
CHA,PG,24.2,12.2,3.0,4.0,0.7,0.3,1.7,1.5,45.8,83.5
BOS,PG,24.2,12.6,3.1,3.5,0.9,0.3,1.3,1.5,44.4,80.5
IND,C,24.0,10.3,6.6,1.8,0.6,0.9,1.3,0.5,57.1,73.0
IND,SG,24.0,12.7,3.6,2.9,0.9,0.3,1.6,1.8,44.7,85.9
CHA,PF,24.0,11.4,5.2,2.2,0.6,0.7,1.3,1.3,47.6,81.1
NYK,PG,24.0,12.0,3.1,3.8,0.8,0.4,1.4,1.5,42.2,82.0
NOP,PG,23.9,12.0,2.9,4.1,0.8,0.3,1.8,1.4,43.5,81.6
OKC,PF,23.8,11.2,5.5,1.9,0.6,0.7,1.5,1.1,48.8,77.2
IND,PF,23.7,11.3,5.2,2.1,0.7,0.6,1.3,1.1,49.7,78.6
MIA,SG,23.7,12.5,3.3,3.0,0.8,0.3,1.7,2.0,44.4,78.8
OKC,C,23.6,9.8,6.6,2.0,0.5,0.9,1.5,0.5,58.0,73.5
LAL,C,23.6,9.6,6.5,1.9,0.6,0.8,1.1,0.5,57.1,68.4
ATL,PF,23.6,11.6,5.1,2.0,0.6,0.6,1.2,1.1,48.1,84.6
GSW,SG,23.5,12.5,3.3,2.9,0.9,0.3,1.4,1.7,44.2,78.2
ATL,SF,23.5,12.2,4.1,2.3,0.9,0.5,1.3,1.4,45.8,83.2
WAS,SG,23.5,13.0,3.3,2.7,0.8,0.2,1.3,1.8,45.6,83.7
DET,C,23.5,10.1,6.6,1.6,0.5,0.9,1.2,0.4,55.3,69.2
PHI,SG,23.4,12.7,3.1,2.8,0.8,0.4,1.5,1.8,45.8,84.4
MIA,SF,23.4,12.2,4.2,2.4,0.8,0.3,1.6,1.5,50.0,78.1
HOU,SG,23.4,12.8,2.9,2.5,1.0,0.3,1.1,2.1,47.1,82.4
MIN,SG,23.4,12.6,3.3,2.8,0.9,0.2,1.5,1.7,45.8,78.6
SAC,SF,23.3,12.4,4.0,2.3,0.8,0.4,1.3,1.5,49.9,75.9
DAL,PG,23.2,12.0,2.9,3.9,0.8,0.2,1.5,1.2,45.5,84.7
PHX,C,23.2,9.7,6.5,1.8,0.7,0.7,1.4,0.5,55.0,75.9
MEM,PG,23.2,11.2,3.2,4.0,0.7,0.3,1.7,1.5,41.0,85.0
TOR,C,23.1,10.5,6.4,1.7,0.4,0.7,1.5,0.6,56.3,72.5
UTA,C,23.0,10.4,5.9,1.7,0.6,0.9,1.3,0.5,54.8,71.2
LAL,SG,22.9,12.4,3.3,2.6,0.8,0.3,1.1,1.7,43.3,81.4
MIN,PF,22.9,11.4,4.8,1.8,0.9,0.5,1.3,1.2,47.4,76.5
PHX,SG,22.9,12.8,3.3,2.6,0.8,0.3,1.5,1.7,43.1,82.7
SAC,C,22.8,10.2,5.8,1.9,0.5,0.8,1.3,0.5,57.4,72.9
MEM,PF,22.8,11.0,4.8,2.0,0.6,0.7,1.3,1.2,45.9,82.3
CLE,C,22.8,9.6,6.4,1.6,0.7,0.7,1.3,0.6,52.8,78.6
TOR,SG,22.7,11.9,3.3,3.1,0.7,0.3,1.5,1.7,46.6,84.5
DAL,PF,22.7,11.2,5.1,2.0,0.6,0.5,1.1,1.1,51.5,77.6
DET,PF,22.7,11.0,5.2,1.8,0.6,0.6,1.2,1.1,49.9,78.4
OKC,SG,22.7,12.1,3.3,2.7,0.8,0.3,1.6,1.8,43.8,76.5
MIN,C,22.6,9.6,5.8,2.0,0.6,0.8,1.5,0.6,52.8,66.6
ORL,SG,22.6,11.6,3.1,3.0,1.0,0.3,1.7,1.7,42.5,80.3
CHI,PF,22.5,10.5,5.0,2.0,0.6,0.6,1.1,1.2,46.4,78.8
ORL,SF,22.5,11.8,3.7,2.3,0.8,0.5,1.3,1.7,45.8,79.0
CLE,PF,22.5,11.2,4.8,1.8,0.7,0.5,1.3,1.1,49.2,76.1
TOR,PF,22.5,10.9,5.2,2.0,0.6,0.6,1.6,1.1,48.6,77.0
DET,SG,22.5,12.3,2.8,2.7,0.9,0.3,1.2,1.7,45.3,81.9
GSW,PF,22.4,11.2,5.1,1.6,0.7,0.4,1.2,1.2,48.2,75.1
PHI,PG,22.4,11.2,2.8,3.7,0.8,0.3,1.5,1.2,43.3,82.5
BOS,C,22.3,9.9,6.6,1.5,0.4,0.5,1.3,0.6,54.5,70.2
HOU,PF,22.3,10.4,4.8,1.9,0.7,0.7,1.1,1.1,50.8,76.8
CHI,C,22.3,9.9,5.7,1.7,0.5,0.9,1.3,0.6,56.6,69.2
HOU,C,22.3,9.2,5.9,1.9,0.6,1.0,1.3,0.4,55.1,73.6
PHX,PG,22.2,11.9,2.8,3.4,0.7,0.2,1.6,1.4,43.7,82.3
LAC,C,22.2,9.9,5.7,1.9,0.6,0.7,1.2,0.4,57.4,75.3
MEM,C,22.2,9.0,6.0,2.0,0.6,0.8,1.4,0.5,52.7,70.7
