Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
IND,ORL,T. McConnell  ,A. Nembhard GTD  ,Buddy Hield  ,A. Nesmith GTD  , Myles Turner ,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Expected Lineup             ,Confirmed Lineup             
BKN,PHI,Kyrie Irving  ,Joe Harris  ,Royce O'Neale  ,Ben Simmons  , Nic Claxton ,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Expected Lineup             ,Expected Lineup             
MIN,NOP,D. Russell  ,A. Edwards  ,J. McDaniels  ,Kyle Anderson  , R. Gobert GTD ,CJ McCollum  ,B. Ingram GTD  ,Herbert Jones  ,N. Marshall GTD  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
WAS,HOU,M. Morris GTD  ,Bradley Beal  ,Corey Kispert  ,Kyle Kuzma  , D. Gafford ,Jalen Green  ,Eric Gordon  ,Kenyon Martin  ,J. Smith GTD  , A. Sengun ,Expected Lineup             ,Expected Lineup             
DEN,MIL,J. Murray GTD  ,K. Caldwell-Pope GTD  ,M. Porter GTD  ,Aaron Gordon  , N. Jokic GTD ,Jrue Holiday  ,Grayson Allen  ,K. Middleton  ,G. Antetokounmpo  , Brook Lopez ,Expected Lineup             ,Expected Lineup             
ATL,OKC,Trae Young  ,D. Murray  ,D. Hunter GTD  ,John Collins  , Clint Capela ,S. Gilgeous-Alexander  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , Mike Muscala ,Expected Lineup             ,Expected Lineup             
MEM,GSW,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Stephen Curry  ,Jordan Poole  ,Klay Thompson  ,A. Wiggins  , D. Green ,Expected Lineup             ,Expected Lineup             
UTA,POR,Mike Conley  ,J. Clarkson  ,Malik Beasley  ,L. Markkanen  , W. Kessler ,D. Lillard  ,A. Simons  ,Josh Hart  ,Jerami Grant  , Jusuf Nurkic ,Expected Lineup             ,Expected Lineup             
TOR,SAC,Fred VanVleet  ,Gary Trent  ,OG Anunoby GTD  ,S. Barnes  , Pascal Siakam ,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
SAS,LAL,Tre Jones  ,M. Branham  ,K. Johnson  ,Jeremy Sochan  , Jakob Poeltl ,D. Schroder  ,P. Beverley  ,Troy Brown  ,L. James GTD  , A. Davis GTD ,Expected Lineup             ,Expected Lineup             
