TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
ATL Hawks,-3.5,O 236,−170,−115,−110
WAS Wizards,+3.5,U 236,+145,−105,−110
POR Trail Blazers,+10,O 230.5,+390,−110,−110
BOS Celtics,-10,U 230.5,−490,−110,−110
CLE Cavaliers,-2,O 215,−130,−110,−115
MIA Heat,+2,U 215,+110,−110,−105
DAL Mavericks,-1,O 234,−115,−110,−110
NO Pelicans,+1,U 234,−105,−110,−110
CHI Bulls,+9,O 224,+310,−110,−115
DEN Nuggets,-9,U 224,−380,−110,−105
OKC Thunder,+13.5,O 233.5,+650,−110,−105
PHO Suns,-13.5,U 233.5,−950,−110,−115
TOR Raptors,+2.5,O 230,+120,−110,−110
LA Clippers,-2.5,U 230,−140,−110,−110
