TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
TOR Raptors,+5.5,,+185,−110,
MIL Bucks,-5.5,,−215,−110,
BKN Nets,-6,O 235,−230,−110,−110
SA Spurs,+6,U 235,+195,−110,−110
POR Trail Blazers,+7,O 234,+240,−110,−110
DEN Nuggets,-7,U 234,−285,−110,−110
PHI 76ers,-1,,−110,−105,
LA Clippers,+1,,−110,−115,
