TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BKN Nets,+9,O 230.5,+310,−110,−110
DEN Nuggets,-9,U 230.5,−380,−110,−110
CLE Cavaliers,-8.5,O 220,−340,−110,−110
CHA Hornets,+8.5,U 220,+280,−110,−110
WAS Wizards,+8,O 227.5,+260,−115,−110
PHI 76ers,-8,U 227.5,−315,−105,−110
OKC Thunder,-3.5,O 237.5,−155,−110,−110
SA Spurs,+3.5,U 237.5,+135,−110,−110
POR Trail Blazers,-2,O 231,−125,−110,−110
NO Pelicans,+2,U 231,+105,−110,−110
NY Knicks,+2.5,O 225,+120,−110,−110
LA Lakers,-2.5,U 225,−140,−110,−110
