TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
POR Trail Blazers,+19,O 223,+1100,−110,−110
MIN Timberwolves,-19,U 223,−2100,−110,−110
UTA Jazz,+7,O 230.5,+235,−105,−110
BKN Nets,-7,U 230.5,−280,−115,−110
MEM Grizzlies,-1,O 228.5,−120,−110,−110
CHI Bulls,+1,U 228.5,+100,−110,−110
SA Spurs,+16.5,O 244,+1000,−110,−110
SAC Kings,-16.5,U 244,−1800,−110,−110
WAS Wizards,+11.5,O 221.5,+440,−110,−115
NY Knicks,-11.5,U 221.5,−580,−110,−105
DAL Mavericks,+3.5,O 246,+130,−110,−110
ATL Hawks,-3.5,U 246,−150,−110,−110
DET Pistons,+11,O 225,+410,−110,−110
ORL Magic,-11,U 225,−520,−110,−110
PHO Suns,-5.5,O 236.5,−225,−110,−110
OKC Thunder,+5.5,U 236.5,+190,−110,−110
LA Lakers,-11.5,O 236,−625,−110,−110
HOU Rockets,+11.5,U 236,+470,−110,−110
PHI 76ers,+5.5,O 236.5,+175,−110,−105
MIL Bucks,-5.5,U 236.5,−205,−110,−115
IND Pacers,+11.5,O 231,+540,−105,−110
CLE Cavaliers,-11.5,U 231,−740,−115,−110
GS Warriors,+2.5,O 233.5,+120,−110,−110
DEN Nuggets,-2.5,U 233.5,−140,−110,−110
