TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
LA Lakers,+4,O 228−110,+155,−105
MEM Grizzlies,-4,U 228−110,−180,−115
MIA Heat,+9.5,O 220.5−110,+360,−110
MIL Bucks,-9.5,U 220.5−110,−450,−110
LA Clippers,+7.5,O 225.5−110,+250,−110
PHO Suns,-7.5,U 225.5−110,−300,−110
MIN Timberwolves,+8,O 224.5−110,+270,−110
DEN Nuggets,-8,U 224.5−110,−325,−110
