TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
PHI 76ers,-4.5,O 209.5−110,−195,−110
BKN Nets,+4.5,U 209.5−110,+165,−110
SAC Kings,+6,O 240−110,+200,−110
GS Warriors,-6,U 240−110,−240,−110
PHO Suns,-3,O 226.5−110,−150,−110
LA Clippers,+3,U 226.5−110,+130,−110
