Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
TOR,WAS,Fred VanVleet  ,OG Anunoby  ,S. Barnes  ,Pascal Siakam  , Jakob Poeltl ,Delon Wright  ,Bradley Beal  ,Kyle Kuzma  ,K. Porzingis  , D. Gafford ,Expected Lineup             ,Expected Lineup             
PHI,DAL,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Luka Doncic  ,Kyrie Irving  ,J. Holiday  ,R. Bullock  , Dwight Powell ,Expected Lineup             ,Expected Lineup             
IND,SAS,T. Haliburton GTD  ,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  , Myles Turner ,Tre Jones GTD  ,M. Branham GTD  ,K. Johnson GTD  ,Jeremy Sochan  , Zach Collins ,Expected Lineup             ,Expected Lineup             
LAC,GSW,R. Westbrook  ,Paul George  ,Kawhi Leonard  ,Marcus Morris  , Ivica Zubac ,J. Poole GTD  ,Klay Thompson  ,D. DiVincenzo  ,D. Green  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
