Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,21,390,13.9,.501,.320,.327,9.4,24.2,16.2,7.6,1.1,3.3,11.4,21.2,,0.0,0.4,0.5,.056,,-2.3,-1.6,-3.8,-0.2
2,Steven Adams,C,29,MEM,39,1047,17.2,.559,.004,.464,19.6,24.2,22.0,11.0,1.4,3.8,20.5,14.1,,1.1,2.0,3.1,.143,,-0.4,0.9,0.6,0.7
3,Bam Adebayo,C,25,MIA,40,1402,20.6,.584,.016,.326,9.1,24.9,16.7,15.6,1.6,2.5,13.0,26.5,,1.8,2.2,4.0,.136,,0.5,0.6,1.2,1.1
4,Ochai Agbaji,SG,22,UTA,24,290,9.4,.589,.545,.182,4.6,8.4,6.5,4.2,0.3,0.9,4.6,12.6,,0.4,0.1,0.4,.074,,-1.2,-1.7,-2.9,-0.1
5,Santi Aldama,PF,22,MEM,40,909,15.1,.602,.496,.282,5.5,17.0,11.4,7.2,1.5,3.1,7.6,15.3,,1.6,1.5,3.0,.161,,0.2,1.5,1.7,0.9
6,Nickeil Alexander-Walker,SG,24,UTA,32,510,13.1,.606,.518,.211,1.7,10.8,6.3,19.5,2.2,2.1,19.2,18.4,,0.3,0.5,0.8,.075,,-0.6,0.9,0.3,0.3
7,Grayson Allen,SG,27,MIL,41,1120,13.4,.613,.593,.267,3.5,10.1,6.9,13.3,1.3,0.5,11.1,15.2,,1.9,1.2,3.1,.131,,0.0,0.5,0.5,0.7
8,Jarrett Allen,C,24,CLE,38,1258,19.5,.660,.021,.420,11.1,23.8,17.5,7.9,1.2,3.4,11.7,16.1,,3.0,2.2,5.3,.202,,1.2,1.3,2.5,1.4
9,Jose Alvarado,PG,24,NOP,43,926,12.6,.524,.510,.175,2.3,10.7,6.5,20.5,2.8,0.6,13.6,19.8,,0.3,1.3,1.5,.078,,-1.8,1.1,-0.7,0.3
10,Kyle Anderson,PF,29,MIN,34,885,13.6,.582,.223,.347,2.9,15.7,9.5,19.6,2.1,2.9,17.1,13.5,,0.9,1.1,2.0,.108,,-0.6,2.0,1.4,0.8
11,Giannis Antetokounmpo,PF,28,MIL,35,1180,27.0,.584,.140,.621,7.3,29.2,18.5,30.5,1.1,2.3,13.1,38.2,,2.3,2.1,4.3,.177,,4.8,2.3,7.1,2.7
12,Thanasis Antetokounmpo,SF,30,MIL,20,86,1.0,.270,.286,.429,7.5,15.4,11.5,4.3,1.1,2.9,29.6,11.6,,-0.3,0.1,-0.1,-0.081,,-9.3,-0.6,-9.9,-0.2
13,Cole Anthony,PG,22,ORL,26,677,13.5,.527,.365,.301,2.5,16.9,9.8,24.3,1.3,1.6,12.7,20.6,,0.5,0.6,1.1,.078,,-1.2,0.3,-0.8,0.2
14,OG Anunoby,SF,25,TOR,41,1514,14.7,.559,.372,.221,4.6,13.6,8.7,8.8,2.9,2.2,12.5,20.8,,0.6,1.8,2.4,.076,,-0.7,0.5,-0.2,0.7
15,Ryan Arcidiacono,PG,28,NYK,10,25,3.3,.300,.600,.000,0.0,17.2,8.5,9.9,3.9,0.0,16.7,10.2,,0.0,0.0,0.0,-0.004,,-9.2,4.2,-5.0,0.0
16,Deni Avdija,SF,22,WAS,42,1080,10.4,.524,.428,.248,4.6,20.6,12.8,13.7,1.4,1.8,16.8,15.6,,-0.1,1.3,1.2,.052,,-3.2,0.7,-2.5,-0.1
17,Deandre Ayton,C,24,PHO,39,1154,19.9,.611,.043,.207,10.3,27.3,18.5,11.5,0.8,2.1,12.9,23.5,,1.7,1.4,3.1,.131,,1.1,-0.4,0.6,0.8
18,Udoka Azubuike,C,23,UTA,15,63,24.3,.781,.000,.429,17.5,29.7,23.6,11.6,1.5,3.9,15.3,13.1,,0.2,0.1,0.3,.233,,3.8,1.4,5.1,0.1
19,Marvin Bagley III,C,23,DET,25,532,17.7,.592,.164,.259,10.5,20.6,15.4,4.2,1.2,3.0,8.9,19.6,,0.8,0.4,1.2,.104,,0.3,-1.1,-0.8,0.2
20,Patrick Baldwin Jr.,SF,20,GSW,14,117,15.1,.611,.793,.069,0.0,19.5,9.8,3.8,2.4,0.8,9.1,23.5,,0.0,0.2,0.2,.066,,1.8,-0.6,1.2,0.1
