,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,New York,Orlando,16:00:00,-2.5,+2.5,-1,+1,-152,+115,-113,-107
1,Atlanta,New Orleans,16:30:00,+4,-4,+2,-2,+150,-170,+110,-130
2,Phoenix,Brooklyn,16:30:00,-5,+5,-7.5,+7.5,-190,+155,-300,+250
3,Chicago,Memphis,17:00:00,+7,-7,+9.5,-9.5,+240,-260,+345,-425
4,Minnesota,Denver,18:00:00,+6.5,-6.5,+9,-9,+200,-294,+315,-385
