TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
LA Lakers,-1,O 226.5−110,−115,−110
MEM Grizzlies,+1,U 226.5−110,−105,−110
MIA Heat,+6.5,O 219.5−110,+220,−110
MIL Bucks,-6.5,U 219.5−110,−260,−110
MIN Timberwolves,+8,O 222−110,+290,−105
DEN Nuggets,-8,U 222−110,−350,−115
